,mean_abs_error_2020-08-03_2020-09-26,mean_abs_error_2020-08-10_2020-09-26,mean_abs_error_2020-08-17_2020-09-26,mean_abs_error_2020-08-24_2020-09-26,mean_abs_error_2020-08-31_2020-09-26,mean_abs_error_2020-09-07_2020-09-26,mean_abs_error_2020-09-14_2020-09-26,mean_abs_error_2020-09-21_2020-09-26,mean_sq_abs_error_2020-08-03_2020-09-26,mean_sq_abs_error_2020-08-10_2020-09-26,mean_sq_abs_error_2020-08-17_2020-09-26,mean_sq_abs_error_2020-08-24_2020-09-26,mean_sq_abs_error_2020-08-31_2020-09-26,mean_sq_abs_error_2020-09-07_2020-09-26,mean_sq_abs_error_2020-09-14_2020-09-26,mean_sq_abs_error_2020-09-21_2020-09-26
COVIDhub-baseline,498.2,347.0,311.3,205.4,141.3,103.9,64.5,33.7,10172171.3,2725010.1,2607519.8,953205.6,252966.5,151316.0,135662.3,41409.4
LNQ-ens1,,,,,116.3,83.0,67.8,28.6,,,,,128301.1,125143.4,133921.6,55042.6
UCLA-SuEIR,581.5,398.3,315.3,239.1,161.0,107.2,,,7755700.8,3273104.6,2263236.2,1423173.3,477320.6,212953.3,,
COVIDhub-ensemble,,,,,123.1,86.2,70.6,32.1,,,,,185738.2,151112.9,150813.3,54527.8
IowaStateLW-STEM,549.6,,290.6,256.3,163.1,128.9,75.0,44.8,10431637.9,,1159138.0,1544535.8,913052.6,1030670.4,130565.2,60241.2
LANL-GrowthRate,,406.7,345.1,226.3,177.8,122.7,84.0,38.3,,2537487.9,2688553.1,450714.5,287433.9,184356.1,122901.8,68304.2
USC-SI_kJalpha,433.8,324.8,321.1,236.3,182.0,124.1,82.3,37.2,4227760.9,1768854.7,1684159.3,872902.5,610984.6,217663.6,193167.4,49624.2
CEID-Walk,,,,,143.4,106.5,65.2,34.2,,,,,266871.0,175382.1,136530.9,40730.0
JHU_IDD-CovidSP,,,,211.1,153.4,112.6,85.6,46.0,,,,453377.7,286903.1,195001.1,189830.2,89093.5
RobertWalraven-ESG,,,296.6,244.7,237.1,155.8,107.8,52.4,,,1047673.6,698767.2,601569.3,303988.6,209759.7,93878.6
JHUAPL-Bucky,,,,,178.5,136.8,79.8,38.7,,,,,362581.4,214087.1,143821.6,54342.0
OliverWyman-Navigator,,,,,,139.6,78.4,37.7,,,,,,199317.3,154570.2,44537.2
CU-select,,,593.3,291.5,230.3,200.9,113.6,52.3,,,16548840.0,1522239.0,613170.1,947816.9,206276.5,76168.8
MITCovAlliance-SIR,,,363.6,,227.7,161.5,117.6,60.3,,,2645993.8,,875434.1,515702.2,349936.3,136854.8
UVA-Ensemble,,,,,323.7,234.3,94.7,50.4,,,,,3924405.7,2464712.2,192207.1,46801.5
Yu_Group-CLEP,,,,,,437.5,160.6,50.2,,,,,,2516585.3,268380.5,54308.5
PandemicCentral-USCounty,,,,,,,115.7,53.8,,,,,,,183511.8,53043.0
