,mean_abs_error_2020-07-06_2020-07-11,mean_abs_error_2020-07-13_2020-07-18,mean_abs_error_2020-07-20_2020-07-25,mean_abs_error_2020-07-27_2020-08-01,mean_abs_error_2020-08-03_2020-08-08,mean_abs_error_2020-08-10_2020-08-15,mean_abs_error_2020-08-17_2020-08-22,mean_abs_error_2020-08-24_2020-08-29,mean_abs_error_2020-08-31_2020-09-05,mean_abs_error_2020-09-07_2020-09-12,mean_abs_error_2020-09-14_2020-09-19,mean_abs_error_2020-09-21_2020-09-26,mean_abs_error_2020-09-28_2020-10-03,mean_abs_error_2020-10-05_2020-10-10,mean_abs_error_2020-10-12_2020-10-17,mean_abs_error_2020-10-19_2020-10-24,mean_abs_error_2020-10-26_2020-10-31,mean_abs_error_2020-11-02_2020-11-07,mean_abs_error_2020-11-09_2020-11-14,mean_abs_error_2020-11-16_2020-11-21,mean_abs_error_2020-11-23_2020-11-28,mean_abs_error_2020-11-30_2020-12-05,mean_abs_error_2020-12-07_2020-12-12,mean_abs_error_2020-12-14_2020-12-19,mean_abs_error_2020-12-21_2020-12-26,mean_abs_error_2020-12-28_2021-01-02,mean_abs_error_2021-01-04_2021-01-09,mean_abs_error_2021-01-11_2021-01-16,mean_abs_error_2021-01-18_2021-01-23,mean_abs_error_2021-01-25_2021-01-30,mean_abs_error_2021-02-01_2021-02-06,mean_abs_error_2021-02-08_2021-02-13,mean_abs_error_2021-02-15_2021-02-20,mean_abs_error_2021-02-22_2021-02-27,mean_abs_error_2021-03-01_2021-03-06,mean_sq_abs_error_2020-07-06_2020-07-11,mean_sq_abs_error_2020-07-13_2020-07-18,mean_sq_abs_error_2020-07-20_2020-07-25,mean_sq_abs_error_2020-07-27_2020-08-01,mean_sq_abs_error_2020-08-03_2020-08-08,mean_sq_abs_error_2020-08-10_2020-08-15,mean_sq_abs_error_2020-08-17_2020-08-22,mean_sq_abs_error_2020-08-24_2020-08-29,mean_sq_abs_error_2020-08-31_2020-09-05,mean_sq_abs_error_2020-09-07_2020-09-12,mean_sq_abs_error_2020-09-14_2020-09-19,mean_sq_abs_error_2020-09-21_2020-09-26,mean_sq_abs_error_2020-09-28_2020-10-03,mean_sq_abs_error_2020-10-05_2020-10-10,mean_sq_abs_error_2020-10-12_2020-10-17,mean_sq_abs_error_2020-10-19_2020-10-24,mean_sq_abs_error_2020-10-26_2020-10-31,mean_sq_abs_error_2020-11-02_2020-11-07,mean_sq_abs_error_2020-11-09_2020-11-14,mean_sq_abs_error_2020-11-16_2020-11-21,mean_sq_abs_error_2020-11-23_2020-11-28,mean_sq_abs_error_2020-11-30_2020-12-05,mean_sq_abs_error_2020-12-07_2020-12-12,mean_sq_abs_error_2020-12-14_2020-12-19,mean_sq_abs_error_2020-12-21_2020-12-26,mean_sq_abs_error_2020-12-28_2021-01-02,mean_sq_abs_error_2021-01-04_2021-01-09,mean_sq_abs_error_2021-01-11_2021-01-16,mean_sq_abs_error_2021-01-18_2021-01-23,mean_sq_abs_error_2021-01-25_2021-01-30,mean_sq_abs_error_2021-02-01_2021-02-06,mean_sq_abs_error_2021-02-08_2021-02-13,mean_sq_abs_error_2021-02-15_2021-02-20,mean_sq_abs_error_2021-02-22_2021-02-27,mean_sq_abs_error_2021-03-01_2021-03-06
LNQ-ens1,,712.1,1180.3,588.7,1083.3,927.5,912.9,841.9,703.1,769.6,968.4,1091.3,602.9,988.5,867.2,1576.2,1590.0,3445.4,2781.2,2876.3,2969.9,5639.8,3125.9,3082.1,4292.4,5868.8,6221.1,5577.7,3243.1,1787.9,2055.2,1138.0,1495.6,1701.3,823.3,,1623859.6,7175651.6,1424476.0,5415385.6,6716712.9,5737693.2,1827331.0,1790748.4,1634929.6,2623824.1,8003901.7,740510.7,2351992.2,2378164.7,16437619.3,5374219.7,67097780.1,21685784.4,17720702.4,16486754.1,86024708.3,30316886.6,36807395.2,102985038.6,74724243.0,97573024.5,66791428.5,60273217.5,16027351.4,16930178.7,3546226.3,17790605.8,14356457.3,1654877.6
COVIDhub-ensemble,,,970.1,890.9,1362.8,1040.9,929.7,734.3,687.1,843.2,1032.4,1180.4,633.3,1171.1,1443.6,2174.0,2401.2,5027.1,5643.1,3329.8,3586.5,4662.3,4449.7,4530.2,4486.2,4029.6,6273.7,3343.1,7126.5,3221.8,3062.8,2200.0,2270.6,1345.4,805.5,,,4020612.6,3307148.7,11831967.5,5408808.2,4949002.4,1735853.9,1355455.3,2766082.0,2918726.1,8607087.4,883074.2,2666988.7,5614591.5,16516782.3,11951249.7,91775849.1,66532927.3,35207437.4,28472669.5,74371068.1,106197661.0,99334737.5,72939826.3,71594063.3,89763094.1,21975018.5,260022147.5,48942508.0,32953374.1,27583748.7,41573721.1,6423327.5,1728565.1
Geneva-DetGrowth,1452.4,1135.6,1283.5,1061.3,1619.8,1268.4,1461.9,1060.4,943.3,1005.2,1426.5,1039.5,702.5,1066.0,1175.2,1530.8,1833.9,3731.0,3431.5,3568.4,5087.2,5143.1,5165.3,4289.7,5369.3,5450.8,5864.0,5654.6,6581.2,2443.8,3193.8,2168.0,1774.8,2889.3,1288.9,23689097.5,5140241.5,9998396.4,4595459.4,11586928.5,5485113.8,13151824.9,4991620.3,2936974.2,3626272.8,9395262.4,7178979.9,2862514.3,2828981.8,3478713.4,9023630.5,6851548.2,65159010.9,22762422.5,34682215.4,56350812.3,71642053.2,117281779.1,54744567.5,171181697.9,102100228.8,97943075.4,78639600.6,381271940.1,22810319.2,35426102.6,23119986.3,17134543.7,47826085.0,5283079.3
USC-SI_kJalpha,1656.5,2407.3,3024.3,711.8,1355.6,1088.5,767.7,971.4,892.0,1282.0,1286.5,1302.5,915.7,925.0,1203.3,1800.5,2080.5,4737.6,6128.7,4969.2,4177.8,5380.4,4422.1,4696.6,4295.5,4462.2,6920.1,3130.7,7754.8,2956.1,3573.2,2449.8,2522.3,1475.0,965.8,27845425.2,43775993.0,56536829.6,2091209.7,6699612.6,8618130.3,1933972.2,2778042.8,2649724.2,4855986.8,5617355.5,8407382.1,2292146.9,2029155.0,4205034.2,15003946.6,8687188.7,83310803.8,71112657.5,54099335.1,34700158.4,106939716.7,89625220.2,90221423.2,64750028.2,82862194.2,113249554.7,28118929.7,276948732.3,32874932.8,44702632.0,24138226.1,30216809.7,17468642.0,2799207.4
COVIDhub-baseline,1524.3,1561.4,976.0,1028.1,1485.5,1137.1,1432.1,943.5,884.0,1201.5,939.6,1069.2,981.2,1020.0,1195.5,1905.7,2217.3,5088.6,6036.2,4304.5,3428.0,5231.2,5514.1,5274.4,4004.5,3955.5,5781.5,3575.6,6635.5,3623.6,4258.7,3607.4,3639.4,2046.9,1179.9,15911805.7,12041336.3,3657195.1,5036920.6,12738609.6,5585558.4,13377167.4,4380907.9,2764962.8,5216235.0,2743113.1,7485912.4,5003149.5,2187653.7,4354969.9,14568806.8,9342685.9,95538918.7,73071058.9,48777675.3,27505652.3,103239744.1,168558058.0,174679520.6,40019867.4,67014044.5,74094540.8,23822924.2,246710548.0,54648536.6,74358548.0,65169225.5,60773727.5,30442984.1,4988318.3
OliverWyman-Navigator,1101.2,1352.1,2285.3,1734.9,1731.6,1106.2,999.9,761.5,919.3,,820.3,1528.7,1630.5,977.1,890.7,1451.2,1456.1,4367.8,4190.1,3019.4,4969.0,3678.0,4593.5,5005.9,7115.5,4148.4,6174.1,4172.3,10247.0,6630.1,4907.2,3868.0,3508.6,2049.6,1138.4,6858064.5,10926709.1,34058212.0,14014595.6,11970832.9,7229737.5,6291922.3,2412031.1,2651779.0,,1740361.4,16839695.5,14458637.9,2790128.4,2935062.4,10144225.6,4411774.8,79088838.3,36630952.3,25639263.5,61485818.3,43782027.2,132552265.2,117038706.6,108800147.1,105706569.1,102374497.7,39107537.2,443638788.7,205992404.1,92661216.5,57079856.2,67508822.3,19821700.5,4080490.2
LANL-GrowthRate,2885.8,3245.5,1632.2,1805.1,1562.6,1358.8,974.6,893.5,1070.0,535.8,1132.0,1435.2,1106.2,1775.8,1524.8,2656.1,2897.6,3700.7,3560.7,4227.9,4279.5,5138.3,4030.5,3029.7,4865.1,8107.3,7983.2,4100.6,3890.2,3754.2,2398.1,2185.0,1780.7,3122.7,2160.7,48394254.4,48165163.1,14969623.7,25444326.1,21508489.8,17456199.0,6732430.1,2378800.0,3737207.1,704755.9,2841239.4,10989076.3,3250445.7,9576679.5,6851137.2,32840343.0,21242914.1,66509382.0,28345586.8,50108882.2,47618465.9,58955252.5,57552565.3,30279420.0,250968686.4,754467235.8,163537355.5,53922726.9,64277437.7,60609494.1,22516056.1,15709623.0,10067219.7,31648363.5,17471129.8
CU-select,,,,,,1098.9,1639.9,822.6,875.0,1402.1,925.9,1749.5,950.4,1072.0,1340.8,1793.5,2282.3,4478.9,4687.8,3328.3,2785.1,5783.8,5093.4,3921.2,3613.3,6158.1,4525.5,8618.9,8070.7,2187.1,3287.9,2968.8,2200.2,1786.1,1295.2,,,,,,6965320.4,24725060.7,2086901.3,2652735.5,7621975.8,2900063.6,18737050.2,3580943.9,2535630.7,4609191.7,12765838.1,9238850.0,79678256.3,40958776.3,34890671.1,17318735.5,103072364.1,114268613.6,50760026.8,59800385.6,115400580.8,36573057.0,245253631.6,457222775.3,15671898.5,46383323.6,43852936.4,28837282.5,20508725.9,12274797.1
CEID-Walk,,,,,,1138.0,1402.7,1009.0,968.4,1183.9,958.1,1118.0,974.8,964.9,1232.8,1938.5,2214.1,5078.8,6033.0,4166.5,3416.8,5328.3,5375.6,5271.8,4222.9,4006.8,5678.9,3563.0,6785.4,3689.1,4170.9,3606.5,3556.2,1708.8,1193.4,,,,,,5926219.1,12349485.6,4916647.5,3508319.3,5335135.7,2793435.8,7423551.0,5080949.2,2010855.3,4903308.7,15201087.4,9422592.5,94724367.7,73769499.1,47396428.8,28042797.5,105861661.6,164521988.4,170990144.5,47901878.7,67811565.6,68821096.7,23770550.1,260404465.5,65000486.3,79126506.2,62986965.9,57104879.2,14852010.5,4981139.7
CovidActNow-SEIR_CAN,1798.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23832791.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
