,perc_error_2020-08-03_2020-09-26,perc_error_2020-08-10_2020-09-26,perc_error_2020-08-17_2020-09-26,perc_error_2020-08-24_2020-09-26,perc_error_2020-08-31_2020-09-26,perc_error_2020-09-07_2020-09-26,perc_error_2020-09-14_2020-09-26,perc_error_2020-09-21_2020-09-26
IowaStateLW-STEM,0.326,,0.053,0.091,0.143,0.126,-0.051,-0.102
COVIDhub-baseline,0.437,0.269,0.267,0.080,0.046,0.021,-0.190,-0.095
USACE-ERDC_SEIR,-0.189,-0.223,-0.137,-0.280,-0.110,-0.056,-0.167,0.058
UCLA-SuEIR,0.176,-0.099,-0.057,-0.106,0.018,-0.172,-0.346,-0.131
QJHong-Encounter,,,,0.129,-0.169,-0.004,-0.258,-0.045
DDS-NBDS,,,,,-0.037,0.037,-0.184,-0.047
JHUAPL-Bucky,,,,,-0.026,0.135,-0.111,-0.049
Karlen-pypm,,,,0.006,-0.087,-0.073,-0.184,-0.213
Columbia_UNC-SurvCon,-0.241,-0.290,-0.108,-0.302,-0.153,0.084,-0.167,-0.208
UMich-RidgeTfReg,,,,,-0.072,0.009,-0.208,-0.070
CEID-Walk,,,,,0.045,0.023,-0.202,-0.101
LNQ-ens1,,,,,-0.053,-0.040,-0.190,-0.071
USC-SI_kJalpha,-0.276,-0.346,-0.268,-0.324,-0.179,-0.079,-0.266,-0.060
CU-select,,,0.588,0.066,0.281,0.337,-0.101,-0.172
COVIDhub-ensemble,,,,,-0.067,-0.014,-0.195,-0.142
OliverWyman-Navigator,,,,,,0.095,-0.144,-0.003
JCB-PRM,,,,,,-0.011,-0.161,-0.120
JHU_IDD-CovidSP,,,,0.068,-0.072,-0.138,-0.292,-0.344
CovidAnalytics-DELPHI,,0.080,-0.065,-0.233,-0.273,-0.319,-0.409,-0.446
Covid19Sim-Simulator,0.482,,-0.141,-0.325,-0.307,-0.188,-0.254,-0.256
IQVIA_ACOE-STAN,,,,,,,-0.166,-0.103
IBF-TimeSeries,,,,,,-0.109,-0.281,-0.123
LANL-GrowthRate,,-0.364,-0.361,-0.416,-0.369,-0.376,-0.296,-0.160
RobertWalraven-ESG,,,-0.321,-0.328,-0.349,-0.409,-0.473,-0.392
Geneva-DetGrowth,,,,,,,,-0.105
TTU-squider,,,,,,,0.272,
IHME-CurveFit,1.291,1.945,,,,,,
