,mean_abs_error_2020-07-06_2020-08-15,mean_abs_error_2020-07-13_2020-08-22,mean_abs_error_2020-07-20_2020-08-29,mean_abs_error_2020-07-27_2020-09-05,mean_abs_error_2020-08-03_2020-09-12,mean_abs_error_2020-08-10_2020-09-19,mean_abs_error_2020-08-17_2020-09-26,mean_abs_error_2020-08-24_2020-10-03,mean_abs_error_2020-08-31_2020-10-10,mean_abs_error_2020-09-07_2020-10-17,mean_abs_error_2020-09-14_2020-10-24,mean_abs_error_2020-09-21_2020-10-31,mean_abs_error_2020-09-28_2020-11-07,mean_abs_error_2020-10-05_2020-11-14,mean_abs_error_2020-10-12_2020-11-21,mean_abs_error_2020-10-19_2020-11-28,mean_abs_error_2020-10-26_2020-12-05,mean_abs_error_2020-11-02_2020-12-12,mean_abs_error_2020-11-09_2020-12-19,mean_abs_error_2020-11-16_2020-12-26,mean_abs_error_2020-11-23_2021-01-02,mean_abs_error_2020-11-30_2021-01-09,mean_abs_error_2020-12-07_2021-01-16,mean_abs_error_2020-12-14_2021-01-23,mean_abs_error_2020-12-21_2021-01-30,mean_abs_error_2020-12-28_2021-02-06,mean_abs_error_2021-01-04_2021-02-13,mean_abs_error_2021-01-11_2021-02-20,mean_abs_error_2021-01-18_2021-02-27,mean_abs_error_2021-01-25_2021-03-06,mean_sq_abs_error_2020-07-06_2020-08-15,mean_sq_abs_error_2020-07-13_2020-08-22,mean_sq_abs_error_2020-07-20_2020-08-29,mean_sq_abs_error_2020-07-27_2020-09-05,mean_sq_abs_error_2020-08-03_2020-09-12,mean_sq_abs_error_2020-08-10_2020-09-19,mean_sq_abs_error_2020-08-17_2020-09-26,mean_sq_abs_error_2020-08-24_2020-10-03,mean_sq_abs_error_2020-08-31_2020-10-10,mean_sq_abs_error_2020-09-07_2020-10-17,mean_sq_abs_error_2020-09-14_2020-10-24,mean_sq_abs_error_2020-09-21_2020-10-31,mean_sq_abs_error_2020-09-28_2020-11-07,mean_sq_abs_error_2020-10-05_2020-11-14,mean_sq_abs_error_2020-10-12_2020-11-21,mean_sq_abs_error_2020-10-19_2020-11-28,mean_sq_abs_error_2020-10-26_2020-12-05,mean_sq_abs_error_2020-11-02_2020-12-12,mean_sq_abs_error_2020-11-09_2020-12-19,mean_sq_abs_error_2020-11-16_2020-12-26,mean_sq_abs_error_2020-11-23_2021-01-02,mean_sq_abs_error_2020-11-30_2021-01-09,mean_sq_abs_error_2020-12-07_2021-01-16,mean_sq_abs_error_2020-12-14_2021-01-23,mean_sq_abs_error_2020-12-21_2021-01-30,mean_sq_abs_error_2020-12-28_2021-02-06,mean_sq_abs_error_2021-01-04_2021-02-13,mean_sq_abs_error_2021-01-11_2021-02-20,mean_sq_abs_error_2021-01-18_2021-02-27,mean_sq_abs_error_2021-01-25_2021-03-06
COVIDhub-baseline,292.3,274.3,343.1,347.9,350.1,288.5,311.3,259.1,234.9,244.5,287.9,338.7,466.4,617.4,801.7,931.5,1080.6,1227.6,1186.3,1143.4,1132.2,1183.0,1025.9,862.5,717.0,665.4,686.0,1398.6,1481.2,1114.4,1953758.1,2394666.0,4403735.8,4550935.5,5120825.9,1931237.9,2607519.8,1414614.5,573577.3,497912.8,842576.5,1088997.5,4117987.4,4366138.2,7288333.9,9352783.1,11988819.3,20853471.1,28981926.2,38493168.6,41839397.6,54234929.5,37380214.6,11455739.3,8920667.3,13175240.1,23569950.1,57850439.8,81991406.6,35330468.5
USC-SI_kJalpha,670.2,589.8,636.5,322.4,309.3,263.0,321.1,301.9,301.0,297.1,407.6,428.4,560.5,710.7,904.6,1066.9,1290.4,1497.2,1595.6,,,,,,,,,,,,11631957.8,6057084.4,5233633.6,2700321.6,2536255.1,1194343.6,1684159.3,1268909.8,1000412.0,774147.2,1805720.9,1900278.4,3292278.9,5295018.5,8821512.3,11883149.5,15860354.0,22496291.8,35343390.1,,,,,,,,,,,
LANL-GrowthRate,635.8,603.7,584.6,435.5,394.4,326.9,345.1,292.9,320.3,351.6,425.0,474.6,608.5,818.1,1021.1,1203.4,1372.6,1016.7,1152.1,1396.1,1165.6,1079.7,834.7,859.1,961.6,892.7,689.7,1339.5,1116.3,589.1,12477943.8,11882925.1,20876492.7,6751039.5,4571381.9,1699384.5,2688553.1,718028.9,788174.4,891115.3,1437947.2,1771496.9,3265803.2,6299624.1,9810572.6,13551675.6,17021015.2,14657989.4,27803161.8,41064635.5,30064661.8,30715705.6,9878026.6,34051977.5,61945501.9,37224486.4,12781220.6,44061993.9,40930488.4,6866168.8
IowaStateLW-STEM,520.3,748.8,547.9,465.3,394.5,,290.6,315.0,260.2,283.9,311.3,391.0,512.8,699.5,927.6,1097.5,1146.6,1298.2,1357.1,1283.3,1312.8,1244.3,1264.4,1027.8,761.6,737.0,545.2,1000.6,1498.3,1180.7,5723498.5,13784821.4,63155937.6,8184703.4,5548200.9,,1159138.0,2185480.0,2070802.9,3896430.4,976446.0,1976082.8,3791492.7,6068837.1,10535567.0,14368766.6,16017004.0,25732711.7,38525837.5,50015109.2,62415202.0,64404115.1,74022632.7,26218070.4,6191672.5,14095105.8,8309518.3,22963232.4,63785976.7,44348195.0
JHU_IDD-CovidSP,,,,,,,,,,263.7,339.8,422.4,508.1,659.3,907.9,1048.6,1302.3,1542.3,,962.2,1006.4,1037.6,1042.7,914.5,620.2,581.1,496.1,579.1,780.3,656.7,,,,,,,,,,759536.9,1593922.8,2232030.9,3327831.3,5994316.3,10548143.2,13387762.2,19955137.0,30800022.8,,34051414.2,39094843.4,46089495.6,38514921.3,37257430.5,5805041.5,4038208.2,2481213.0,7459227.1,17268852.5,14828142.4
CU-select,1141.7,896.0,806.2,582.7,545.2,405.5,593.3,368.4,397.4,526.8,702.8,672.1,783.9,723.4,761.2,839.1,987.9,1083.2,1232.5,1062.9,1013.9,1185.7,1095.1,895.7,829.1,1079.5,3019.9,3756.3,1943.9,1423.8,60225335.7,36582589.4,34841887.1,13267896.5,15643117.1,3022060.6,16548840.0,2355262.3,1718108.3,6611871.7,11812445.6,11381451.8,11353348.4,17166045.4,5577294.4,7278374.3,8871731.0,20943506.5,23413279.7,28767232.7,30289370.2,66710871.5,25917299.9,13968626.1,15700343.9,29494620.7,246943319.9,482449648.8,348949547.3,65963515.9
UCLA-SuEIR,,,,409.0,399.4,318.0,315.3,306.2,278.2,286.3,,,564.3,769.8,,,,,,,,,,,,,,,,,,,,7121416.7,3776963.4,2031539.6,2263236.2,2504464.3,1414953.2,845538.3,,,3048642.0,6219202.5,,,,,,,,,,,,,,,,
JHUAPL-Bucky,,,,,,,,,,,371.8,417.5,537.6,690.1,925.3,1100.1,1278.3,1436.2,1570.9,2949.6,3085.7,1629.7,1380.5,2039.0,2097.7,1535.8,1168.9,1714.1,1228.0,636.6,,,,,,,,,,,1651081.2,1838518.5,4250224.6,5827119.8,9973309.5,13868394.5,20352517.0,27090452.9,43559261.3,133776265.8,166714342.7,41225236.3,45301173.4,223399893.4,252429977.6,139297660.8,51791689.7,86633931.7,26613482.6,8111590.8
RobertWalraven-ESG,,,,,,,296.6,310.6,391.3,400.8,480.4,541.2,679.1,885.0,,,,,,,,,,,,,,,,,,,,,,,1047673.6,1069696.3,1426868.9,1397548.4,2156413.5,2810295.8,4512318.7,7397365.0,,,,,,,,,,,,,,,,
MITCovAlliance-SIR,,,,,,,363.6,,382.5,387.9,454.1,534.0,663.3,,1139.2,1324.4,1583.9,,,,,,,,,1955.3,1886.3,,,,,,,,,,2645993.8,,2076893.2,2184871.4,3071366.9,3917700.0,5671223.8,,15137216.5,16200335.5,24998646.9,,,,,,,,,59184618.2,47903381.4,,,
