,perc_error_2020-10-19_2020-12-12,perc_error_2020-10-26_2020-12-12,perc_error_2020-11-02_2020-12-12,perc_error_2020-11-09_2020-12-12,perc_error_2020-11-16_2020-12-12,perc_error_2020-11-23_2020-12-12,perc_error_2020-11-30_2020-12-12,perc_error_2020-12-07_2020-12-12
LANL-GrowthRate,,-0.778,-0.274,0.018,0.269,-0.063,-0.194,-0.053
BPagano-RtDriven,-0.468,-0.424,-0.466,-0.207,0.089,0.238,-0.051,0.028
JCB-PRM,-0.639,-0.473,-0.503,-0.473,-0.068,0.121,0.043,-0.044
CU-select,,,-0.410,-0.095,-0.056,-0.084,-0.243,-0.124
UCLA-SuEIR,-0.772,-0.649,-0.523,-0.241,-0.035,0.105,-0.238,-0.072
IBF-TimeSeries,-0.611,-0.527,-0.507,-0.350,-0.136,-0.058,-0.211,0.075
JHUAPL-Bucky,-0.562,-0.522,-0.419,-0.285,0.530,0.421,-0.093,-0.013
Covid19Sim-Simulator,-0.754,-0.316,-0.372,-0.209,,-0.059,-0.188,-0.133
Karlen-pypm,,,,0.047,0.387,0.424,-0.041,-0.014
QJHong-Encounter,,,,-0.318,0.005,0.116,-0.069,-0.160
IowaStateLW-STEM,-0.721,-0.606,-0.547,-0.506,-0.206,-0.008,-0.144,-0.094
UVA-Ensemble,,,,,0.089,0.003,0.056,0.102
MSRA-DeepST,,,,,0.063,0.135,-0.155,-0.048
COVIDhub-ensemble,,,,,0.008,0.072,-0.196,-0.065
USC-SI_kJalpha,-0.701,-0.589,-0.532,-0.505,-0.317,0.028,-0.224,-0.114
LNQ-ens1,,,,,0.117,-0.038,-0.259,-0.065
COVIDhub-baseline,-0.618,-0.571,-0.535,-0.420,-0.223,-0.119,-0.207,-0.116
UCF-AEM,,,,,-0.297,-0.033,-0.196,-0.071
UMich-RidgeTfReg,,,,,0.525,0.259,-0.194,-0.036
CEID-Walk,,,,,-0.219,-0.116,-0.206,-0.115
JHU_CSSE-DECOM,,,,,0.151,0.243,-0.095,-0.134
TTU-squider,,,,,-0.387,-0.179,0.001,-0.263
Columbia_UNC-SurvCon,-0.449,-0.334,0.670,0.374,0.956,0.412,-0.350,0.056
OliverWyman-Navigator,,,,,,0.164,-0.099,-0.093
OneQuietNight-ML,,,,,,0.536,-0.033,0.099
CovidAnalytics-DELPHI,,-0.750,-0.644,-0.508,-0.304,0.370,0.231,0.140
DDS-NBDS,,,,,1.204,0.477,-0.027,0.178
JHU_IDD-CovidSP,,,-0.697,,-0.263,-0.238,-0.340,-0.386
IQVIA_ACOE-STAN,,,,,,,-0.166,-0.093
USACE-ERDC_SEIR,,-0.577,,,-0.221,-0.271,-0.378,
RobertWalraven-ESG,,,,,0.441,0.290,-0.437,0.077
IEM_MED-CovidProject,,,,,,,,-0.053
Microsoft-DeepSTIA,,,,,,,,-0.055
UChicagoCHATTOPADHYAY-UnIT,,,,,,,-0.257,-0.072
Geneva-DetGrowth,,,,,,,,-0.059
