,mean_abs_error_2020-07-06_2020-08-15,mean_abs_error_2020-07-13_2020-08-22,mean_abs_error_2020-07-20_2020-08-29,mean_abs_error_2020-07-27_2020-09-05,mean_abs_error_2020-08-03_2020-09-12,mean_abs_error_2020-08-10_2020-09-19,mean_abs_error_2020-08-17_2020-09-26,mean_abs_error_2020-08-24_2020-10-03,mean_abs_error_2020-08-31_2020-10-10,mean_abs_error_2020-09-07_2020-10-17,mean_abs_error_2020-09-14_2020-10-24,mean_abs_error_2020-09-21_2020-10-31,mean_abs_error_2020-09-28_2020-11-07,mean_abs_error_2020-10-05_2020-11-14,mean_abs_error_2020-10-12_2020-11-21,mean_abs_error_2020-10-19_2020-11-28,mean_abs_error_2020-10-26_2020-12-05,mean_abs_error_2020-11-02_2020-12-12,mean_abs_error_2020-11-09_2020-12-19,mean_abs_error_2020-11-16_2020-12-26,mean_abs_error_2020-11-23_2021-01-02,mean_sq_abs_error_2020-07-06_2020-08-15,mean_sq_abs_error_2020-07-13_2020-08-22,mean_sq_abs_error_2020-07-20_2020-08-29,mean_sq_abs_error_2020-07-27_2020-09-05,mean_sq_abs_error_2020-08-03_2020-09-12,mean_sq_abs_error_2020-08-10_2020-09-19,mean_sq_abs_error_2020-08-17_2020-09-26,mean_sq_abs_error_2020-08-24_2020-10-03,mean_sq_abs_error_2020-08-31_2020-10-10,mean_sq_abs_error_2020-09-07_2020-10-17,mean_sq_abs_error_2020-09-14_2020-10-24,mean_sq_abs_error_2020-09-21_2020-10-31,mean_sq_abs_error_2020-09-28_2020-11-07,mean_sq_abs_error_2020-10-05_2020-11-14,mean_sq_abs_error_2020-10-12_2020-11-21,mean_sq_abs_error_2020-10-19_2020-11-28,mean_sq_abs_error_2020-10-26_2020-12-05,mean_sq_abs_error_2020-11-02_2020-12-12,mean_sq_abs_error_2020-11-09_2020-12-19,mean_sq_abs_error_2020-11-16_2020-12-26,mean_sq_abs_error_2020-11-23_2021-01-02
COVIDhub-baseline,12732.3,8669.6,14756.6,16665.9,17112.9,12261.6,13199.6,9530.4,8370.7,8888.2,13692.9,14737.8,20651.6,35186.2,47781.9,56438.9,64119.4,73067.6,67869.5,62873.3,61551.1,548784013.4,263437839.6,1498405612.2,1736209759.5,1539597690.0,730954553.1,1282723328.6,433790514.3,234117026.7,230716082.5,433051470.2,467832772.7,860499661.4,2377821705.6,4664958111.4,6234419678.1,8035733167.2,11994247224.1,14570259669.7,16429956031.3,16721623180.7
CU-select,,,,,,13518.9,25133.6,8817.6,15662.4,19441.9,16402.1,18601.5,20898.4,29900.6,39052.9,44961.0,51641.9,55082.9,47384.9,45492.5,44561.4,,,,,,788177413.6,7179583010.8,227090452.1,1203104514.9,1586168734.0,719779606.5,1159117364.0,1021216208.5,1895581811.3,3326408303.4,4052514879.4,4901657738.1,8760510579.7,8761691833.6,9743514827.2,9510884846.2
USC-SI_kJalpha,17257.0,19851.5,21467.4,8660.5,9706.9,10246.1,10651.7,13468.9,12779.8,12517.3,23354.4,21540.1,29826.9,38076.7,48431.5,58894.6,68475.9,75974.1,86858.4,94454.6,63004.4,1628461888.5,1892482506.5,1979889627.9,385473489.9,327302580.4,290467533.8,265372164.8,360074210.0,399912315.0,372622860.4,1242057792.9,829865517.3,1775507968.9,2936619859.6,5239221180.1,6794669155.1,8591383417.2,12389740502.7,17309518686.0,23300664992.8,18638870281.8
USACE-ERDC_SEIR,19640.6,15436.2,17591.6,14265.7,9471.5,10471.5,10786.5,12906.8,13333.8,12414.8,18717.1,19104.0,27491.6,,45639.5,,61747.5,,,57960.3,77710.6,1000252404.4,544548969.4,1294038186.3,728475430.3,366666311.6,274463922.6,469202551.9,498932744.7,524095008.2,388572987.5,809287948.2,720997676.6,1647628229.7,,4687002472.2,,6983427384.5,,,8173408634.3,18790209080.4
Covid19Sim-Simulator,22297.9,30077.2,33374.8,34712.6,21596.9,,,11417.7,8657.1,9423.1,15507.6,21232.0,27275.3,33634.8,49738.6,62966.5,62906.5,68557.7,63540.5,,58648.3,4247956794.9,7829541534.1,8219929994.9,7962736862.0,2115769984.3,,,256322247.1,158275181.2,238910821.0,585133092.3,976464569.7,1363858332.5,2321737346.2,4763088727.6,7749582661.9,7726807824.1,10344964939.2,13831871952.4,,14269510223.6
LANL-GrowthRate,21296.3,22676.3,15000.7,15187.6,13039.2,11221.1,11585.9,14989.4,15056.5,18236.4,23220.1,25612.4,36116.8,49025.7,62351.2,74686.1,84843.3,52461.5,58772.7,73886.5,52020.5,1904799655.3,3606424758.3,1084170937.1,1105180401.0,736398693.0,414257957.8,225850743.6,463895031.3,520410608.2,719179785.7,1083978461.8,1205720622.3,2539235866.3,4703436301.4,7569740973.3,10485602352.4,14205097665.1,7087080751.2,11579942735.1,19486220946.4,8469272061.4
IowaStateLW-STEM,18939.7,30453.6,23394.9,17783.4,16755.0,,12127.6,14712.9,10574.2,12067.0,13927.2,19050.1,24881.0,43127.7,57753.1,67743.7,69512.3,75812.9,76198.7,66061.5,70460.0,2712802561.5,6062081142.7,5257389701.2,2447813007.3,1562338198.8,,817957338.0,1080769611.2,353073288.2,779725347.6,372188978.8,693012890.5,1198407223.0,3407269756.4,6288639170.9,8795435890.7,9526638094.1,12728448224.4,18099620346.2,17214822735.0,20987083659.4
UCLA-SuEIR,12882.3,17721.7,22461.7,15250.5,12959.5,8645.0,13525.2,11729.6,11390.8,12693.4,21276.6,22798.9,30999.2,47713.4,61626.4,77705.4,89391.9,98683.3,98192.2,91688.2,72867.0,810753864.3,2069646215.9,2270050136.4,744891335.5,766805159.8,191717821.0,736934380.4,452954316.2,380232476.6,382164229.1,991020544.2,983315876.1,1549192187.2,4233861890.1,7337445306.2,10950596759.9,14995987942.3,20941617615.2,25500916339.2,30109002770.6,18860119364.0
JCB-PRM,,,,,,,,,,9584.0,15568.3,18758.6,22385.7,27581.2,40925.8,56666.6,53056.9,70830.8,78612.8,59164.8,88588.2,,,,,,,,,,259836215.3,707078377.8,905153117.0,1013932998.0,1576535954.3,3441730414.3,6354718135.5,6452926736.8,11392556226.5,18224472580.1,13870015681.6,24951078187.5
JHUAPL-Bucky,,,,,,,,,,,12443.4,14329.5,23359.4,39388.2,53380.7,55717.6,64840.4,70700.4,73960.0,166324.8,149838.9,,,,,,,,,,,337521800.4,386855012.7,1098077165.7,3098620647.7,5809351360.6,6781024728.9,9243702530.1,11144119143.7,16153173189.0,72373789396.4,66055526362.5
