,mean_abs_error_2020-09-21_2020-11-14,mean_abs_error_2020-09-28_2020-11-14,mean_abs_error_2020-10-05_2020-11-14,mean_abs_error_2020-10-12_2020-11-14,mean_abs_error_2020-10-19_2020-11-14,mean_abs_error_2020-10-26_2020-11-14,mean_abs_error_2020-11-02_2020-11-14,mean_abs_error_2020-11-09_2020-11-14,mean_sq_abs_error_2020-09-21_2020-11-14,mean_sq_abs_error_2020-09-28_2020-11-14,mean_sq_abs_error_2020-10-05_2020-11-14,mean_sq_abs_error_2020-10-12_2020-11-14,mean_sq_abs_error_2020-10-19_2020-11-14,mean_sq_abs_error_2020-10-26_2020-11-14,mean_sq_abs_error_2020-11-02_2020-11-14,mean_sq_abs_error_2020-11-09_2020-11-14
CU-select,,,30378.9,25387.6,20863.9,16974.8,11916.3,4687.8,,,1934801967.9,1491907412.6,903896519.4,594853237.5,335666717.3,40958776.3
Karlen-pypm,,,,27674.5,19193.0,12240.6,9280.4,4024.8,,,,1848766420.6,841066746.9,358010242.7,224974390.5,35046939.2
JCB-PRM,46986.7,36776.7,28095.6,26086.5,26031.2,17897.5,13574.2,5988.4,5105541600.1,2734812556.5,1623170872.4,1447036556.5,1494289771.3,770339303.9,457084220.6,75484686.0
LNQ-ens1,,,,,22994.5,14632.7,9953.9,2781.2,,,,,1164889060.6,525902702.7,261005209.6,21685784.4
DDS-NBDS,,,,,20469.1,13180.3,8803.7,4831.7,,,,,948737324.2,459774443.1,212598426.5,55104935.4
COVIDhub-baseline,39378.2,34933.2,35700.6,31426.6,26221.4,19817.4,14645.9,6036.2,3142108156.5,2371142683.5,2434268976.4,2124604339.0,1473816959.9,838567862.7,505916151.9,73071058.9
USC-SI_kJalpha,53898.1,48023.9,38595.4,31549.1,26298.4,19631.5,13801.7,6128.7,5354670803.7,4393358928.8,2993371767.2,2355774933.0,1513057722.0,818520539.4,452509574.5,71112657.5
UMich-RidgeTfReg,,,,,23919.9,16391.6,12351.8,4111.0,,,,,1414517964.1,635567827.9,414070692.6,47533416.3
JHU_CSSE-DECOM,,,,,22877.1,18688.6,13423.7,5326.7,,,,,1223736437.1,835058831.4,432990211.1,67653408.8
LANL-GrowthRate,,55160.8,49275.8,41822.4,35137.5,25396.2,9892.6,3560.7,,5737554239.6,4758026566.7,3544854443.0,2481826240.4,1428056099.0,242458611.9,28345586.8
JHUAPL-Bucky,,,39902.6,35466.4,26715.9,20741.8,14147.6,6037.2,,,3167253061.0,2662027827.0,1675455144.7,992449161.4,461920590.2,78217459.8
RobertWalraven-ESG,64440.1,59975.2,52204.6,,23927.6,23182.6,14411.4,2910.0,8049947670.3,6925565373.5,5020189425.0,,1248418387.3,1170143546.0,524602275.9,19137596.4
OliverWyman-Navigator,,,,,,13442.8,11833.2,4190.1,,,,,,426240250.5,366270748.8,36630952.3
Covid19Sim-Simulator,50751.3,43678.4,34149.2,33132.3,30052.8,20722.0,14955.0,7228.3,5277652340.2,3502588455.2,2379175412.3,2177900333.1,1901673664.8,906581417.7,496811288.7,102851423.8
USACE-ERDC_SEIR,41332.2,44228.0,,29088.0,,17166.2,,,3866106450.1,3870611001.2,,2066869382.7,,647059773.1,,
BPagano-RtDriven,,,,,23321.9,19052.8,15652.0,4763.2,,,,,1200175114.4,791687058.3,548799010.1,41809616.6
MSRA-DeepST,,,,,28152.9,,11831.0,3962.8,,,,,1833630074.1,,369821681.2,45504949.3
IowaStateLW-STEM,46031.0,39508.5,43642.1,39068.0,32574.6,21216.6,14716.1,6174.4,4037770241.1,3052228141.6,3483600132.0,2925243557.5,2144146633.9,945389323.1,465816059.1,82582178.8
COVIDhub-ensemble,,,,,27769.2,20418.8,14145.1,5643.1,,,,,1639444239.5,904487382.5,462844703.4,66532927.3
JHU_IDD-CovidSP,,,36537.9,38325.0,33217.3,29860.0,24170.6,,,,2765698561.8,3007599165.9,2195004300.0,1824144381.4,1215173960.0,
CEID-Walk,,,,,26354.9,19964.5,14729.0,6033.0,,,,,1541544247.2,845258952.8,512415258.8,73769499.1
JHU_UNC_GAS-StatMechPool,,,,,,19462.1,13897.2,6648.8,,,,,,904773638.3,476474214.1,93440050.4
Google_Harvard-CPF,,,,,,19643.8,15248.1,4919.0,,,,,,864457289.9,629451320.7,46020580.4
USC-SI_kJalpha_RF,,,,,,,12895.6,5360.1,,,,,,,511567040.4,83942995.8
UCSB-ACTS,,,,,,20606.9,13515.6,7534.4,,,,,,1059070418.2,456601305.3,128045645.8
UCLA-SuEIR,53921.5,48671.3,48227.8,41825.8,37715.6,28184.3,18525.3,7132.3,5381984531.0,3900874620.0,4313557083.5,3490726412.4,2689645166.4,1563575628.2,781331334.1,104231645.8
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,3408.2,,,,,,,,22244876.5
Geneva-DetGrowth,,,,,,,,3431.5,,,,,,,,22762422.5
IQVIA_ACOE-STAN,,,,,,,14540.7,5680.7,,,,,,,505298769.1,67323344.3
CovidAnalytics-DELPHI,,61197.2,55108.8,47949.0,43117.1,30576.4,22904.9,11829.5,,7153634814.0,5919325008.3,4716580026.7,3739862677.2,1961970325.1,1186871816.7,299392893.2
TTU-squider,,,,,43242.5,33132.8,21241.7,11147.6,,,,,3614670717.6,2179551134.6,1070313985.1,293906845.0
