,mean_abs_error_2020-07-06_2020-08-29,mean_abs_error_2020-07-13_2020-08-29,mean_abs_error_2020-07-20_2020-08-29,mean_abs_error_2020-07-27_2020-08-29,mean_abs_error_2020-08-03_2020-08-29,mean_abs_error_2020-08-10_2020-08-29,mean_abs_error_2020-08-17_2020-08-29,mean_abs_error_2020-08-24_2020-08-29,mean_sq_abs_error_2020-07-06_2020-08-29,mean_sq_abs_error_2020-07-13_2020-08-29,mean_sq_abs_error_2020-07-20_2020-08-29,mean_sq_abs_error_2020-07-27_2020-08-29,mean_sq_abs_error_2020-08-03_2020-08-29,mean_sq_abs_error_2020-08-10_2020-08-29,mean_sq_abs_error_2020-08-17_2020-08-29,mean_sq_abs_error_2020-08-24_2020-08-29
LNQ-ens1,,14675.9,8381.0,5891.0,5416.4,2371.0,2296.9,823.9,,618008229.6,250140441.5,162906922.1,131261387.4,26648901.2,26561067.2,1742192.4
OliverWyman-Navigator,29054.3,13593.6,8870.9,5472.3,5077.5,3323.2,2411.3,719.0,2754681003.6,341891846.3,310927317.7,110626977.8,95894193.1,40547493.8,42400846.3,2065786.5
COVIDhub-ensemble,,,9654.1,5461.3,7057.7,3230.9,2197.5,738.6,,,311970664.0,119498653.3,232473314.0,36783179.9,26479186.9,1675882.5
USC-SI_kJalpha,24506.4,23381.6,21404.6,6564.6,5896.3,3215.9,1848.2,900.0,2872266766.4,2465629081.0,1970359363.3,224284214.9,128565787.8,55674580.3,9631168.3,2436772.6
USACE-ERDC_SEIR,25402.0,18406.3,17502.8,11826.6,5645.0,3627.2,2379.3,825.6,1611429152.2,736139701.0,1285944027.5,520146429.6,168466940.3,50230478.1,32613857.4,3045453.5
LANL-GrowthRate,28363.0,26964.4,14943.5,12217.0,8133.7,4213.6,2291.1,946.1,3089227821.1,5049771422.9,1080022566.6,799962433.1,384226526.6,112194274.2,22579466.3,2950177.3
UCLA-SuEIR,17112.6,22517.9,22519.7,12168.4,8428.7,3706.6,3111.9,942.2,1337880289.6,3380800660.0,2284401077.6,478900716.2,283807737.6,38086413.4,56133197.1,3783438.2
COVIDhub-baseline,14853.2,11809.0,14793.6,12460.9,9484.3,4419.4,3335.9,889.6,668001252.8,579381989.4,1514170184.5,994687359.9,455245309.1,85627242.5,74990326.7,3648155.5
JHU_IDD-CovidSP,33547.2,21888.1,11784.4,17660.0,12946.1,6801.5,3402.9,1228.0,5006812162.4,2231774071.5,600585606.6,1020305476.7,478565559.6,103332367.3,31785728.7,4108843.2
DDS-NBDS,,,,13157.3,6959.7,4539.0,3534.5,1042.9,,,,641102374.0,270689393.6,69684540.3,44196890.9,3550629.6
RobertWalraven-ESG,58041.0,31037.9,37460.3,22937.6,8710.4,10469.6,2720.0,1194.0,12384687824.9,3461337940.4,23655918845.2,4019387714.1,382462349.0,570106562.7,24333404.6,3283083.6
CEID-Walk,,,,,,4382.1,3201.2,957.9,,,,,,97614095.9,65154026.7,4116504.3
IowaStateLW-STEM,31137.6,39228.3,23451.3,13706.6,9689.9,,3336.9,2060.5,7929032815.2,10504907912.5,5293633573.5,1462626804.7,512703948.4,,71033610.1,31412793.0
CU-select,,,,,,4522.7,4782.4,765.7,,,,,,76476155.9,234796228.3,1768391.4
Karlen-pypm,,,73675.3,42788.5,22440.4,7708.1,2736.8,1194.2,,,34268298346.5,9846851610.7,1657675519.0,182893967.3,26406610.8,5895457.5
CovidAnalytics-DELPHI,24553.7,20157.8,20736.8,19339.4,16124.9,9864.8,4939.2,1987.5,1634577451.8,1000330255.5,1146568030.6,1419382027.1,1074988582.0,452843748.6,98128038.6,10066710.7
Geneva-DetGrowth,53784.7,43839.1,34151.7,25344.5,17406.3,11248.5,4522.5,988.0,10738434550.2,6676221251.4,3903182628.0,2133634893.4,1021950697.6,432774076.3,50973723.3,4108434.5
Covid19Sim-Simulator,39830.7,39000.1,33460.5,28477.6,13785.4,,,1538.8,16134983792.1,13111277045.3,8254228390.9,5512785604.5,846565288.4,,,6442879.7
IHME-CurveFit,,,52410.0,42302.1,35938.4,30943.3,,,,,21927104193.2,16725390803.5,9331978050.7,5467072506.2,,
TTU-squider,,,,,,,3968.3,3864.3,,,,,,,38004005.4,111366198.2
IQVIA_ACOE-STAN,,,,,,,,1302.3,,,,,,,,6069442.0
UMich-RidgeTfReg,,,,,,11263.3,,,,,,,,546880954.5,,
CovidActNow-SEIR_CAN,58435.3,,,,,,,,36667239948.4,,,,,,,
