,perc_error_2020-09-07_2020-10-31,perc_error_2020-09-14_2020-10-31,perc_error_2020-09-21_2020-10-31,perc_error_2020-09-28_2020-10-31,perc_error_2020-10-05_2020-10-31,perc_error_2020-10-12_2020-10-31,perc_error_2020-10-19_2020-10-31,perc_error_2020-10-26_2020-10-31
CU-select,,,0.047,0.050,-0.188,-0.189,-0.171,-0.167
Columbia_UNC-SurvCon,-0.120,-0.377,-0.407,-0.064,-0.069,-0.273,-0.211,-0.152
QJHong-Encounter,,,,-0.140,-0.301,-0.161,-0.149,-0.122
JCB-PRM,-0.435,-0.400,-0.390,-0.282,-0.204,-0.176,-0.276,-0.174
DDS-NBDS,,,,,-0.284,-0.196,-0.142,-0.056
COVIDhub-baseline,-0.222,-0.372,-0.298,-0.256,-0.321,-0.301,-0.259,-0.171
LNQ-ens1,,,,,-0.313,-0.179,-0.160,-0.022
Karlen-pypm,,,,-0.355,-0.381,-0.247,-0.155,-0.050
USACE-ERDC_SEIR,-0.386,-0.450,-0.224,-0.284,,-0.214,,-0.074
USC-SI_kJalpha,-0.519,-0.632,-0.410,-0.385,-0.334,-0.287,-0.243,-0.149
UMich-RidgeTfReg,,,,,-0.267,-0.265,-0.186,-0.045
JHUAPL-Bucky,,-0.333,-0.225,-0.303,-0.378,-0.352,-0.275,-0.228
OliverWyman-Navigator,,,,,,-0.085,-0.076,-0.098
IBF-TimeSeries,-0.320,-0.443,-0.297,-0.323,,-0.372,-0.253,0.174
Covid19Sim-Simulator,-0.503,-0.544,-0.642,-0.546,-0.292,-0.293,-0.375,-0.164
RobertWalraven-ESG,-0.691,-0.720,-0.651,,-0.541,-0.403,-0.180,0.042
IowaStateLW-STEM,-0.201,-0.321,-0.403,-0.334,-0.449,-0.435,-0.377,-0.165
CEID-Walk,,,,,-0.302,-0.301,-0.258,-0.181
UCLA-SuEIR,-0.547,-0.662,-0.490,-0.465,-0.500,-0.430,-0.387,-0.159
COVIDhub-ensemble,,,,,-0.334,-0.306,-0.259,-0.164
BPagano-RtDriven,,,,,,,-0.152,-0.129
JHU_IDD-CovidSP,,,-0.528,-0.398,-0.354,-0.477,-0.474,-0.526
LANL-GrowthRate,,-0.647,-0.588,-0.596,-0.556,-0.480,-0.445,-0.273
Geneva-DetGrowth,,,,,,,,-0.113
IQVIA_ACOE-STAN,,,,,,,,-0.164
CovidAnalytics-DELPHI,,-0.665,-0.687,-0.701,-0.669,-0.628,-0.642,-0.502
MSRA-DeepST,,,,,,,-0.338,
JHU_CSSE-DECOM,,,,,,,,-0.226
TTU-squider,,,,,-0.666,-0.654,-0.662,-0.548
