,mean_abs_error_2020-12-07_2021-01-30,mean_abs_error_2020-12-14_2021-01-30,mean_abs_error_2020-12-21_2021-01-30,mean_abs_error_2020-12-28_2021-01-30,mean_abs_error_2021-01-04_2021-01-30,mean_abs_error_2021-01-11_2021-01-30,mean_abs_error_2021-01-18_2021-01-30,mean_abs_error_2021-01-25_2021-01-30,mean_sq_abs_error_2020-12-07_2021-01-30,mean_sq_abs_error_2020-12-14_2021-01-30,mean_sq_abs_error_2020-12-21_2021-01-30,mean_sq_abs_error_2020-12-28_2021-01-30,mean_sq_abs_error_2021-01-04_2021-01-30,mean_sq_abs_error_2021-01-11_2021-01-30,mean_sq_abs_error_2021-01-18_2021-01-30,mean_sq_abs_error_2021-01-25_2021-01-30
JHU_IDD-CovidSP,,,620.2,556.4,500.8,288.0,132.0,67.7,,,5805041.5,4232791.8,3621682.0,1001988.0,526439.1,150761.3
COVIDhub-baseline,1345.2,1004.5,717.0,541.8,339.0,446.0,286.1,79.6,46127726.6,11988930.3,8920667.3,6663312.1,4031912.3,5169047.6,3692495.4,172903.5
OneQuietNight-ML,,,,,353.6,278.1,143.4,54.7,,,,,1817933.1,1119721.6,923268.4,28122.5
LANL-GrowthRate,,,961.6,753.4,384.8,408.3,188.9,74.0,,,61945501.9,22857403.9,1729101.4,3081475.4,912413.6,113830.6
COVIDhub-ensemble,,,,,324.6,347.1,202.4,52.6,,,,,1796943.0,2734921.9,1359176.2,56795.3
IowaStateLW-STEM,1701.9,1273.2,761.6,591.2,408.9,337.5,344.0,128.6,118273464.6,44271043.1,6191672.5,8562134.7,3129714.3,1883769.3,3645924.2,636907.9
LNQ-ens1,,,,,335.8,512.1,175.1,50.0,,,,,1634646.5,5866955.6,1292628.2,47780.5
CEID-Walk,,,,,348.7,444.1,284.3,80.3,,,,,4725828.2,5595004.9,3699093.9,171299.7
UpstateSU-GRU,,,,,634.0,344.1,187.7,81.1,,,,,6229939.7,1273914.5,696281.5,130618.9
PandemicCentral-USCounty,,,,,488.5,315.7,247.4,111.0,,,,,4120581.2,1535544.7,809734.8,176277.5
JHUAPL-Bucky,2101.2,2564.1,2097.7,1274.7,659.9,627.2,333.2,103.2,132530454.6,370450615.3,252429977.6,88415988.0,12869419.8,9335054.8,1839728.8,375405.3
CU-select,,,829.1,933.1,1641.8,1377.3,395.8,87.1,,,15700343.9,20373471.3,86223674.3,74082526.6,13489966.1,203492.0
UChicagoCHATTOPADHYAY-UnIT,,,,,,,158.9,67.7,,,,,,,1045530.6,70009.3
FAIR-NRAR,,,,,536.2,640.2,207.2,101.2,,,,,5576735.4,9553965.4,1698926.7,137158.4
Google_Harvard-CPF,,,,,941.2,814.9,398.9,69.5,,,,,18994839.5,22301872.5,5089530.7,151510.8
OliverWyman-Navigator,,,,,,561.3,417.1,122.2,,,,,,6292606.5,5289656.5,444213.0
MITCovAlliance-SIR,,,,1734.9,1456.6,,,,,,,48959061.9,31001507.1,,,
UVA-Ensemble,,,,,951.9,901.8,636.1,286.7,,,,,160262260.3,89200954.4,37351082.9,7283593.2
