,perc_error_2021-01-11_2021-03-06,perc_error_2021-01-18_2021-03-06,perc_error_2021-01-25_2021-03-06,perc_error_2021-02-01_2021-03-06,perc_error_2021-02-08_2021-03-06,perc_error_2021-02-15_2021-03-06,perc_error_2021-02-22_2021-03-06,perc_error_2021-03-01_2021-03-06
Columbia_UNC-SurvCon,1.041,1.398,0.701,0.293,0.060,0.190,0.007,-0.027
USC-SI_kJalpha,-0.063,0.176,0.290,0.355,0.227,0.100,-0.081,0.053
JHUAPL-Bucky,0.987,0.769,-0.061,0.224,0.210,0.034,-0.221,0.074
LANL-GrowthRate,,,0.256,0.258,0.024,-0.279,-0.321,-0.031
UCF-AEM,1.013,0.726,0.501,0.453,0.308,0.145,-0.109,0.022
Covid19Sim-Simulator,1.247,0.783,0.395,0.733,0.633,-0.021,-0.063,0.062
Karlen-pypm,,,,0.121,0.059,-0.071,-0.213,-0.089
Microsoft-DeepSTIA,,,,,0.115,-0.020,-0.128,0.007
FDANIHASU-Sweight,,,0.747,0.567,0.445,0.094,-0.106,-0.046
QJHong-Encounter,,,,0.563,0.454,0.254,-0.040,-0.002
LNQ-ens1,,,,,0.135,-0.035,-0.106,0.025
COVIDhub-ensemble,,,,,0.261,0.079,-0.104,-0.008
BPagano-RtDriven,,,,,0.121,0.030,-0.138,-0.036
CovidAnalytics-DELPHI,,,1.341,0.731,0.091,0.007,-0.162,-0.264
IEM_MED-CovidProject,,,,,0.033,-0.110,-0.198,-0.029
JHU_IDD-CovidSP,,,0.481,0.386,0.343,0.593,0.202,-0.187
IowaStateLW-STEM,0.728,1.110,0.743,0.600,0.601,0.457,0.094,0.183
JHU_CSSE-DECOM,,,,,0.463,0.249,-0.015,0.083
CU-select,,,0.934,0.792,0.734,0.092,-0.205,-0.083
UpstateSU-GRU,,,,,0.113,0.205,-0.160,-0.157
UVA-Ensemble,,,,,,0.091,-0.095,-0.090
COVIDhub-trained_ensemble,,,,,0.309,0.758,-0.047,-0.089
MIT_ISOLAT-Mixtures,,,,,0.185,0.203,-0.110,-0.249
OneQuietNight-ML,,,,,0.294,-0.231,-0.060,-0.560
IBF-TimeSeries,1.077,1.077,0.789,0.796,0.637,0.538,-0.140,0.062
SigSci-TS,,,,,0.395,0.124,-0.148,0.090
TTU-squider,,,,,0.392,0.308,0.163,0.036
RobertWalraven-ESG,,,,,0.088,-0.155,-0.280,-0.181
MOBS-GLEAM_COVID,,,,,0.390,0.463,-0.056,-0.106
COVIDhub-baseline,1.021,1.112,0.877,0.832,0.651,0.431,0.100,0.117
UCLA-SuEIR,1.071,0.724,0.687,1.063,0.152,,0.257,0.263
UMich-RidgeTfReg,,,,,0.365,-0.147,0.812,0.076
OliverWyman-Navigator,,,,,,0.262,-0.222,-0.056
UChicagoCHATTOPADHYAY-UnIT,,,,,,,-0.174,0.060
Geneva-DetGrowth,,,,,,,,-0.013
CEID-Walk,,,,,0.680,0.444,0.478,0.139
IUPUI-HkPrMobiDyR,,,,,,,0.249,
DDS-NBDS,,,,,4.900,,2.014,0.519
