,perc_error_2020-07-06_2020-07-25,perc_error_2020-07-13_2020-07-25,perc_error_2020-07-20_2020-07-25
Columbia_UNC-SurvCon,0.181,-0.038,0.015
UCLA-SuEIR,-0.197,-0.029,0.032
USC-SI_kJalpha,0.057,0.063,0.045
IowaStateLW-STEM,-0.065,0.040,0.176
Covid19Sim-Simulator,-0.028,0.055,0.263
COVIDhub-baseline,-0.262,-0.132,-0.005
USACE-ERDC_SEIR,-0.290,-0.204,-0.047
RobertWalraven-ESG,-0.934,-0.117,0.024
UMich-RidgeTfReg,-0.326,-0.073,-0.113
OliverWyman-Navigator,0.226,0.273,0.217
LNQ-ens1,,0.021,0.677
QJHong-Encounter,,0.071,0.127
LANL-GrowthRate,-0.394,-0.305,-0.073
CovidAnalytics-DELPHI,-0.305,-0.284,-0.191
JHU_IDD-CovidSP,-0.272,-0.349,-0.327
Geneva-DetGrowth,,,0.077
COVIDhub-ensemble,,,0.131
IHME-CurveFit,,,0.741
