,mean_abs_error_2020-11-23_2021-01-16,mean_abs_error_2020-11-30_2021-01-16,mean_abs_error_2020-12-07_2021-01-16,mean_abs_error_2020-12-14_2021-01-16,mean_abs_error_2020-12-21_2021-01-16,mean_abs_error_2020-12-28_2021-01-16,mean_abs_error_2021-01-04_2021-01-16,mean_abs_error_2021-01-11_2021-01-16,mean_sq_abs_error_2020-11-23_2021-01-16,mean_sq_abs_error_2020-11-30_2021-01-16,mean_sq_abs_error_2020-12-07_2021-01-16,mean_sq_abs_error_2020-12-14_2021-01-16,mean_sq_abs_error_2020-12-21_2021-01-16,mean_sq_abs_error_2020-12-28_2021-01-16,mean_sq_abs_error_2021-01-04_2021-01-16,mean_sq_abs_error_2021-01-11_2021-01-16
COVIDhub-baseline,1744.0,1458.7,1025.9,712.5,405.1,340.1,180.4,91.9,96301446.9,79437964.1,37380214.6,10332736.8,2103972.4,2068100.9,442025.4,96460.5
LANL-GrowthRate,,,834.7,691.9,635.2,480.8,255.4,95.3,,,9878026.6,20871812.0,25521706.1,7414085.5,910776.1,143589.1
OneQuietNight-ML,1536.3,1229.7,,,322.5,330.5,209.9,80.9,100453820.9,58106687.0,,,2142196.5,2441911.6,792450.5,63281.4
COVIDhub-ensemble,,,,,333.8,384.3,233.5,74.2,,,,,1922712.2,2137768.2,725220.3,69672.2
IowaStateLW-STEM,2033.0,1533.8,1264.4,846.3,499.6,353.2,285.3,97.8,147160333.1,95156128.1,74022632.7,21225792.4,4296377.2,3164582.7,1483823.8,111000.4
LNQ-ens1,,,,,368.9,484.2,220.2,92.9,,,,,2994954.2,3162755.4,577849.9,112032.1
CEID-Walk,,,,,,346.7,184.3,91.4,,,,,,2147628.3,462705.3,91654.2
JHU_IDD-CovidSP,,,1042.7,803.5,497.0,466.0,402.7,177.4,,,38514921.3,31718021.6,6163612.4,4140295.7,3132403.3,554012.3
CU-select,,,1095.1,764.5,562.6,550.9,371.1,188.8,,,25917299.9,10702620.8,7358509.0,5193420.3,3993436.0,965728.8
FAIR-NRAR,,,,,477.3,411.8,309.8,116.8,,,,,3472171.6,2898473.9,1472478.2,333739.6
OliverWyman-Navigator,,,,,,363.3,222.8,101.8,,,,,,3342050.4,966534.4,101984.9
PandemicCentral-USCounty,,,,,458.5,423.9,319.9,122.7,,,,,3930405.0,3335245.2,1630289.2,467680.2
JHUAPL-Bucky,4875.6,2051.4,1380.5,1533.4,1177.2,699.7,245.2,138.1,409149194.6,67443743.9,45301173.4,117394726.8,61792511.3,20102531.3,1085044.4,311980.0
UChicagoCHATTOPADHYAY-UnIT,,,,,,,263.4,111.7,,,,,,,1657912.5,216121.7
Google_Harvard-CPF,,,,,1985.9,480.4,429.0,139.9,,,,,1125044954.7,4564350.0,3528515.8,329840.4
UpstateSU-GRU,,,,,,,365.7,135.8,,,,,,,2246351.8,417703.2
UVA-Ensemble,,,,,999.0,747.6,528.1,369.3,,,,,70147295.3,23848480.5,38636670.3,43819734.5
MITCovAlliance-SIR,,,,,,1152.3,838.8,,,,,,,23529725.6,10936970.9,
