,mean_abs_error_2020-07-06_2020-08-29,mean_abs_error_2020-07-13_2020-08-29,mean_abs_error_2020-07-20_2020-08-29,mean_abs_error_2020-07-27_2020-08-29,mean_abs_error_2020-08-03_2020-08-29,mean_abs_error_2020-08-10_2020-08-29,mean_abs_error_2020-08-17_2020-08-29,mean_abs_error_2020-08-24_2020-08-29,mean_sq_abs_error_2020-07-06_2020-08-29,mean_sq_abs_error_2020-07-13_2020-08-29,mean_sq_abs_error_2020-07-20_2020-08-29,mean_sq_abs_error_2020-07-27_2020-08-29,mean_sq_abs_error_2020-08-03_2020-08-29,mean_sq_abs_error_2020-08-10_2020-08-29,mean_sq_abs_error_2020-08-17_2020-08-29,mean_sq_abs_error_2020-08-24_2020-08-29
LNQ-ens1,,,248.1,172.2,163.3,93.6,53.5,24.9,,,994557.2,675290.0,756183.7,154581.7,42278.3,8968.5
COVIDhub-ensemble,,,263.2,176.2,166.6,102.0,59.1,26.6,,,1268131.6,906645.7,1079224.5,199796.0,86184.2,11209.1
OliverWyman-Navigator,499.0,,256.3,189.9,156.2,117.1,71.9,26.7,3951329.1,,913891.5,407375.1,373072.6,228472.9,182620.2,10457.7
COVIDhub-baseline,371.8,338.3,343.4,270.7,206.1,121.7,81.9,30.6,3212581.2,3963748.6,4380568.5,2660751.8,1730431.6,311916.6,180585.3,23163.7
USC-SI_kJalpha,814.0,656.0,610.9,239.9,189.0,113.8,79.3,34.0,12571704.6,6391275.3,3846461.5,1232904.4,866220.9,324320.2,165296.8,29900.1
LANL-GrowthRate,854.9,775.4,582.9,330.3,226.9,134.4,78.0,30.0,22258718.3,21118156.5,20837407.4,3859285.2,1531747.3,288568.9,156070.2,8730.8
UCLA-SuEIR,,,,313.4,234.4,129.6,80.6,31.3,,,,4112575.3,1358202.2,327942.6,180890.6,22465.0
CEID-Walk,,,,,,120.0,83.9,30.9,,,,,,294905.6,190894.1,22087.4
JHU_IDD-CovidSP,577.4,407.7,298.5,354.4,260.7,156.8,89.5,37.8,7716703.9,3649089.5,1680686.8,1726553.3,850239.8,321374.2,72783.9,11094.1
RobertWalraven-ESG,,,,,248.4,266.4,77.7,35.7,,,,,5989938.4,4706598.7,86129.3,15472.6
IowaStateLW-STEM,793.6,928.8,548.0,365.2,239.5,,89.4,47.6,14616280.7,20445783.8,63126609.2,4939817.7,2025056.0,,135862.6,61237.6
CU-select,1106.1,872.1,808.8,454.1,321.2,164.5,118.4,33.9,56960220.0,33905492.4,34897423.9,7920850.3,5195730.2,487866.4,555412.8,21760.8
PandemicCentral-USCounty,,,,,,142.4,,,,,,,,296880.7,,
MITCovAlliance-SIR,,,,,,,95.3,,,,,,,,225139.2,
Yu_Group-CLEP,,,,,,166.0,263.6,,,,,,,466840.7,1623706.4,
UVA-Ensemble,,,,,,,,44.2,,,,,,,,50767.5
