,perc_error_2020-07-06_2020-08-22,perc_error_2020-07-13_2020-08-22,perc_error_2020-07-20_2020-08-22,perc_error_2020-07-27_2020-08-22,perc_error_2020-08-03_2020-08-22,perc_error_2020-08-10_2020-08-22,perc_error_2020-08-17_2020-08-22
Columbia_UNC-SurvCon,0.328,0.046,0.039,0.024,-0.044,-0.089,0.081
USACE-ERDC_SEIR,-0.362,-0.225,0.060,0.074,-0.040,-0.045,0.072
USC-SI_kJalpha,0.375,0.431,0.513,-0.048,0.036,-0.032,0.031
CovidAnalytics-DELPHI,-0.236,-0.209,-0.073,0.098,0.196,0.116,0.073
LANL-GrowthRate,-0.470,-0.337,-0.160,-0.190,-0.200,-0.153,-0.083
UCLA-SuEIR,-0.100,0.204,0.358,0.353,0.228,0.048,0.126
QJHong-Encounter,,,,0.208,0.067,0.013,0.123
COVIDhub-baseline,-0.183,0.006,0.194,0.258,0.270,0.130,0.186
LNQ-ens1,,,,0.475,0.125,-0.006,0.086
DDS-NBDS,,,,-0.233,0.120,0.070,0.106
UMich-RidgeTfReg,,,,0.244,0.189,0.127,0.012
IowaStateLW-STEM,0.113,0.313,0.350,0.248,0.256,,0.134
COVIDhub-ensemble,,,,0.263,0.195,0.104,0.088
OliverWyman-Navigator,,,,,0.301,0.037,0.086
JHU_IDD-CovidSP,,,0.051,0.409,0.391,0.257,0.207
RobertWalraven-ESG,,,,0.644,0.134,0.250,-0.147
Covid19Sim-Simulator,0.301,0.405,0.545,0.683,0.437,,-0.139
CU-select,,,,,,0.073,0.171
TTU-squider,,,,,,,0.087
CEID-Walk,,,,,,0.113,0.187
Karlen-pypm,,,,0.933,0.674,0.279,0.153
IHME-CurveFit,,,0.932,1.032,1.222,1.492,
Geneva-DetGrowth,,,,,,,0.213
