,mean_abs_error_2020-07-06_2020-07-25,mean_abs_error_2020-07-13_2020-08-01,mean_abs_error_2020-07-20_2020-08-08,mean_abs_error_2020-07-27_2020-08-15,mean_abs_error_2020-08-03_2020-08-22,mean_abs_error_2020-08-10_2020-08-29,mean_abs_error_2020-08-17_2020-09-05,mean_abs_error_2020-08-24_2020-09-12,mean_abs_error_2020-08-31_2020-09-19,mean_abs_error_2020-09-07_2020-09-26,mean_abs_error_2020-09-14_2020-10-03,mean_abs_error_2020-09-21_2020-10-10,mean_abs_error_2020-09-28_2020-10-17,mean_abs_error_2020-10-05_2020-10-24,mean_abs_error_2020-10-12_2020-10-31,mean_abs_error_2020-10-19_2020-11-07,mean_abs_error_2020-10-26_2020-11-14,mean_abs_error_2020-11-02_2020-11-21,mean_abs_error_2020-11-09_2020-11-28,mean_abs_error_2020-11-16_2020-12-05,mean_abs_error_2020-11-23_2020-12-12,mean_abs_error_2020-11-30_2020-12-19,mean_abs_error_2020-12-07_2020-12-26,mean_abs_error_2020-12-14_2021-01-02,mean_abs_error_2020-12-21_2021-01-09,mean_abs_error_2020-12-28_2021-01-16,mean_abs_error_2021-01-04_2021-01-23,mean_abs_error_2021-01-11_2021-01-30,mean_abs_error_2021-01-18_2021-02-06,mean_abs_error_2021-01-25_2021-02-13,mean_abs_error_2021-02-01_2021-02-20,mean_abs_error_2021-02-08_2021-02-27,mean_abs_error_2021-02-15_2021-03-06,mean_sq_abs_error_2020-07-06_2020-07-25,mean_sq_abs_error_2020-07-13_2020-08-01,mean_sq_abs_error_2020-07-20_2020-08-08,mean_sq_abs_error_2020-07-27_2020-08-15,mean_sq_abs_error_2020-08-03_2020-08-22,mean_sq_abs_error_2020-08-10_2020-08-29,mean_sq_abs_error_2020-08-17_2020-09-05,mean_sq_abs_error_2020-08-24_2020-09-12,mean_sq_abs_error_2020-08-31_2020-09-19,mean_sq_abs_error_2020-09-07_2020-09-26,mean_sq_abs_error_2020-09-14_2020-10-03,mean_sq_abs_error_2020-09-21_2020-10-10,mean_sq_abs_error_2020-09-28_2020-10-17,mean_sq_abs_error_2020-10-05_2020-10-24,mean_sq_abs_error_2020-10-12_2020-10-31,mean_sq_abs_error_2020-10-19_2020-11-07,mean_sq_abs_error_2020-10-26_2020-11-14,mean_sq_abs_error_2020-11-02_2020-11-21,mean_sq_abs_error_2020-11-09_2020-11-28,mean_sq_abs_error_2020-11-16_2020-12-05,mean_sq_abs_error_2020-11-23_2020-12-12,mean_sq_abs_error_2020-11-30_2020-12-19,mean_sq_abs_error_2020-12-07_2020-12-26,mean_sq_abs_error_2020-12-14_2021-01-02,mean_sq_abs_error_2020-12-21_2021-01-09,mean_sq_abs_error_2020-12-28_2021-01-16,mean_sq_abs_error_2021-01-04_2021-01-23,mean_sq_abs_error_2021-01-11_2021-01-30,mean_sq_abs_error_2021-01-18_2021-02-06,mean_sq_abs_error_2021-01-25_2021-02-13,mean_sq_abs_error_2021-02-01_2021-02-20,mean_sq_abs_error_2021-02-08_2021-02-27,mean_sq_abs_error_2021-02-15_2021-03-06
LNQ-ens1,,,150.7,110.4,114.1,92.6,93.4,82.5,78.3,83.0,108.7,93.6,103.6,141.6,145.9,228.5,299.2,374.5,288.1,309.7,316.3,449.4,309.1,261.4,244.2,484.2,269.9,512.1,346.6,158.1,145.4,123.2,96.8,,,632933.0,298402.9,377616.1,149815.7,125076.8,69685.6,58362.3,125143.4,231661.0,95079.4,111242.5,200926.5,236670.9,541259.4,796886.3,1009621.6,1113116.4,1279951.6,1862071.5,7899519.2,1721130.4,693057.2,1309975.4,3162755.4,812260.1,5866955.6,4459749.2,753871.1,473065.1,255468.8,103846.6
COVIDhub-ensemble,,,149.2,108.9,118.6,100.4,98.2,86.1,81.5,86.2,113.0,104.7,121.0,155.2,185.4,264.5,362.5,440.5,380.2,349.5,348.1,436.7,339.6,279.1,224.2,384.3,281.5,347.1,382.5,224.0,227.0,155.6,101.5,,,651380.2,406941.1,542207.7,195943.2,182809.4,101921.6,57868.2,151112.9,263298.2,128841.6,190814.6,247335.6,442911.8,832295.3,1409935.1,2083627.9,1599523.8,2084786.1,2243462.7,7091152.5,4437649.3,1449645.6,912430.9,2137768.2,1038218.1,2734921.9,4583135.4,1113352.6,1005343.2,452489.7,104851.2
COVIDhub-baseline,139.3,128.2,133.3,134.6,143.2,121.0,134.5,107.6,96.5,103.9,101.2,106.7,123.2,136.4,162.8,235.1,342.9,455.6,409.4,362.1,390.5,466.8,420.3,370.6,269.4,340.1,245.3,446.0,521.8,386.6,390.5,308.3,211.6,599192.1,358285.1,480768.7,532571.0,798958.4,312581.6,470514.5,291448.5,123085.4,151316.0,217291.5,92165.3,607812.0,202922.9,341029.7,674648.9,1261022.9,2312723.7,1648841.7,2209968.9,3330093.6,8394484.9,7442669.8,3246168.0,949961.5,2068100.9,1210753.1,5169047.6,11472398.3,4625768.1,3648048.0,2003755.2,746901.8
OliverWyman-Navigator,177.1,,306.1,225.2,162.6,117.9,123.6,98.5,114.3,139.6,135.5,141.9,161.4,139.3,160.9,204.4,282.8,375.5,285.7,372.4,453.9,387.4,374.7,393.9,390.9,363.3,345.1,561.3,749.8,510.7,384.5,260.5,153.9,879479.2,,2958240.8,1080774.6,572764.0,244107.1,566270.0,154325.2,124155.2,199317.3,313970.8,172080.2,1028603.4,204631.1,239640.9,406472.0,828495.2,1609149.7,794083.3,1988825.8,2381467.3,4079324.2,4850238.4,1184065.4,2328549.2,3342050.4,3820940.6,6292606.5,15322918.4,6606555.8,2660222.0,1056056.4,251509.7
LANL-GrowthRate,200.5,202.0,197.4,154.1,155.1,135.2,139.7,108.8,114.8,122.7,140.3,145.6,154.7,199.0,227.8,326.2,433.0,363.8,358.1,551.5,442.1,448.3,364.4,385.6,458.9,480.8,310.6,408.3,356.8,197.8,173.5,137.6,137.6,1013475.7,883171.6,1733683.2,687092.1,701887.8,289622.4,447558.6,86463.4,108271.3,184356.1,227983.8,213632.5,165567.9,303743.2,466016.8,1007740.7,1690527.1,1000645.3,1525672.5,4732427.0,2089288.1,3798273.4,1688772.3,6153119.5,15107372.3,7414085.5,957226.2,3081475.4,3655352.0,492026.8,595324.5,203248.0,249906.4
CEID-Walk,,,,,,118.9,137.0,110.6,98.8,106.5,102.8,107.2,124.9,139.9,163.3,235.6,343.9,456.6,409.8,362.2,392.5,467.1,423.7,371.2,,346.7,252.8,444.1,518.4,386.5,394.3,314.9,214.7,,,,,,293528.1,491086.0,317173.3,137246.9,175382.1,222993.1,93749.4,634593.0,215967.2,340558.8,682495.9,1276983.3,2303065.7,1611945.9,2183737.4,3433056.1,8470944.6,7367973.5,3320060.8,,2147628.3,1469828.0,5595004.9,11540696.4,4730035.5,4059148.7,2312154.4,765813.5
USC-SI_kJalpha,252.1,242.5,301.1,126.2,136.2,111.8,145.9,117.9,133.2,124.1,138.3,134.3,151.7,154.7,196.0,268.0,417.9,524.5,542.2,,,,,,,,,,,,,,,1453829.6,998739.1,1118666.3,418138.9,486666.4,319689.8,532674.6,267848.6,457915.8,217663.6,377563.0,217013.8,353161.0,247446.1,455501.6,859340.4,2284431.2,2348478.1,2816725.9,,,,,,,,,,,,,,
JHU_IDD-CovidSP,248.2,207.6,175.1,173.2,177.1,158.0,142.2,118.7,107.1,112.6,129.7,139.5,142.9,184.2,240.0,329.0,482.3,656.9,,393.1,411.4,501.5,485.1,454.7,371.6,466.0,477.3,288.0,253.8,267.6,241.6,206.7,279.9,1711500.1,1410012.9,789681.9,384696.8,375308.0,330316.2,173839.7,118976.0,87847.6,195001.1,343311.6,308784.0,219908.9,419704.2,812782.6,1529055.6,2967103.2,4762951.6,,2244223.4,3345415.6,9353618.2,10149693.3,11909555.9,3911569.2,4140295.7,3876077.9,1001988.0,2311435.2,3337872.9,2509784.6,1849962.6,2945067.0
IowaStateLW-STEM,199.0,309.3,237.7,183.2,168.8,,138.7,149.1,118.3,128.9,115.6,131.4,150.9,163.1,209.6,297.9,367.1,472.5,478.9,429.0,473.8,499.0,517.3,466.0,352.7,353.2,350.2,337.5,577.8,480.0,428.0,335.0,267.9,704581.5,2925507.2,15283930.8,1161505.4,991232.8,,304159.4,587723.9,482804.6,1030670.4,215534.7,222115.0,380845.9,311569.2,600437.7,1198346.5,1625181.3,2593776.0,2633597.4,3321517.5,5691470.7,9648729.7,13408626.6,6269109.1,2022046.3,3164582.7,2191696.6,1883769.3,10260214.6,8547689.4,6654571.8,2699807.6,1153774.5
UCLA-SuEIR,,,,151.7,159.1,127.9,133.8,118.8,109.1,107.2,,,140.9,174.8,,,,,,,,,,,,,,,,,,,,,,,799944.5,639513.0,323472.2,429204.4,304941.7,198405.5,212953.3,,,258046.0,288542.5,,,,,,,,,,,,,,,,,,,
OneQuietNight-ML,,,,,,,,,,,,,,,,,,,,,385.2,373.6,352.5,296.3,208.5,330.5,298.3,278.1,240.7,210.3,193.7,197.2,177.7,,,,,,,,,,,,,,,,,,,,,3131369.8,5804846.9,7126576.4,4177036.2,638199.2,2441911.6,1375772.1,1119721.6,2220012.9,403795.7,391153.8,606421.7,595253.6
