,perc_error_2020-07-06_2020-08-15,perc_error_2020-07-13_2020-08-15,perc_error_2020-07-20_2020-08-15,perc_error_2020-07-27_2020-08-15,perc_error_2020-08-03_2020-08-15,perc_error_2020-08-10_2020-08-15
Columbia_UNC-SurvCon,0.279,0.013,0.025,0.006,-0.031,-0.094
USACE-ERDC_SEIR,-0.345,-0.217,0.028,0.043,-0.046,-0.063
COVIDhub-baseline,-0.216,-0.043,0.129,0.184,0.192,0.037
CovidAnalytics-DELPHI,-0.265,-0.237,-0.112,0.043,0.137,0.055
USC-SI_kJalpha,0.308,0.359,0.437,-0.027,0.056,-0.029
UMich-RidgeTfReg,-0.533,-0.089,0.138,0.122,0.055,-0.073
QJHong-Encounter,,0.080,0.619,0.125,0.038,-0.034
OliverWyman-Navigator,-0.349,-0.035,0.288,0.494,0.223,-0.006
UCLA-SuEIR,-0.133,0.137,0.276,0.293,0.209,0.107
JHU_IDD-CovidSP,-0.317,-0.127,-0.044,0.285,0.264,0.125
COVIDhub-ensemble,,,0.256,0.185,0.139,0.031
IowaStateLW-STEM,0.050,0.220,0.290,0.191,0.202,
LNQ-ens1,,-0.076,0.986,0.401,0.076,-0.037
LANL-GrowthRate,-0.457,-0.327,-0.144,-0.174,-0.188,-0.158
RobertWalraven-ESG,-0.957,-0.229,1.070,0.265,0.055,0.061
DDS-NBDS,,,,-0.209,0.082,-0.016
Covid19Sim-Simulator,0.189,0.291,0.449,0.594,0.375,
Geneva-DetGrowth,-0.856,-0.782,-0.695,-0.590,-0.401,0.053
CEID-Walk,,,,,,0.025
CU-select,,,,,,-0.027
Karlen-pypm,,,,0.689,0.500,0.173
IHME-CurveFit,,,0.891,0.968,1.161,1.306
