,perc_error_2020-12-21_2021-02-13,perc_error_2020-12-28_2021-02-13,perc_error_2021-01-04_2021-02-13,perc_error_2021-01-11_2021-02-13,perc_error_2021-01-18_2021-02-13,perc_error_2021-01-25_2021-02-13,perc_error_2021-02-01_2021-02-13,perc_error_2021-02-08_2021-02-13
JHU_IDD-CovidSP,,,-0.101,0.094,0.287,0.237,0.173,0.151
LANL-GrowthRate,,,0.093,0.699,0.500,-0.072,-0.051,-0.131
USC-SI_kJalpha,-0.374,-0.342,-0.251,0.177,0.602,0.208,0.242,0.167
JHUAPL-Bucky,0.472,-0.008,0.247,0.635,0.542,0.003,0.173,0.203
LNQ-ens1,,,,,0.430,0.178,0.032,0.023
Karlen-pypm,,,,0.496,0.639,0.378,0.105,0.086
Columbia_UNC-SurvCon,1.714,0.175,-0.082,0.557,0.800,0.435,0.221,0.106
UCF-AEM,0.231,0.049,0.264,0.677,0.482,0.277,0.241,0.136
IEM_MED-CovidProject,,,,,0.655,0.067,0.094,0.057
UpstateSU-GRU,,,,,0.157,0.046,0.218,0.239
IowaStateLW-STEM,0.202,0.098,0.023,0.405,0.708,0.417,0.310,0.291
UCLA-SuEIR,-0.063,-0.214,-0.011,0.689,0.406,0.415,0.562,0.220
RobertWalraven-ESG,,,,,0.527,0.382,0.107,0.109
IBF-TimeSeries,0.203,0.056,0.315,0.678,0.606,0.317,0.322,0.198
TTU-squider,,,,,0.130,0.200,0.268,0.391
CovidAnalytics-DELPHI,,,-0.136,0.592,0.993,0.876,0.344,0.116
MOBS-GLEAM_COVID,,,,,0.485,0.231,0.248,0.260
BPagano-RtDriven,,,,,0.609,0.390,0.313,0.058
COVIDhub-baseline,0.225,0.087,0.213,0.588,0.644,0.442,0.402,0.271
QJHong-Encounter,,,,0.474,0.749,0.405,0.289,0.248
Covid19Sim-Simulator,0.238,-0.093,0.247,0.693,0.581,0.340,0.423,0.309
COVIDhub-ensemble,,,,,0.647,0.388,0.282,0.158
Microsoft-DeepSTIA,,,,,0.678,0.574,0.261,0.109
UChicagoCHATTOPADHYAY-UnIT,,,,,,,0.137,0.056
FDANIHASU-Sweight,,,,,,0.275,0.286,0.171
SigSci-TS,,,,,0.670,0.574,0.429,0.030
CU-select,,,1.170,1.703,0.823,0.401,0.324,0.202
OneQuietNight-ML,,,,,0.741,0.504,0.363,0.129
UMich-RidgeTfReg,,,,,0.412,0.475,0.473,0.265
MIT_ISOLAT-Mixtures,,,,,1.193,0.392,0.272,0.254
CEID-Walk,,,,,0.630,0.474,0.409,0.243
UVA-Ensemble,,,,,1.054,0.916,0.220,
Geneva-DetGrowth,,,,,,,,-0.056
JHU_CSSE-DECOM,,,,,,,0.395,0.151
COVIDhub-trained_ensemble,,,,,,,0.363,0.160
OliverWyman-Navigator,,,,,,0.584,0.406,0.290
DDS-NBDS,,,,,3.829,1.187,2.132,6.297
JCB-PRM,1.302,0.727,,,,,,
