,perc_error_2020-08-17_2020-10-10,perc_error_2020-08-24_2020-10-10,perc_error_2020-08-31_2020-10-10,perc_error_2020-09-07_2020-10-10,perc_error_2020-09-14_2020-10-10,perc_error_2020-09-21_2020-10-10,perc_error_2020-09-28_2020-10-10,perc_error_2020-10-05_2020-10-10
COVIDhub-baseline,0.229,0.039,-0.003,-0.040,-0.223,-0.120,-0.038,-0.114
Columbia_UNC-SurvCon,-0.214,-0.414,-0.253,0.045,-0.213,-0.240,0.056,0.020
USACE-ERDC_SEIR,-0.260,-0.389,-0.221,-0.157,-0.242,0.087,-0.047,
CU-select,,,0.291,0.390,0.112,0.053,-0.039,-0.112
IowaStateLW-STEM,-0.015,0.015,0.056,0.025,-0.124,-0.191,-0.071,-0.186
QJHong-Encounter,,,,-0.111,-0.335,-0.070,0.052,-0.094
JCB-PRM,,,,-0.145,-0.224,-0.162,-0.081,-0.049
UMich-RidgeTfReg,,,,,-0.250,-0.079,0.025,-0.033
CEID-Walk,,,,,-0.248,-0.119,-0.028,-0.085
LNQ-ens1,,,,,-0.255,-0.073,-0.030,-0.100
USC-SI_kJalpha,-0.398,-0.455,-0.336,-0.247,-0.404,-0.126,-0.058,-0.101
JHUAPL-Bucky,,,,,-0.149,-0.043,-0.069,-0.140
IBF-TimeSeries,,,,-0.161,-0.310,-0.124,-0.138,
OliverWyman-Navigator,,,,,,0.052,0.148,-0.021
UCLA-SuEIR,-0.143,-0.157,-0.061,-0.327,-0.477,-0.252,-0.168,-0.180
Karlen-pypm,,,,-0.149,-0.243,-0.254,-0.175,-0.203
COVIDhub-ensemble,,,,,-0.256,-0.183,-0.069,-0.145
Covid19Sim-Simulator,-0.195,-0.383,-0.433,-0.301,-0.351,-0.411,-0.267,-0.105
TTU-squider,,,,,0.215,,0.050,-0.487
DDS-NBDS,,,,,-0.278,0.308,0.150,-0.173
JHU_IDD-CovidSP,,,,-0.225,-0.340,-0.381,-0.233,-0.205
IQVIA_ACOE-STAN,,,,,,,-0.078,-0.113
LANL-GrowthRate,,-0.521,-0.494,-0.511,-0.434,-0.322,-0.307,-0.238
CovidAnalytics-DELPHI,,-0.340,-0.385,-0.435,-0.504,-0.529,-0.537,-0.481
Geneva-DetGrowth,,,,,,,,-0.113
RobertWalraven-ESG,-0.394,-0.406,-0.462,-0.527,-0.567,-0.461,,-0.215
