,perc_error_2020-12-14_2021-02-06,perc_error_2020-12-21_2021-02-06,perc_error_2020-12-28_2021-02-06,perc_error_2021-01-04_2021-02-06,perc_error_2021-01-11_2021-02-06,perc_error_2021-01-18_2021-02-06,perc_error_2021-01-25_2021-02-06,perc_error_2021-02-01_2021-02-06
LANL-GrowthRate,,,-0.024,0.013,0.504,0.352,-0.150,-0.101
JHU_IDD-CovidSP,,,-0.131,-0.185,-0.020,0.144,0.102,0.059
JHUAPL-Bucky,0.589,0.389,-0.045,0.172,0.494,0.445,0.026,0.135
UpstateSU-GRU,,,,,-0.309,0.041,-0.013,0.127
IBF-TimeSeries,0.157,0.136,-0.021,0.218,0.547,0.444,0.131,0.097
UCF-AEM,0.212,0.169,0.003,0.183,0.553,0.393,0.186,0.152
IowaStateLW-STEM,0.129,0.135,0.031,-0.047,0.299,0.575,0.302,0.202
COVIDhub-baseline,0.104,0.149,0.010,0.116,0.449,0.493,0.295,0.250
MOBS-GLEAM_COVID,,,,,0.128,0.374,0.151,0.167
USC-SI_kJalpha,-0.351,-0.329,-0.287,-0.174,0.343,0.488,0.161,0.180
TTU-squider,,,,,0.007,0.102,0.161,0.226
Karlen-pypm,,,,0.169,0.365,0.496,0.286,0.073
LNQ-ens1,,,,,0.595,0.331,0.077,-0.005
Columbia_UNC-SurvCon,1.481,1.330,0.096,-0.130,0.408,0.615,0.331,0.171
RobertWalraven-ESG,,,,,0.328,0.429,0.285,0.077
UCLA-SuEIR,-0.108,-0.088,-0.229,-0.049,0.553,0.286,0.288,0.329
Covid19Sim-Simulator,0.369,0.177,-0.112,0.137,0.508,0.490,0.290,0.291
QJHong-Encounter,,,,0.144,0.361,0.582,0.270,0.186
CovidAnalytics-DELPHI,,,0.016,-0.136,0.522,0.886,0.524,0.238
IEM_MED-CovidProject,,,,,0.816,0.512,0.042,0.054
BPagano-RtDriven,,,,,0.356,0.481,0.286,0.207
COVIDhub-ensemble,,,,,0.474,0.501,0.269,0.176
Microsoft-DeepSTIA,,,,,0.441,0.507,0.420,0.099
CU-select,,,-0.204,0.982,1.406,0.618,0.178,0.142
UChicagoCHATTOPADHYAY-UnIT,,,,,,,-0.057,0.056
CEID-Walk,,,,,0.434,0.475,0.301,0.278
FDANIHASU-Sweight,,,,,,,0.141,0.167
UMich-RidgeTfReg,,,,,0.745,0.323,0.314,0.340
OneQuietNight-ML,,,,,0.515,0.547,0.334,0.220
UVA-Ensemble,,,,,0.676,0.902,0.797,0.070
Geneva-DetGrowth,,,,,,,,0.024
SigSci-TS,,,,,0.588,0.500,0.433,0.345
MIT_ISOLAT-Mixtures,,,,,,0.984,0.294,0.231
OliverWyman-Navigator,,,,,,0.714,0.435,0.290
JCB-PRM,0.981,0.991,0.577,,,,,
COVIDhub-trained_ensemble,,,,,,,,0.207
JHU_CSSE-DECOM,,,,,,,,0.235
DDS-NBDS,,,,,1.632,3.423,0.745,1.611
