,perc_error_2021-01-04_2021-02-27,perc_error_2021-01-11_2021-02-27,perc_error_2021-01-18_2021-02-27,perc_error_2021-01-25_2021-02-27,perc_error_2021-02-01_2021-02-27,perc_error_2021-02-08_2021-02-27,perc_error_2021-02-15_2021-02-27,perc_error_2021-02-22_2021-02-27
USC-SI_kJalpha,-0.340,0.000,0.282,0.286,0.350,0.247,0.151,-0.057
JHUAPL-Bucky,0.382,0.900,0.721,-0.028,0.234,0.245,0.085,-0.146
LANL-GrowthRate,,,0.823,0.158,0.161,-0.050,-0.230,-0.278
Karlen-pypm,,,,0.550,0.144,0.104,0.004,-0.158
UCF-AEM,0.424,0.919,0.664,0.451,0.412,0.288,0.161,-0.090
Columbia_UNC-SurvCon,0.015,0.887,1.212,0.639,0.299,0.109,0.214,-0.003
Covid19Sim-Simulator,0.466,1.081,0.744,0.407,0.672,0.567,0.093,0.027
LNQ-ens1,,,,,0.134,0.117,0.000,-0.102
JHU_IDD-CovidSP,,,0.480,0.430,0.343,0.310,0.508,0.124
IEM_MED-CovidProject,,,,,0.156,0.074,-0.036,-0.154
CovidAnalytics-DELPHI,,,0.990,1.342,0.636,0.135,0.079,-0.110
RobertWalraven-ESG,,,,,0.146,0.130,-0.067,-0.216
BPagano-RtDriven,,,,,0.480,0.146,0.085,-0.098
FDANIHASU-Sweight,,,,0.608,0.522,0.380,0.117,-0.085
OneQuietNight-ML,,,,,0.696,0.247,-0.079,0.010
MIT_ISOLAT-Mixtures,,,,,0.305,0.254,0.297,-0.026
Microsoft-DeepSTIA,,,,,0.486,0.149,0.064,-0.152
COVIDhub-ensemble,,,,,0.438,0.249,0.117,-0.080
UCLA-SuEIR,0.059,0.962,0.640,0.633,0.958,0.219,,0.175
UpstateSU-GRU,,,,,0.237,0.191,0.297,-0.128
IowaStateLW-STEM,0.176,0.631,0.995,0.657,0.533,0.540,0.427,0.041
SigSci-TS,,,,,0.458,0.238,0.123,-0.145
QJHong-Encounter,,,,0.702,0.500,0.417,0.261,-0.049
COVIDhub-baseline,0.426,0.888,0.973,0.754,0.719,0.566,0.382,0.040
UVA-Ensemble,,,,,0.396,,0.108,-0.080
MOBS-GLEAM_COVID,,,,,0.390,0.389,0.475,-0.047
COVIDhub-trained_ensemble,,,,,0.631,0.292,0.724,-0.048
JHU_CSSE-DECOM,,,,,0.752,0.391,0.212,-0.058
CU-select,,,1.082,0.825,0.690,0.568,0.106,-0.167
UMich-RidgeTfReg,,,,,0.729,0.379,-0.004,0.539
IBF-TimeSeries,0.522,0.959,0.940,0.659,0.678,0.543,0.455,-0.406
TTU-squider,,,,,0.309,0.441,0.395,0.210
OliverWyman-Navigator,,,,,,0.450,0.286,-0.172
IUPUI-HkPrMobiDyR,,,,,,,,-0.095
CEID-Walk,,,,,0.708,0.598,0.393,0.388
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,-0.158
Geneva-DetGrowth,,,,,,,,-0.259
DDS-NBDS,,,,,4.684,5.141,,1.240
