,mean_abs_error_2020-12-14_2021-02-06,mean_abs_error_2020-12-21_2021-02-06,mean_abs_error_2020-12-28_2021-02-06,mean_abs_error_2021-01-04_2021-02-06,mean_abs_error_2021-01-11_2021-02-06,mean_abs_error_2021-01-18_2021-02-06,mean_abs_error_2021-01-25_2021-02-06,mean_abs_error_2021-02-01_2021-02-06,mean_sq_abs_error_2020-12-14_2021-02-06,mean_sq_abs_error_2020-12-21_2021-02-06,mean_sq_abs_error_2020-12-28_2021-02-06,mean_sq_abs_error_2021-01-04_2021-02-06,mean_sq_abs_error_2021-01-11_2021-02-06,mean_sq_abs_error_2021-01-18_2021-02-06,mean_sq_abs_error_2021-01-25_2021-02-06,mean_sq_abs_error_2021-02-01_2021-02-06
JHU_IDD-CovidSP,,,28780.7,27782.0,14729.0,10669.0,6328.6,3104.1,,,2391049180.1,2115086188.9,650481215.1,784067757.1,242872009.9,47367494.4
LANL-GrowthRate,,,49252.3,23684.6,43876.2,22493.6,5945.2,2398.1,,,30011023156.4,2175966581.8,6317556633.8,2298600943.0,171891113.5,22516056.1
IowaStateLW-STEM,67738.8,45918.4,33712.5,20802.8,34373.1,35058.8,13086.1,3978.6,10484882467.1,5322567531.5,4342068480.0,1558018001.8,3211744453.9,4902411339.4,789438182.2,39193163.2
USC-SI_kJalpha,74796.5,63749.5,49865.6,28559.2,33078.0,30647.0,7608.0,3573.2,22671278686.3,11299444826.4,8775436638.5,3042465261.7,5960053803.7,4564345656.8,202914712.7,44702632.0
COVIDhub-baseline,59583.6,45538.6,34114.0,23281.7,41336.3,30354.2,11125.8,4258.7,8678578377.8,8346720792.8,6402564396.7,2905036717.1,5774934668.0,4636344114.7,515566744.7,74358548.0
UCLA-SuEIR,82605.3,61536.9,44870.3,34697.7,38756.6,15860.1,9039.9,4419.9,22811611119.2,14517989104.0,7696171836.3,5286185259.4,5606561109.3,2258287435.6,446877005.4,77975467.5
OneQuietNight-ML,,,,,26439.2,15631.0,7949.0,2614.0,,,,,1622521074.2,1258367701.1,133337329.8,19496423.0
LNQ-ens1,,,,,54890.1,19450.8,4575.6,2055.2,,,,,8888020488.5,1699638271.6,110220353.1,16930178.7
Karlen-pypm,,,,37614.9,36453.0,30787.2,11379.4,2384.9,,,,5466907435.8,6427963360.6,3975670765.4,690662768.2,14278197.9
Covid19Sim-Simulator,70437.5,52833.2,36561.6,26146.3,39970.9,33473.3,14094.0,4822.3,15327808358.5,24314288571.3,11582461742.3,6543512579.3,6517198254.9,4713534381.2,795821771.2,81548098.4
RobertWalraven-ESG,,,,,37715.2,23896.8,9317.5,2643.0,,,,,4874786837.8,2599821146.9,361979259.7,20435855.6
JHUAPL-Bucky,151145.1,117576.0,83125.9,31598.7,45974.8,27411.6,9336.4,4143.1,205934267947.3,181398882512.0,62255257962.2,5383392961.4,7086606806.1,2367307944.0,419333650.5,75736031.5
MOBS-GLEAM_COVID,,,,,15309.4,25734.2,9965.3,4817.7,,,,,577750936.0,5568804375.3,917384552.0,140014228.6
COVIDhub-ensemble,,,,,40981.5,29364.6,9418.0,3062.8,,,,,5667557264.2,3999137764.7,389235031.9,32953374.1
CU-select,,,40882.1,124734.7,130007.7,39160.5,7892.9,3287.9,,,3579149192.0,51169588067.7,68348915229.4,12570343019.5,238741147.9,46383323.6
BPagano-RtDriven,,,,,36918.6,31398.6,10996.5,4019.0,,,,,5172533193.3,5762086617.7,902224530.4,95312946.5
Microsoft-DeepSTIA,,,,,40916.1,31329.8,15733.0,2540.8,,,,,4482507727.6,3646100489.6,961110305.9,22783994.1
IEM_MED-CovidProject,,,,,92256.2,38050.8,7478.0,2572.5,,,,,27029374760.5,5139366268.7,147940753.3,26583484.2
JHU_UNC_GAS-StatMechPool,,,,,23360.3,,11130.2,3141.5,,,,,1326839003.8,,347730935.9,38874740.0
CEID-Walk,,,,,41421.8,30759.7,11093.2,4170.9,,,,,5894168493.3,4823113108.5,507936357.5,79126506.2
TTU-squider,,,,,35389.3,23243.2,15600.5,7355.2,,,,,5544503489.5,3535417869.5,1593411022.4,402063942.0
UChicagoCHATTOPADHYAY-UnIT,,,,,,,5859.9,2611.5,,,,,,,110591936.9,27295857.2
Google_Harvard-CPF,,,,,58470.9,35982.1,13107.4,2914.5,,,,,7195476446.6,3181111619.2,696116918.6,29422392.9
JHU_CSSE-DECOM,,,,,57645.8,40709.2,12121.8,3962.1,,,,,10275529844.6,8160661856.4,891913210.1,61434591.4
