,mean_abs_error_2020-09-28_2020-11-21,mean_abs_error_2020-10-05_2020-11-21,mean_abs_error_2020-10-12_2020-11-21,mean_abs_error_2020-10-19_2020-11-21,mean_abs_error_2020-10-26_2020-11-21,mean_abs_error_2020-11-02_2020-11-21,mean_abs_error_2020-11-09_2020-11-21,mean_abs_error_2020-11-16_2020-11-21,mean_sq_abs_error_2020-09-28_2020-11-21,mean_sq_abs_error_2020-10-05_2020-11-21,mean_sq_abs_error_2020-10-12_2020-11-21,mean_sq_abs_error_2020-10-19_2020-11-21,mean_sq_abs_error_2020-10-26_2020-11-21,mean_sq_abs_error_2020-11-02_2020-11-21,mean_sq_abs_error_2020-11-09_2020-11-21,mean_sq_abs_error_2020-11-16_2020-11-21
CU-select,,,761.2,626.2,544.1,398.6,212.0,97.0,,,5577294.4,3955366.6,3102190.2,1839479.7,335270.6,94120.0
COVIDhub-baseline,984.9,898.5,801.7,690.1,578.2,455.6,259.5,89.9,12823628.9,8823160.9,7288333.9,5264494.0,3344368.0,2312723.7,601377.0,97528.2
LNQ-ens1,,,,,507.5,374.5,177.3,73.2,,,,,2172561.8,1009621.6,353987.7,51876.3
LANL-GrowthRate,,1160.5,1021.1,898.1,726.3,363.8,208.5,111.1,,12571483.0,9810572.6,7579446.7,4617280.4,1000645.3,426276.5,151170.5
IowaStateLW-STEM,1054.7,1011.9,927.6,818.4,610.3,472.5,300.8,115.8,13857354.4,12158765.7,10535567.0,8180002.1,4281158.2,2593776.0,950869.6,161777.5
USC-SI_kJalpha,1170.8,1029.3,904.6,780.9,689.1,524.5,332.6,,14377951.6,10717464.7,8821512.3,6601103.2,5173839.1,2348478.1,1084391.8,
COVIDhub-ensemble,,,,,613.6,440.5,245.0,87.0,,,,,3879431.0,2083627.9,588603.5,95450.9
OliverWyman-Navigator,,,,,,375.5,181.9,78.6,,,,,,1609149.7,302469.2,65072.8
CEID-Walk,,,,,578.8,456.6,259.3,90.3,,,,,3397353.1,2303065.7,591223.9,97412.0
JHUAPL-Bucky,,,925.3,818.8,687.3,516.1,305.7,149.5,,,9973309.5,7895476.7,5789886.8,3009971.4,1217901.8,234081.6
UChicagoCHATTOPADHYAY-UnIT,,,,,,,162.1,86.1,,,,,,,294169.6,64924.4
Google_Harvard-CPF,,,,,639.4,451.9,326.9,118.9,,,,,4321006.8,2419092.6,780576.3,141751.5
JHU_IDD-CovidSP,,,907.9,804.8,750.9,656.9,,151.3,,,10548143.2,8143011.1,6687164.3,4762951.6,,240875.0
UVA-Ensemble,,,,,,343.5,440.6,149.3,,,,,,906922.8,6047937.4,620355.7
MITCovAlliance-SIR,1284.1,,1139.2,999.7,874.7,,,,19348689.0,,15137216.5,9125295.0,7093273.7,,,
PandemicCentral-USCounty,,,,,,,421.1,237.9,,,,,,,1736682.0,643770.7
RobertWalraven-ESG,1335.4,1238.2,,,,,,,17424848.9,14378905.5,,,,,,
UCLA-SuEIR,1162.8,1099.3,,,,,,,12994449.4,12502861.6,,,,,,
