,perc_error_2020-10-26_2020-12-19,perc_error_2020-11-02_2020-12-19,perc_error_2020-11-09_2020-12-19,perc_error_2020-11-16_2020-12-19,perc_error_2020-11-23_2020-12-19,perc_error_2020-11-30_2020-12-19,perc_error_2020-12-07_2020-12-19,perc_error_2020-12-14_2020-12-19
LANL-GrowthRate,,,0.019,0.237,-0.115,-0.210,-0.039,-0.035
UCLA-SuEIR,-0.679,-0.555,-0.251,-0.025,0.147,-0.266,-0.046,-0.019
CU-select,,,-0.097,-0.101,-0.121,-0.269,-0.052,-0.027
JCB-PRM,-0.501,-0.521,-0.515,-0.044,0.166,0.091,0.005,0.054
QJHong-Encounter,,,,0.001,0.129,-0.049,-0.130,0.012
Covid19Sim-Simulator,-0.305,-0.367,-0.176,,-0.054,-0.200,-0.080,-0.011
IBF-TimeSeries,-0.553,-0.528,-0.374,-0.176,-0.098,-0.219,0.003,0.132
BPagano-RtDriven,-0.447,-0.481,-0.228,0.072,0.229,-0.063,0.067,0.126
IowaStateLW-STEM,-0.628,-0.569,-0.530,-0.237,-0.050,-0.169,-0.107,0.046
UCF-AEM,,,,-0.318,-0.050,-0.207,-0.054,0.023
COVIDhub-ensemble,,,,,0.085,-0.207,-0.043,0.012
COVIDhub-baseline,-0.591,-0.553,-0.440,-0.247,-0.147,-0.222,-0.119,-0.027
JHUAPL-Bucky,-0.539,-0.428,-0.288,0.688,0.542,-0.061,-0.017,0.124
USC-SI_kJalpha,-0.623,-0.565,-0.552,-0.471,0.030,-0.257,-0.083,0.033
LNQ-ens1,,,,,-0.042,-0.299,-0.073,0.002
UVA-Ensemble,,,,,0.008,0.033,0.064,0.448
Karlen-pypm,,,,0.539,0.559,0.002,0.048,0.115
CEID-Walk,,,,,-0.146,-0.213,-0.114,-0.024
UMich-RidgeTfReg,,,,,0.343,-0.239,-0.005,0.079
DDS-NBDS,,,,,0.675,-0.013,0.209,0.026
OliverWyman-Navigator,,,,,,-0.097,-0.054,0.049
MSRA-DeepST,,,,,0.168,-0.150,-0.121,
TTU-squider,,,,,-0.172,0.020,-0.263,-0.102
JHU_CSSE-DECOM,,,,,0.305,-0.060,-0.148,
CovidAnalytics-DELPHI,,,-0.515,-0.297,0.415,0.271,0.185,0.174
IEM_MED-CovidProject,,,,,,,-0.003,0.060
Microsoft-DeepSTIA,,,,,,,-0.107,0.017
Columbia_UNC-SurvCon,-0.317,0.969,0.569,1.341,0.531,-0.413,0.135,-0.034
OneQuietNight-ML,,,,,0.682,0.080,0.235,-0.094
UChicagoCHATTOPADHYAY-UnIT,,,,,,,-0.051,-0.051
IQVIA_ACOE-STAN,,,,,,,-0.050,-0.054
JHU_IDD-CovidSP,,,,-0.265,-0.236,-0.322,-0.360,-0.354
USACE-ERDC_SEIR,-0.619,,,-0.302,-0.358,-0.450,,
RobertWalraven-ESG,,,,,0.292,-0.531,0.183,0.095
Geneva-DetGrowth,,,,,,,,-0.023
