,mean_abs_error_2021-01-04_2021-02-27,mean_abs_error_2021-01-11_2021-02-27,mean_abs_error_2021-01-18_2021-02-27,mean_abs_error_2021-01-25_2021-02-27,mean_abs_error_2021-02-01_2021-02-27,mean_abs_error_2021-02-08_2021-02-27,mean_abs_error_2021-02-15_2021-02-27,mean_abs_error_2021-02-22_2021-02-27,mean_sq_abs_error_2021-01-04_2021-02-27,mean_sq_abs_error_2021-01-11_2021-02-27,mean_sq_abs_error_2021-01-18_2021-02-27,mean_sq_abs_error_2021-01-25_2021-02-27,mean_sq_abs_error_2021-02-01_2021-02-27,mean_sq_abs_error_2021-02-08_2021-02-27,mean_sq_abs_error_2021-02-15_2021-02-27,mean_sq_abs_error_2021-02-22_2021-02-27
LANL-GrowthRate,,,1116.3,426.5,256.4,137.6,91.6,60.4,,,40930488.4,3153172.4,1344161.5,203248.0,100903.6,44584.6
LNQ-ens1,,,,,202.8,123.2,60.7,36.4,,,,,1025282.3,255468.8,42250.5,19624.2
JHU_IDD-CovidSP,,,780.3,535.8,328.2,206.7,173.0,50.3,,,17268852.5,10876813.8,4302821.4,1849962.6,1166222.3,85677.4
COVIDhub-ensemble,,,,,311.1,155.6,66.9,33.8,,,,,1955210.6,452489.7,51194.9,18334.4
COVIDhub-baseline,1217.5,1776.6,1481.2,860.1,569.7,308.3,131.0,44.6,72418156.2,93508273.5,81991406.6,21556721.4,7899310.2,2003755.2,296766.7,40317.4
FAIR-NRAR,,,,,209.9,123.1,74.7,69.6,,,,,1644413.3,183297.6,76961.0,75334.6
JHUAPL-Bucky,1657.9,2075.8,1228.0,538.4,462.4,270.9,170.0,60.0,118196104.9,130469232.3,26613482.6,6141414.7,5646473.0,1303808.0,475287.3,47439.3
OneQuietNight-ML,,,,,279.1,197.2,105.0,54.6,,,,,767772.8,606421.7,218605.6,61031.0
COVIDhub-trained_ensemble,,,,,351.4,147.3,412.7,39.9,,,,,2284210.0,333261.9,1215718.0,23663.4
Google_Harvard-CPF,,,,,424.4,172.3,94.2,55.9,,,,,3123660.5,368610.2,140700.6,45000.8
CU-select,,,1943.9,1148.5,633.4,379.8,87.6,40.8,,,348949547.3,45984514.5,13064823.9,7092139.3,98679.2,27191.2
CEID-Walk,,,,,575.5,314.9,133.4,39.5,,,,,8977473.1,2312154.4,301860.5,22012.9
OliverWyman-Navigator,,,,,,260.5,107.4,45.6,,,,,,1056056.4,144114.2,28304.8
UVA-Ensemble,,,,,424.4,,101.6,50.3,,,,,3382238.7,,168515.1,43181.6
IowaStateLW-STEM,764.6,1272.8,1498.3,947.4,593.1,335.0,174.6,56.6,24409713.7,37354449.9,63785976.7,29892236.2,12290358.3,2699807.6,510651.7,51121.7
UpstateSU-GRU,,,,,569.8,299.9,195.7,47.5,,,,,8551267.4,1610420.3,741138.0,31266.9
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,49.1,,,,,,,,39649.6
IUPUI-HkPrMobiDyR,,,,,,,,50.1,,,,,,,,50194.1
PandemicCentral-USCounty,,,,,675.9,398.4,192.3,,,,,,7071646.1,2126081.5,631834.2,
MITCovAlliance-SIR,2168.8,,,,,,,,60532555.4,,,,,,,
