,perc_error_2020-11-16_2021-01-09,perc_error_2020-11-23_2021-01-09,perc_error_2020-11-30_2021-01-09,perc_error_2020-12-07_2021-01-09,perc_error_2020-12-14_2021-01-09,perc_error_2020-12-21_2021-01-09,perc_error_2020-12-28_2021-01-09,perc_error_2021-01-04_2021-01-09
UCF-AEM,-0.333,-0.056,-0.198,-0.018,0.067,0.010,-0.123,-0.116
QJHong-Encounter,,,,-0.081,0.017,-0.000,-0.072,-0.061
IBF-TimeSeries,-0.242,-0.155,-0.228,-0.043,0.073,-0.004,-0.231,0.004
JHUAPL-Bucky,0.985,0.904,0.081,0.011,0.295,0.149,-0.128,-0.079
IowaStateLW-STEM,-0.283,-0.106,-0.202,-0.132,0.033,0.029,-0.103,-0.240
COVIDhub-baseline,-0.277,-0.176,-0.231,-0.113,-0.017,0.007,-0.163,-0.165
CU-select,,,-0.325,0.005,0.026,-0.057,-0.268,-0.107
Covid19Sim-Simulator,,-0.006,-0.220,0.079,0.122,0.045,-0.121,-0.213
TTU-squider,,,,,-0.073,0.004,-0.045,-0.156
LANL-GrowthRate,,,-0.226,-0.055,0.092,-0.131,-0.152,-0.216
CovidAnalytics-DELPHI,,,,0.233,0.206,0.032,0.059,-0.145
UCLA-SuEIR,0.015,0.291,-0.340,-0.017,-0.083,-0.078,-0.231,-0.177
USC-SI_kJalpha,-0.682,-0.431,-0.524,-0.213,0.155,0.030,-0.103,-0.201
OneQuietNight-ML,,0.407,0.228,,0.307,0.145,-0.084,-0.091
BPagano-RtDriven,0.009,,,,0.180,0.120,0.031,-0.123
LNQ-ens1,,,,,-0.005,0.004,-0.231,-0.179
Microsoft-DeepSTIA,,,,,0.012,0.090,-0.159,-0.153
DDS-NBDS,,,,,-0.013,0.072,2.352,-0.106
COVIDhub-ensemble,,,,,0.111,0.036,-0.124,-0.171
JCB-PRM,0.037,0.312,0.284,0.205,0.296,0.312,0.108,
IEM_MED-CovidProject,,,,,0.215,0.075,-0.088,-0.216
IQVIA_ACOE-STAN,,,,,0.015,,,
OliverWyman-Navigator,,,,,,0.198,-0.039,-0.164
UMich-RidgeTfReg,,,,,0.255,0.138,-0.280,-0.028
Columbia_UNC-SurvCon,3.450,1.123,-0.541,0.317,0.240,0.461,-0.078,-0.261
JHU_IDD-CovidSP,,,-0.267,-0.268,-0.217,-0.189,-0.314,-0.423
Karlen-pypm,,,,0.305,0.409,0.318,0.217,-0.133
RobertWalraven-ESG,,,,,0.275,0.132,-0.218,-0.179
UVA-Ensemble,,,,,0.328,0.399,-0.103,0.370
CEID-Walk,,,,,,,-0.177,-0.182
USACE-ERDC_SEIR,-0.492,-0.549,-0.610,,,,,
JHU_CSSE-DECOM,,,,,,,-0.201,
Geneva-DetGrowth,,,,,,,,-0.216
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,-0.245
