,perc_error_2020-12-28_2021-02-20,perc_error_2021-01-04_2021-02-20,perc_error_2021-01-11_2021-02-20,perc_error_2021-01-18_2021-02-20,perc_error_2021-01-25_2021-02-20,perc_error_2021-02-01_2021-02-20,perc_error_2021-02-08_2021-02-20,perc_error_2021-02-15_2021-02-20
LANL-GrowthRate,,,0.931,0.680,0.057,0.068,-0.072,-0.104
USC-SI_kJalpha,-0.377,-0.298,0.082,0.425,0.272,0.334,0.269,0.257
JHUAPL-Bucky,0.034,0.328,0.790,0.656,0.004,0.238,0.284,0.221
JHU_IDD-CovidSP,,,0.191,0.411,0.364,0.295,0.286,0.511
Karlen-pypm,,,,0.810,0.492,0.159,0.151,0.132
IEM_MED-CovidProject,,,,,0.109,0.159,0.120,0.092
UCF-AEM,0.102,0.353,0.815,0.594,0.390,0.364,0.271,0.231
LNQ-ens1,,,,,0.305,0.112,0.121,0.096
Columbia_UNC-SurvCon,0.268,-0.026,0.733,1.025,0.566,0.298,0.163,0.293
RobertWalraven-ESG,,,,,0.505,0.161,0.176,0.075
BPagano-RtDriven,,,,,0.515,0.443,0.164,0.183
CovidAnalytics-DELPHI,,,0.614,1.033,1.225,0.523,0.184,0.208
UCLA-SuEIR,-0.194,0.033,0.843,0.544,0.558,0.821,0.291,
UpstateSU-GRU,,,,,0.098,0.272,0.288,0.396
IowaStateLW-STEM,0.179,0.106,0.530,0.873,0.563,0.460,0.481,0.459
IBF-TimeSeries,0.143,0.427,0.834,0.794,0.517,0.547,0.446,0.384
COVIDhub-ensemble,,,,,0.518,0.402,0.265,0.221
SigSci-TS,,,,,0.737,0.475,0.155,0.185
FDANIHASU-Sweight,,,,,0.447,0.429,0.336,0.206
Covid19Sim-Simulator,-0.069,0.367,0.903,0.688,0.405,0.594,0.499,0.298
Microsoft-DeepSTIA,,,,,0.744,0.401,0.218,0.203
OneQuietNight-ML,,,,,0.719,0.558,0.260,0.110
COVIDhub-baseline,0.177,0.327,0.751,0.828,0.624,0.601,0.484,0.391
TTU-squider,,,,,0.251,0.330,0.491,0.550
MOBS-GLEAM_COVID,,,,,0.330,0.359,0.389,0.558
MIT_ISOLAT-Mixtures,,,,,0.522,0.332,0.322,0.454
CU-select,,,1.935,1.004,0.661,0.557,0.408,0.199
QJHong-Encounter,,,,0.968,0.576,0.432,0.391,0.331
UMich-RidgeTfReg,,,,,0.667,0.642,0.391,0.156
UVA-Ensemble,,,,,1.030,0.358,,0.206
Geneva-DetGrowth,,,,,,,,0.055
JHU_CSSE-DECOM,,,,,,0.612,0.326,0.240
UChicagoCHATTOPADHYAY-UnIT,,,,,,,0.166,
COVIDhub-trained_ensemble,,,,,,0.538,0.286,0.794
OliverWyman-Navigator,,,,,,0.566,0.433,0.372
CEID-Walk,,,,,0.655,0.588,0.496,0.411
DDS-NBDS,,,,,1.885,3.314,5.615,
JCB-PRM,0.895,,,,,,,
