,perc_error_2020-07-06_2020-07-11,perc_error_2020-07-13_2020-07-18,perc_error_2020-07-20_2020-07-25,perc_error_2020-07-27_2020-08-01,perc_error_2020-08-03_2020-08-08,perc_error_2020-08-10_2020-08-15,perc_error_2020-08-17_2020-08-22,perc_error_2020-08-24_2020-08-29,perc_error_2020-08-31_2020-09-05,perc_error_2020-09-07_2020-09-12,perc_error_2020-09-14_2020-09-19,perc_error_2020-09-21_2020-09-26,perc_error_2020-09-28_2020-10-03,perc_error_2020-10-05_2020-10-10,perc_error_2020-10-12_2020-10-17,perc_error_2020-10-19_2020-10-24,perc_error_2020-10-26_2020-10-31,perc_error_2020-11-02_2020-11-07,perc_error_2020-11-09_2020-11-14,perc_error_2020-11-16_2020-11-21,perc_error_2020-11-23_2020-11-28,perc_error_2020-11-30_2020-12-05,perc_error_2020-12-07_2020-12-12,perc_error_2020-12-14_2020-12-19,perc_error_2020-12-21_2020-12-26,perc_error_2020-12-28_2021-01-02,perc_error_2021-01-04_2021-01-09,perc_error_2021-01-11_2021-01-16,perc_error_2021-01-18_2021-01-23,perc_error_2021-01-25_2021-01-30,perc_error_2021-02-01_2021-02-06,perc_error_2021-02-08_2021-02-13,perc_error_2021-02-15_2021-02-20,perc_error_2021-02-22_2021-02-27,perc_error_2021-03-01_2021-03-06
LNQ-ens1,,-0.011,0.690,0.253,0.085,-0.029,0.095,-0.083,-0.039,0.131,-0.135,-0.071,0.022,-0.100,-0.049,-0.118,-0.022,-0.194,-0.095,0.040,0.076,-0.193,-0.065,0.002,0.142,-0.143,-0.179,0.165,0.159,-0.010,-0.005,0.023,0.096,-0.102,0.025
Geneva-DetGrowth,-0.106,-0.007,0.085,0.097,0.176,0.061,0.222,-0.091,0.005,0.168,-0.279,-0.105,-0.012,-0.113,-0.144,-0.135,-0.113,-0.219,-0.156,0.051,0.186,-0.031,-0.059,-0.023,0.186,-0.026,-0.216,0.104,0.278,-0.012,0.024,-0.056,0.055,-0.259,-0.013
QJHong-Encounter,,0.003,0.135,-0.014,0.068,-0.027,0.132,0.026,-0.090,0.205,-0.195,-0.045,0.102,-0.094,-0.066,-0.110,-0.122,-0.263,-0.284,-0.091,0.124,-0.068,-0.160,0.012,0.144,-0.000,-0.061,0.061,0.353,0.158,0.186,0.248,0.331,-0.049,-0.002
USC-SI_kJalpha,-0.118,-0.082,0.052,-0.027,0.112,-0.022,0.039,-0.064,-0.028,0.173,-0.175,-0.060,0.027,-0.101,-0.112,-0.177,-0.149,-0.284,-0.297,-0.183,0.100,-0.164,-0.114,0.033,0.153,-0.022,-0.201,0.045,0.304,0.117,0.180,0.167,0.257,-0.057,0.053
Columbia_UNC-SurvCon,0.132,-0.028,0.023,-0.022,0.029,-0.087,0.089,-0.085,-0.075,0.220,-0.123,-0.208,0.075,0.020,-0.155,-0.183,-0.152,-0.023,-0.099,0.189,0.320,-0.254,0.056,-0.034,0.408,0.010,-0.261,0.034,0.337,0.235,0.171,0.106,0.293,-0.003,-0.027
COVIDhub-ensemble,,,0.139,0.027,0.151,0.039,0.096,-0.050,-0.058,0.131,-0.154,-0.142,-0.001,-0.145,-0.160,-0.196,-0.164,-0.295,-0.237,-0.057,0.118,-0.157,-0.065,0.012,0.153,-0.024,-0.171,0.086,0.286,0.155,0.176,0.158,0.221,-0.080,-0.008
USACE-ERDC_SEIR,-0.242,-0.200,-0.040,-0.026,-0.011,-0.055,0.080,-0.097,-0.061,0.130,-0.108,0.058,0.003,,-0.066,,-0.074,,,-0.074,-0.033,-0.279,,,,,,,,,,,,,
OliverWyman-Navigator,0.027,0.112,0.226,0.184,0.186,0.002,0.094,-0.047,-0.053,0.229,-0.108,-0.003,0.183,-0.021,-0.029,-0.075,-0.098,-0.266,-0.198,-0.050,0.190,-0.062,-0.093,0.049,0.265,0.046,-0.164,0.100,0.420,0.310,0.290,0.290,0.372,-0.172,-0.056
UMich-RidgeTfReg,-0.361,-0.182,-0.107,-0.149,-0.072,-0.066,0.020,-0.379,-0.263,0.176,-0.159,-0.070,0.064,-0.033,-0.109,-0.138,-0.045,-0.255,-0.071,0.077,0.222,-0.120,-0.036,0.079,0.198,-0.137,-0.028,0.262,0.206,0.161,0.340,0.265,0.156,0.539,0.076
COVIDhub-baseline,-0.188,-0.128,0.003,0.055,0.171,0.045,0.195,0.050,0.013,0.177,-0.154,-0.095,0.024,-0.114,-0.141,-0.196,-0.171,-0.320,-0.298,-0.156,0.025,-0.164,-0.116,-0.027,0.135,-0.087,-0.165,0.090,0.266,0.164,0.250,0.271,0.391,0.040,0.117
