,mean_abs_error_2020-09-07_2020-10-31,mean_abs_error_2020-09-14_2020-10-31,mean_abs_error_2020-09-21_2020-10-31,mean_abs_error_2020-09-28_2020-10-31,mean_abs_error_2020-10-05_2020-10-31,mean_abs_error_2020-10-12_2020-10-31,mean_abs_error_2020-10-19_2020-10-31,mean_abs_error_2020-10-26_2020-10-31,mean_sq_abs_error_2020-09-07_2020-10-31,mean_sq_abs_error_2020-09-14_2020-10-31,mean_sq_abs_error_2020-09-21_2020-10-31,mean_sq_abs_error_2020-09-28_2020-10-31,mean_sq_abs_error_2020-10-05_2020-10-31,mean_sq_abs_error_2020-10-12_2020-10-31,mean_sq_abs_error_2020-10-19_2020-10-31,mean_sq_abs_error_2020-10-26_2020-10-31
COVIDhub-baseline,415.4,394.7,338.7,299.8,228.3,162.8,101.3,48.5,1358921.0,1579545.5,1088997.5,2228614.7,616777.5,341029.7,137139.6,29589.9
LNQ-ens1,,,,,238.7,145.9,98.1,42.0,,,,,635720.9,236670.9,123302.1,18602.1
IowaStateLW-STEM,474.3,425.8,391.0,342.1,267.3,209.6,141.3,60.1,7525714.2,1865241.1,1976082.8,1808583.7,913606.7,600437.7,278107.3,51068.8
JHUAPL-Bucky,,482.6,417.5,356.4,262.7,197.0,140.7,67.7,,2706404.7,1838518.5,2195739.3,834559.4,517992.2,265005.2,63252.6
CEID-Walk,,,,,233.9,163.3,102.2,48.7,,,,,649175.0,340558.8,138498.7,29408.2
USC-SI_kJalpha,535.2,547.1,428.4,361.8,264.6,196.0,121.3,68.0,2801026.2,3190101.9,1900278.4,1398050.2,766301.0,455501.6,182412.1,75811.8
COVIDhub-ensemble,,,,,262.5,185.4,114.3,48.8,,,,,785284.1,442911.8,172958.0,26765.0
OliverWyman-Navigator,,,,,,160.9,95.9,45.1,,,,,,239640.9,97979.3,24143.7
JHU_IDD-CovidSP,,,422.4,330.9,282.5,240.0,170.2,95.7,,,2232030.9,1422959.8,1090234.4,812782.6,438186.4,142782.6
CU-select,,,672.1,564.1,306.8,186.5,108.9,51.9,,,11381451.8,6291999.4,4897929.2,319374.8,104351.1,34590.8
LANL-GrowthRate,,573.6,474.6,394.1,327.8,227.8,146.7,61.0,,2743754.4,1771496.9,1298492.1,931095.1,466016.8,214207.7,34250.0
UCLA-SuEIR,517.8,,,363.0,296.9,,,,2407739.6,,,1296876.7,898294.2,,,
RobertWalraven-ESG,679.5,634.2,541.2,450.9,378.6,,,,4060258.0,3712747.6,2810295.8,1995650.1,1349105.7,,,
Google_Harvard-CPF,,,,,,271.0,157.1,52.4,,,,,,1303853.5,382528.9,40422.6
UVA-Ensemble,,,,,312.1,268.3,190.2,73.9,,,,,907193.0,746191.9,457409.5,64363.6
MITCovAlliance-SIR,646.6,593.5,534.0,452.5,,307.0,208.7,106.9,5512880.4,4963444.5,3917700.0,2819768.2,,1411471.1,568395.3,142236.0
PandemicCentral-USCounty,,,,,,,167.3,116.8,,,,,,,236140.8,716623.3
