,mean_abs_error_2020-12-21_2021-02-13,mean_abs_error_2020-12-28_2021-02-13,mean_abs_error_2021-01-04_2021-02-13,mean_abs_error_2021-01-11_2021-02-13,mean_abs_error_2021-01-18_2021-02-13,mean_abs_error_2021-01-25_2021-02-13,mean_abs_error_2021-02-01_2021-02-13,mean_abs_error_2021-02-08_2021-02-13,mean_sq_abs_error_2020-12-21_2021-02-13,mean_sq_abs_error_2020-12-28_2021-02-13,mean_sq_abs_error_2021-01-04_2021-02-13,mean_sq_abs_error_2021-01-11_2021-02-13,mean_sq_abs_error_2021-01-18_2021-02-13,mean_sq_abs_error_2021-01-25_2021-02-13,mean_sq_abs_error_2021-02-01_2021-02-13,mean_sq_abs_error_2021-02-08_2021-02-13
JHU_IDD-CovidSP,,,496.1,450.4,427.5,267.6,145.9,63.9,,,2481213.0,4136097.6,6236414.4,3337872.9,1011017.6,160441.7
LANL-GrowthRate,,,689.7,975.5,565.5,197.8,113.7,52.5,,,12781220.6,22662623.8,10120338.3,492026.8,190790.7,35047.5
LNQ-ens1,,,,,553.4,158.1,88.3,34.7,,,,,10727679.7,753871.1,125743.9,10487.3
OneQuietNight-ML,,,,,368.8,210.3,118.1,54.7,,,,,4234169.8,403795.7,160377.6,36666.8
FAIR-NRAR,,,,,694.4,182.3,110.6,60.5,,,,,16919742.3,973234.1,267222.6,48902.2
COVIDhub-ensemble,,,,,599.4,224.0,129.9,45.1,,,,,10423982.4,1113352.6,317242.6,32268.0
COVIDhub-baseline,1101.9,799.4,686.0,1027.3,802.8,386.6,215.6,75.6,33611902.9,24610849.4,23569950.1,31362894.5,26159160.6,4625768.1,1087950.1,102283.6
IowaStateLW-STEM,1095.7,891.2,545.2,736.4,849.2,480.0,253.8,91.5,16615946.2,22729990.9,8309518.3,12097677.5,21778037.5,8547689.4,2598755.6,188666.7
JHUAPL-Bucky,3010.9,1760.4,1168.9,1329.9,773.5,330.0,227.0,88.1,581720474.3,197218588.6,51791689.7,49681438.0,10162827.6,2456360.1,1205321.1,124019.6
Google_Harvard-CPF,,,,,1193.1,260.9,188.5,61.4,,,,,40104047.9,2822441.2,477123.2,44987.2
MITCovAlliance-SIR,,2127.2,1886.3,,,,,,,67126084.2,47903381.4,,,,,
COVIDhub-trained_ensemble,,,,,,,143.5,43.1,,,,,,,382404.8,20606.8
CEID-Walk,,,,,797.3,386.5,217.7,78.2,,,,,26239710.8,4730035.5,1164160.5,115783.2
UChicagoCHATTOPADHYAY-UnIT,,,,,,,136.2,60.2,,,,,,,414287.5,46539.2
CU-select,,,3019.9,3068.2,1226.7,503.0,230.1,72.2,,,246943319.9,357529407.1,154850603.7,8594373.6,1446544.0,128117.6
UpstateSU-GRU,,,,,577.2,415.4,287.4,102.0,,,,,7754289.0,4511536.9,2257515.8,205820.7
PandemicCentral-USCounty,,,,,580.6,416.3,309.4,99.7,,,,,4105231.1,2773194.0,1513299.2,132518.3
UVA-Ensemble,,,,,1337.2,801.2,177.4,,,,,,77713321.2,18459328.2,718175.8,
OliverWyman-Navigator,,,,,,510.7,224.2,77.0,,,,,,6606555.8,921437.0,90967.8
