,mean_abs_error_2020-07-06_2020-07-11,mean_abs_error_2020-07-13_2020-07-18,mean_abs_error_2020-07-20_2020-07-25,mean_abs_error_2020-07-27_2020-08-01,mean_abs_error_2020-08-03_2020-08-08,mean_abs_error_2020-08-10_2020-08-15,mean_abs_error_2020-08-17_2020-08-22,mean_abs_error_2020-08-24_2020-08-29,mean_abs_error_2020-08-31_2020-09-05,mean_abs_error_2020-09-07_2020-09-12,mean_abs_error_2020-09-14_2020-09-19,mean_abs_error_2020-09-21_2020-09-26,mean_abs_error_2020-09-28_2020-10-03,mean_abs_error_2020-10-05_2020-10-10,mean_abs_error_2020-10-12_2020-10-17,mean_abs_error_2020-10-19_2020-10-24,mean_abs_error_2020-10-26_2020-10-31,mean_abs_error_2020-11-02_2020-11-07,mean_abs_error_2020-11-09_2020-11-14,mean_abs_error_2020-11-16_2020-11-21,mean_abs_error_2020-11-23_2020-11-28,mean_abs_error_2020-11-30_2020-12-05,mean_abs_error_2020-12-07_2020-12-12,mean_abs_error_2020-12-14_2020-12-19,mean_abs_error_2020-12-21_2020-12-26,mean_abs_error_2020-12-28_2021-01-02,mean_abs_error_2021-01-04_2021-01-09,mean_abs_error_2021-01-11_2021-01-16,mean_abs_error_2021-01-18_2021-01-23,mean_abs_error_2021-01-25_2021-01-30,mean_abs_error_2021-02-01_2021-02-06,mean_abs_error_2021-02-08_2021-02-13,mean_abs_error_2021-02-15_2021-02-20,mean_abs_error_2021-02-22_2021-02-27,mean_abs_error_2021-03-01_2021-03-06,mean_sq_abs_error_2020-07-06_2020-07-11,mean_sq_abs_error_2020-07-13_2020-07-18,mean_sq_abs_error_2020-07-20_2020-07-25,mean_sq_abs_error_2020-07-27_2020-08-01,mean_sq_abs_error_2020-08-03_2020-08-08,mean_sq_abs_error_2020-08-10_2020-08-15,mean_sq_abs_error_2020-08-17_2020-08-22,mean_sq_abs_error_2020-08-24_2020-08-29,mean_sq_abs_error_2020-08-31_2020-09-05,mean_sq_abs_error_2020-09-07_2020-09-12,mean_sq_abs_error_2020-09-14_2020-09-19,mean_sq_abs_error_2020-09-21_2020-09-26,mean_sq_abs_error_2020-09-28_2020-10-03,mean_sq_abs_error_2020-10-05_2020-10-10,mean_sq_abs_error_2020-10-12_2020-10-17,mean_sq_abs_error_2020-10-19_2020-10-24,mean_sq_abs_error_2020-10-26_2020-10-31,mean_sq_abs_error_2020-11-02_2020-11-07,mean_sq_abs_error_2020-11-09_2020-11-14,mean_sq_abs_error_2020-11-16_2020-11-21,mean_sq_abs_error_2020-11-23_2020-11-28,mean_sq_abs_error_2020-11-30_2020-12-05,mean_sq_abs_error_2020-12-07_2020-12-12,mean_sq_abs_error_2020-12-14_2020-12-19,mean_sq_abs_error_2020-12-21_2020-12-26,mean_sq_abs_error_2020-12-28_2021-01-02,mean_sq_abs_error_2021-01-04_2021-01-09,mean_sq_abs_error_2021-01-11_2021-01-16,mean_sq_abs_error_2021-01-18_2021-01-23,mean_sq_abs_error_2021-01-25_2021-01-30,mean_sq_abs_error_2021-02-01_2021-02-06,mean_sq_abs_error_2021-02-08_2021-02-13,mean_sq_abs_error_2021-02-15_2021-02-20,mean_sq_abs_error_2021-02-22_2021-02-27,mean_sq_abs_error_2021-03-01_2021-03-06
LNQ-ens1,,,36.0,28.2,33.0,32.1,24.3,25.5,26.3,19.7,27.5,28.6,24.0,29.2,26.9,39.8,42.0,74.1,71.9,73.2,72.0,110.4,82.9,77.0,69.4,111.2,123.6,92.9,71.3,50.0,50.5,34.7,35.0,36.4,25.4,,,28501.5,12691.3,32538.0,27123.8,9715.4,8134.5,8397.0,3475.9,10679.3,55042.6,7239.4,7827.8,5210.6,30210.1,18602.1,37680.0,46931.2,51876.3,60415.8,217946.1,80255.7,119166.9,83482.1,201361.4,142858.8,112032.1,207993.1,47780.5,37514.6,10487.3,19183.4,19624.2,9980.1
COVIDhub-ensemble,,,35.9,30.1,35.3,35.3,28.4,27.3,27.5,21.9,28.9,32.1,26.5,31.1,33.9,44.3,48.8,87.8,99.6,87.0,76.3,103.0,103.4,88.2,67.4,87.3,132.8,74.2,89.3,52.6,61.9,45.1,41.4,33.8,28.1,,,28266.6,11462.7,53882.9,27139.4,25124.2,10710.0,7783.9,4774.8,12786.3,54527.8,14144.7,9171.5,9977.5,32941.2,26765.0,87417.3,88333.7,95450.9,58874.3,210078.2,341851.2,204742.7,66952.2,142011.0,203961.7,69672.2,292790.0,56795.3,56035.1,32268.0,28053.5,18334.4,15089.6
COVIDhub-baseline,36.0,37.2,37.5,35.7,41.3,37.9,38.9,32.1,30.5,29.4,27.5,33.7,31.8,30.7,32.0,40.8,48.5,91.9,102.3,89.9,84.3,105.3,113.3,107.7,85.9,88.5,107.2,91.9,121.2,79.6,95.5,75.6,66.8,44.6,33.6,57815.9,37527.1,30188.0,19782.9,66703.4,29416.0,45785.6,24022.3,11652.5,11328.5,11498.1,41409.4,47108.4,11777.6,9513.7,27178.9,29589.9,108519.8,86038.2,97528.2,74890.4,233045.9,367662.8,376620.6,93616.7,172012.9,161528.1,96460.5,646536.6,172903.5,173793.2,102283.6,76547.8,40317.4,13899.2
LANL-GrowthRate,55.7,59.6,43.5,36.2,38.5,37.1,33.6,30.5,32.3,25.6,33.6,38.3,32.1,39.6,40.1,55.2,61.0,79.2,83.7,111.1,100.6,112.7,104.3,92.7,101.6,136.6,142.0,95.3,78.3,74.0,63.6,52.5,42.9,60.4,46.3,112718.0,112409.5,50528.2,16562.3,39939.8,25815.3,27349.5,7925.7,10075.5,5320.4,10120.6,68304.2,12257.6,10758.7,9576.0,39171.8,34250.0,42366.7,56790.0,151170.5,93320.3,136822.0,128803.7,118829.5,496183.5,693394.3,252206.4,143589.1,141005.5,113830.6,54585.8,35047.5,24064.9,44584.6,39200.2
OliverWyman-Navigator,34.9,,53.2,41.3,42.0,35.8,31.2,27.3,31.8,32.4,30.3,37.7,37.4,32.6,33.4,41.8,45.1,83.2,81.1,78.6,112.9,92.5,107.2,110.8,131.8,99.4,120.6,101.8,181.3,122.2,104.5,77.0,65.1,45.6,34.4,24051.6,,80041.5,22720.3,48500.0,25385.1,31792.8,10130.4,9727.9,9578.0,12425.5,44537.2,53722.2,17720.6,8922.3,24598.2,24143.7,91788.5,54919.5,65072.8,126260.8,116884.3,366987.8,277922.9,163148.0,260772.7,244394.1,101984.9,1033859.8,444213.0,192058.6,90967.8,62080.9,28304.8,19256.7
CEID-Walk,,,,,,38.1,40.0,32.3,31.3,30.0,27.7,34.2,32.7,31.1,32.3,41.5,48.7,92.1,102.1,90.3,84.8,105.6,113.9,107.6,86.6,88.8,109.0,91.4,121.4,80.3,96.6,78.2,68.0,39.5,35.1,,,,,,28242.9,47774.4,22836.0,12433.2,12960.5,11189.8,40730.0,52185.2,11853.9,9509.4,28790.4,29408.2,107629.4,86019.0,97412.0,76869.1,235213.4,369725.5,393969.5,93110.7,162604.5,166164.7,91654.2,649328.5,171299.7,178026.1,115783.2,75922.8,22012.9,14014.0
USC-SI_kJalpha,47.5,52.6,63.2,34.5,38.9,38.9,35.2,35.2,36.8,33.1,33.1,37.2,38.6,32.0,41.4,50.7,68.0,101.0,132.5,,,,,,,,,,,,,,,,,70626.9,81609.4,59655.2,30094.4,30965.7,54245.5,44981.2,30244.5,24144.8,17023.2,18109.6,49624.2,46231.4,10346.2,18111.9,33164.1,75811.8,108103.6,182187.2,,,,,,,,,,,,,,,,
CU-select,53.3,48.9,53.2,41.2,49.1,41.8,46.0,35.0,34.5,36.5,42.1,52.3,42.6,37.0,37.5,45.1,51.9,85.3,89.4,97.0,95.1,117.1,121.7,103.7,100.1,120.0,131.8,188.8,156.5,87.1,91.2,72.2,49.2,40.8,37.4,85770.6,64798.9,80587.6,31491.9,121772.8,37940.1,71066.5,22086.8,13099.8,21425.0,18279.0,76168.8,16440.2,34236.4,10063.2,24812.9,34590.8,69378.1,46108.2,94120.0,73666.4,261651.2,257474.0,129619.8,239479.7,400522.8,499515.0,965728.8,1686237.0,203492.0,166203.7,128117.6,35177.7,27191.2,22100.4
UCLA-SuEIR,,,,36.8,43.1,36.9,38.1,32.7,31.1,28.7,,,31.4,33.5,,,,,,,,,,,,,,,,,,,,,,,,,23911.0,64456.4,24590.7,47317.8,23396.2,12391.0,11614.0,,,31090.6,10981.6,,,,,,,,,,,,,,,,,,,,,
JHU_IDD-CovidSP,76.1,75.6,67.5,49.7,48.4,48.5,43.6,38.4,36.2,30.7,39.0,46.0,41.2,47.6,58.1,77.3,95.7,165.7,,151.3,107.2,152.4,186.7,178.6,116.5,139.9,225.8,177.4,74.6,67.7,72.9,63.9,89.5,50.3,46.3,181153.4,214232.7,167586.0,49541.0,25941.3,29264.8,27814.8,11597.7,10601.2,6732.4,20539.6,89093.5,17546.4,22540.0,39348.9,91436.2,142782.6,335807.0,,240875.0,103499.5,410847.2,839620.4,1583249.5,631908.4,507906.0,894364.9,554012.3,95842.7,150761.3,209212.5,160441.7,282746.2,85677.4,45644.6
