,mean_abs_error_2020-09-14_2020-11-07,mean_abs_error_2020-09-21_2020-11-07,mean_abs_error_2020-09-28_2020-11-07,mean_abs_error_2020-10-05_2020-11-07,mean_abs_error_2020-10-12_2020-11-07,mean_abs_error_2020-10-19_2020-11-07,mean_abs_error_2020-10-26_2020-11-07,mean_abs_error_2020-11-02_2020-11-07,mean_sq_abs_error_2020-09-14_2020-11-07,mean_sq_abs_error_2020-09-21_2020-11-07,mean_sq_abs_error_2020-09-28_2020-11-07,mean_sq_abs_error_2020-10-05_2020-11-07,mean_sq_abs_error_2020-10-12_2020-11-07,mean_sq_abs_error_2020-10-19_2020-11-07,mean_sq_abs_error_2020-10-26_2020-11-07,mean_sq_abs_error_2020-11-02_2020-11-07
COVIDhub-baseline,567.1,503.2,466.4,390.8,313.9,235.1,163.8,91.9,3344134.9,2585006.1,4117987.4,1786688.8,1233653.8,674648.9,300973.6,108519.8
LNQ-ens1,,,,,289.3,228.5,144.4,74.1,,,,,924622.8,541259.4,189484.7,37680.0
CU-select,,,783.9,487.4,331.3,230.1,170.0,85.3,,,11353348.4,9856820.9,1026695.0,481872.2,348074.8,69378.1
IowaStateLW-STEM,606.0,566.5,512.8,445.6,379.9,297.9,179.2,96.5,3914139.6,4171665.3,3791492.7,2554769.3,1951734.6,1198346.5,402372.1,110456.0
USC-SI_kJalpha,770.2,630.4,560.5,452.0,364.7,268.0,206.7,101.0,6158617.5,4000690.2,3292278.9,2196209.5,1551396.5,859340.4,623130.9,108103.6
JHUAPL-Bucky,668.7,,537.6,441.8,372.8,302.8,212.0,110.0,5427868.2,,4250224.6,2409336.1,1774302.4,1159261.8,580222.3,140977.9
CEID-Walk,,,,,313.5,235.6,164.3,92.1,,,,,1227538.8,682495.9,303307.3,107629.4
OliverWyman-Navigator,,,,,,204.4,141.8,83.2,,,,,,406472.0,221413.7,91788.5
COVIDhub-ensemble,,,,,352.3,264.5,171.9,87.8,,,,,1573936.8,832295.3,319808.2,87417.3
UCLA-SuEIR,,,564.3,496.9,,,,,,,3048642.0,2581564.8,,,,
JHU_IDD-CovidSP,,,508.1,446.1,407.8,329.0,260.7,165.7,,,3327831.3,2736388.4,2299769.3,1529055.6,933845.4,335807.0
LANL-GrowthRate,,691.1,608.5,537.1,423.7,326.2,208.1,79.2,,3958010.6,3265803.2,2639109.9,1677362.2,1007740.7,386913.4,42366.7
Google_Harvard-CPF,,,,,424.8,305.6,173.8,93.6,,,,,3290863.6,1492218.0,439123.1,140915.7
UVA-Ensemble,,,,,451.5,376.9,,73.0,,,,,1921466.5,1658831.2,,42966.6
RobertWalraven-ESG,867.8,766.1,679.1,594.4,,,,,6867791.8,5549787.7,4512318.7,3313301.2,,,,
MITCovAlliance-SIR,810.7,755.9,663.3,,516.7,399.1,292.0,,8635949.3,7288960.9,5671223.8,,3573084.0,1629773.3,833425.6,
PandemicCentral-USCounty,,,,,,,285.7,121.4,,,,,,,2763623.2,139468.7
