,mean_abs_error_2020-07-27_2020-09-19,mean_abs_error_2020-08-03_2020-09-19,mean_abs_error_2020-08-10_2020-09-19,mean_abs_error_2020-08-17_2020-09-19,mean_abs_error_2020-08-24_2020-09-19,mean_abs_error_2020-08-31_2020-09-19,mean_abs_error_2020-09-07_2020-09-19,mean_abs_error_2020-09-14_2020-09-19,mean_sq_abs_error_2020-07-27_2020-09-19,mean_sq_abs_error_2020-08-03_2020-09-19,mean_sq_abs_error_2020-08-10_2020-09-19,mean_sq_abs_error_2020-08-17_2020-09-19,mean_sq_abs_error_2020-08-24_2020-09-19,mean_sq_abs_error_2020-08-31_2020-09-19,mean_sq_abs_error_2020-09-07_2020-09-19,mean_sq_abs_error_2020-09-14_2020-09-19
COVIDhub-baseline,517.1,423.8,288.5,247.2,152.0,96.5,60.2,27.5,10420797.1,7500325.1,1931237.9,1702290.5,555666.5,123085.4,39780.3,11498.1
LNQ-ens1,,,,,119.8,78.3,44.9,27.5,,,,,139272.8,58362.3,16587.3,10679.3
USC-SI_kJalpha,439.3,362.5,263.0,245.1,171.2,133.2,69.8,33.1,3948885.9,2929687.6,1194343.6,962981.7,469966.9,457915.8,61497.2,18109.6
UCLA-SuEIR,620.7,488.9,318.0,246.0,174.0,109.1,60.1,,17569812.5,5553438.2,2031539.6,1381603.0,665888.7,198405.5,48103.5,
COVIDhub-ensemble,,,,,124.2,81.5,48.0,28.9,,,,,200247.1,57868.2,19886.5,12786.3
LANL-GrowthRate,,482.3,326.9,267.1,162.1,114.8,65.8,33.6,,6608522.6,1699384.5,1680656.4,189724.4,108271.3,30062.7,10120.6
CEID-Walk,,,,,156.1,98.8,61.8,27.7,,,,,616713.4,137246.9,50240.1,11189.8
JHU_IDD-CovidSP,,,,252.8,163.6,107.1,66.9,39.0,,,,581518.9,223073.2,87847.6,35592.2,20539.6
IowaStateLW-STEM,686.3,473.5,,240.4,199.7,118.3,82.8,34.8,18093117.2,7900573.2,,835934.5,1006386.3,482804.6,440434.8,12263.3
RobertWalraven-ESG,,,,230.7,179.0,162.1,88.6,45.5,,,,555585.9,318627.7,253221.2,73695.2,24005.9
OliverWyman-Navigator,,,,,,114.3,72.8,30.3,,,,,,124155.2,40089.5,12425.5
JHUAPL-Bucky,,,,,,116.3,83.5,33.3,,,,,,115608.4,48859.0,13601.5
CU-select,,,405.5,464.9,213.2,151.0,100.9,42.1,,,3022060.6,10161391.0,756460.6,267527.2,197527.3,18279.0
MITCovAlliance-SIR,,,,281.2,,157.9,96.6,53.7,,,,1466974.9,,347123.6,136525.8,50441.2
UVA-Ensemble,,,,,197.1,242.4,153.1,43.2,,,,,977979.7,2257643.8,749277.0,22458.9
PandemicCentral-USCounty,,,,,,,79.4,49.7,,,,,,,79323.6,28441.1
Yu_Group-CLEP,,,,,,483.7,162.5,39.2,,,,,,3039171.9,298842.0,12316.3
