,mean_abs_error_2021-01-11_2021-03-06,mean_abs_error_2021-01-18_2021-03-06,mean_abs_error_2021-01-25_2021-03-06,mean_abs_error_2021-02-01_2021-03-06,mean_abs_error_2021-02-08_2021-03-06,mean_abs_error_2021-02-15_2021-03-06,mean_abs_error_2021-02-22_2021-03-06,mean_abs_error_2021-03-01_2021-03-06,mean_sq_abs_error_2021-01-11_2021-03-06,mean_sq_abs_error_2021-01-18_2021-03-06,mean_sq_abs_error_2021-01-25_2021-03-06,mean_sq_abs_error_2021-02-01_2021-03-06,mean_sq_abs_error_2021-02-08_2021-03-06,mean_sq_abs_error_2021-02-15_2021-03-06,mean_sq_abs_error_2021-02-22_2021-03-06,mean_sq_abs_error_2021-03-01_2021-03-06
LANL-GrowthRate,,,589.1,366.4,181.0,137.6,123.9,46.3,,,6866168.8,2885094.4,373746.9,249906.4,214696.2,39200.2
LNQ-ens1,,,,,170.2,96.8,74.7,25.4,,,,,443996.4,103846.6,90691.2,9980.1
COVIDhub-ensemble,,,,,208.4,101.5,69.4,28.1,,,,,729515.0,104851.2,84961.5,15089.6
COVIDhub-baseline,2172.5,1838.2,1114.4,765.4,442.9,211.6,93.4,33.6,138338460.9,122712344.8,35330468.5,13984981.4,4055745.6,746901.8,155516.3,13899.2
JHU_IDD-CovidSP,,,656.7,415.7,276.9,279.9,104.0,46.3,,,14828142.4,6201564.0,3231183.1,2945067.0,365077.4,45644.6
COVIDhub-trained_ensemble,,,,,213.7,644.6,75.9,28.5,,,,,645965.9,2905110.8,103238.4,16981.8
FAIR-NRAR,,,,,160.7,114.9,108.0,53.7,,,,,317445.5,227592.4,227407.7,61782.5
JHUAPL-Bucky,2407.9,1423.9,636.6,576.1,360.4,262.2,130.4,60.5,177330495.5,36245263.0,8111590.8,8896195.2,2185846.7,1004130.2,256183.8,65184.6
CU-select,,,1423.8,829.6,610.8,145.7,92.1,37.4,,,65963515.9,22294896.2,20543505.9,315390.8,142957.5,22100.4
CEID-Walk,,,,,452.8,214.7,85.3,35.1,,,,,4721006.3,765813.5,88324.9,14014.0
OliverWyman-Navigator,,,,,,153.9,103.3,34.4,,,,,,251509.7,152611.6,19256.7
UpstateSU-GRU,,,,,382.9,267.8,90.4,41.8,,,,,2320314.1,1215490.0,105181.5,23231.0
Google_Harvard-CPF,,,,,237.4,156.9,110.4,56.2,,,,,814309.7,444236.3,199790.4,60684.9
OneQuietNight-ML,,,,,288.7,177.7,125.0,43.3,,,,,1184592.5,595253.6,307371.1,45213.7
UVA-Ensemble,,,,,,164.3,110.6,37.2,,,,,,423860.7,222247.8,22118.8
IowaStateLW-STEM,1558.3,1818.1,1180.7,773.1,464.9,267.9,114.7,96.2,55377569.2,90690734.9,44348195.0,19523072.6,4998939.1,1153774.5,214584.3,168929.5
UChicagoCHATTOPADHYAY-UnIT,,,,,,,99.9,35.7,,,,,,,170358.5,15867.2
PandemicCentral-USCounty,,,,,588.0,322.9,,,,,,,4080877.8,1542358.8,,
IUPUI-HkPrMobiDyR,,,,,,,158.6,,,,,,,,582473.5,
