,mean_abs_error_2020-10-12_2020-12-05,mean_abs_error_2020-10-19_2020-12-05,mean_abs_error_2020-10-26_2020-12-05,mean_abs_error_2020-11-02_2020-12-05,mean_abs_error_2020-11-09_2020-12-05,mean_abs_error_2020-11-16_2020-12-05,mean_abs_error_2020-11-23_2020-12-05,mean_abs_error_2020-11-30_2020-12-05,mean_sq_abs_error_2020-10-12_2020-12-05,mean_sq_abs_error_2020-10-19_2020-12-05,mean_sq_abs_error_2020-10-26_2020-12-05,mean_sq_abs_error_2020-11-02_2020-12-05,mean_sq_abs_error_2020-11-09_2020-12-05,mean_sq_abs_error_2020-11-16_2020-12-05,mean_sq_abs_error_2020-11-23_2020-12-05,mean_sq_abs_error_2020-11-30_2020-12-05
COVIDhub-baseline,1379.0,1234.9,1080.6,915.7,624.9,362.1,195.5,105.3,21050827.7,17059886.9,11988819.3,9972916.3,4786427.2,2209968.9,614871.9,233045.9
CU-select,,,987.9,803.6,604.6,397.0,223.3,117.1,,,8871731.0,9521651.1,3953561.6,1683203.5,501355.0,261651.2
LNQ-ens1,,,,,461.5,309.7,160.1,110.4,,,,,3617281.3,1279951.6,328481.5,217946.1
COVIDhub-ensemble,,,,,583.7,349.5,174.7,103.0,,,,,4693207.4,2084786.1,410473.2,210078.2
LANL-GrowthRate,,1578.6,1372.6,738.2,565.9,551.5,245.6,112.7,,24312848.2,17021015.2,5998272.5,4614943.5,4732427.0,488838.1,136822.0
IowaStateLW-STEM,1577.2,1442.8,1146.6,966.7,726.2,429.0,250.3,114.5,30099656.3,25432062.0,16017004.0,12381592.2,7198633.7,3321517.5,1236402.4,261250.0
CEID-Walk,,,,,625.6,362.2,197.1,105.6,,,,,4655546.6,2183737.4,632714.8,235213.4
USC-SI_kJalpha,1563.1,1422.2,1290.4,1104.2,838.0,,,,25190824.5,21466290.8,15860354.0,10864795.2,7213737.3,,,
JHUAPL-Bucky,1582.3,1444.9,1278.3,1067.6,801.9,813.7,477.0,127.9,28595939.2,24448835.4,20352517.0,13501546.7,9218288.6,9108412.3,3538557.4,147789.7
OliverWyman-Navigator,,,,,,372.4,248.9,92.5,,,,,,1988825.8,609543.1,116884.3
JHU_IDD-CovidSP,,,1302.3,1199.9,,393.1,239.6,152.4,,,19955137.0,16537665.4,,2244223.4,745244.2,410847.2
OneQuietNight-ML,,,,,,,203.7,86.0,,,,,,,599876.0,157193.4
UChicagoCHATTOPADHYAY-UnIT,,,,,,,204.3,112.4,,,,,,,419068.0,248330.8
Google_Harvard-CPF,,,,,810.1,527.4,297.6,133.9,,,,,5702041.7,3294192.1,2442843.7,347738.3
UVA-Ensemble,,,,,2296.2,507.6,248.0,177.9,,,,,176718782.5,6877957.6,605940.6,1118014.5
MITCovAlliance-SIR,1873.0,1723.3,1583.9,,,,,,39652472.6,29099711.4,24998646.9,,,,,
FAIR-NRAR,,,,,,,239.8,218.9,,,,,,,666961.8,747194.8
