,perc_error_2020-07-06_2020-08-08,perc_error_2020-07-13_2020-08-08,perc_error_2020-07-20_2020-08-08,perc_error_2020-07-27_2020-08-08,perc_error_2020-08-03_2020-08-08
Columbia_UNC-SurvCon,0.246,-0.005,0.028,0.012,0.030
USACE-ERDC_SEIR,-0.322,-0.204,0.009,0.031,-0.011
COVIDhub-baseline,-0.237,-0.076,0.086,0.140,0.171
UMich-RidgeTfReg,,0.100,0.072,0.023,-0.071
CovidAnalytics-DELPHI,-0.282,-0.254,-0.136,0.011,0.132
USC-SI_kJalpha,0.239,0.284,0.357,0.004,0.113
IowaStateLW-STEM,0.004,0.152,0.254,0.164,0.206
RobertWalraven-ESG,,-0.069,0.448,0.081,0.053
UCLA-SuEIR,-0.156,0.085,0.210,0.265,0.297
JHU_IDD-CovidSP,-0.202,-0.198,-0.134,0.181,0.194
LANL-GrowthRate,-0.435,-0.309,-0.117,-0.139,-0.139
QJHong-Encounter,,0.305,0.434,0.073,0.068
Covid19Sim-Simulator,0.103,0.203,0.383,0.547,0.384
LNQ-ens1,,0.115,0.911,0.352,0.085
COVIDhub-ensemble,,,0.225,0.128,0.152
DDS-NBDS,,,,-0.172,0.081
OliverWyman-Navigator,,,0.652,0.362,0.187
Geneva-DetGrowth,,,,,0.177
Karlen-pypm,,,,0.513,0.413
IHME-CurveFit,,,0.854,0.939,1.163
