,mean_abs_error_2020-09-14_2020-11-07,mean_abs_error_2020-09-21_2020-11-07,mean_abs_error_2020-09-28_2020-11-07,mean_abs_error_2020-10-05_2020-11-07,mean_abs_error_2020-10-12_2020-11-07,mean_abs_error_2020-10-19_2020-11-07,mean_abs_error_2020-10-26_2020-11-07,mean_abs_error_2020-11-02_2020-11-07,mean_sq_abs_error_2020-09-14_2020-11-07,mean_sq_abs_error_2020-09-21_2020-11-07,mean_sq_abs_error_2020-09-28_2020-11-07,mean_sq_abs_error_2020-10-05_2020-11-07,mean_sq_abs_error_2020-10-12_2020-11-07,mean_sq_abs_error_2020-10-19_2020-11-07,mean_sq_abs_error_2020-10-26_2020-11-07,mean_sq_abs_error_2020-11-02_2020-11-07
CU-select,,,20570.7,18386.5,14614.4,10525.3,8161.7,4478.9,,,995419437.3,754926194.2,514692107.2,257168266.9,152322481.8,79678256.3
JCB-PRM,32931.8,31034.3,22731.3,16021.8,14293.9,13836.8,8340.6,4928.7,2744031922.5,2378325247.4,1031020349.8,546347985.1,449528842.1,457600354.5,195709870.1,90167869.3
Karlen-pypm,,,,25453.2,16509.3,10279.7,5890.9,3710.3,,,,1369100099.5,677563144.5,276630761.2,102961248.3,61930870.2
COVIDhub-baseline,30809.5,24651.2,21034.7,21318.2,17733.1,13561.2,8886.5,5088.6,2048740166.0,1296815573.2,882250085.1,880042469.4,744239994.2,443407510.0,193594469.7,95538918.7
DDS-NBDS,,,,,14170.3,11142.8,6744.4,3561.9,,,,,508767647.1,298317098.5,133475862.4,64578299.3
USC-SI_kJalpha,47659.2,35376.3,30172.5,22958.7,17759.1,13164.5,8503.2,4737.6,4722627783.2,2333549589.8,1796271165.0,1110488162.9,822815062.0,458284830.6,185323011.7,83310803.8
LNQ-ens1,,,,,15392.9,11351.2,6577.4,3445.4,,,,,645154544.0,335533606.7,126201487.1,67097780.1
UMich-RidgeTfReg,,,,,17639.7,12391.4,7415.0,4488.9,,,,,766740188.4,427328766.0,153904119.8,85571524.4
Covid19Sim-Simulator,34683.2,33819.0,27620.9,20533.7,19146.7,16182.4,9605.8,5423.8,2710716615.4,2457663390.6,1390144214.9,859952453.4,755123842.7,608094885.2,228104943.1,96984239.3
OliverWyman-Navigator,,,,,,8097.4,6268.7,4367.8,,,,,,197639858.0,107449436.9,79088838.3
IowaStateLW-STEM,31261.4,30307.3,25264.1,27318.0,23216.7,17740.1,9355.7,4992.8,1827949939.1,1756898843.1,1229311483.7,1370379094.0,1058575095.3,682617693.9,209460930.1,81296282.4
JHUAPL-Bucky,30034.5,,23705.1,24332.2,20431.8,14400.0,9951.0,5494.3,1936268316.1,,1123657453.6,1203327994.3,940954861.0,542091623.8,250918479.4,89271090.9
USACE-ERDC_SEIR,40712.0,28176.7,27837.2,,15536.6,,7698.8,,3525995021.7,1684959941.8,1660962373.6,,738883920.9,,148611620.2,
CEID-Walk,,,,,18120.6,13655.1,8921.1,5078.8,,,,,808359141.6,469243175.0,196224248.4,94724367.7
LANL-GrowthRate,,40022.8,36462.5,32030.5,24509.6,18833.5,11415.2,3700.7,,3025775526.6,2567531086.6,2028987720.5,1307792256.6,792202517.0,341447192.0,66509382.0
RobertWalraven-ESG,52538.7,45470.6,41113.8,33245.4,23981.6,11474.1,10465.5,5361.6,5376686285.1,4196448023.1,3373641274.5,2077888938.5,1274074559.5,343382649.4,283355375.4,108128795.2
JHU_CSSE-DECOM,,,,,,11959.8,9070.3,5019.7,,,,,,370575416.1,214882156.0,89875900.8
COVIDhub-ensemble,,,,,20203.0,14662.8,9310.3,5027.1,,,,,930235309.2,512046067.5,218873403.3,91775849.1
JHU_IDD-CovidSP,,,28933.2,24023.7,24190.5,19810.3,15894.2,10134.7,,,1910601379.3,1186519958.6,1258036993.3,835457152.6,570074539.4,256801639.0
UCLA-SuEIR,44280.3,36155.9,31344.8,30697.3,24955.5,20712.5,12669.2,6046.4,3957281380.4,2479104059.5,1578347265.5,1774586863.7,1321783762.8,853906576.7,352165301.0,121992489.4
BPagano-RtDriven,,,,,,12603.9,9251.3,6269.9,,,,,,406075866.3,219070125.7,122578270.0
MSRA-DeepST,,,,,,14825.2,,4040.3,,,,,,570492590.4,,75320096.4
IQVIA_ACOE-STAN,,,,,,,8531.7,5064.9,,,,,,,177573856.9,91046600.2
Google_Harvard-CPF,,,,,25951.6,,8743.2,5422.7,,,,,1417981925.0,,195594886.8,119846834.0
Geneva-DetGrowth,,,,,,,,3731.0,,,,,,,,65159010.9
JHU_UNC_GAS-StatMechPool,,,,,,,9214.5,5305.2,,,,,,,240109419.5,102261716.6
UCSB-ACTS,,,,,,,9731.4,5219.2,,,,,,,267842186.6,94411579.4
USC-SI_kJalpha_RF,,,,,,,,4762.3,,,,,,,,108548158.5
CovidAnalytics-DELPHI,,46124.4,42463.8,36773.2,30387.6,25693.1,15774.5,9289.0,,4253608927.8,3512093524.7,2703290475.3,1997303189.5,1403310620.8,587585550.8,245193574.8
TTU-squider,,,,,30175.2,25975.2,17225.6,8464.1,,,,,1853565788.6,1377439324.4,618666365.7,206387358.7
