,mean_abs_error_2020-08-10_2020-10-03,mean_abs_error_2020-08-17_2020-10-03,mean_abs_error_2020-08-24_2020-10-03,mean_abs_error_2020-08-31_2020-10-03,mean_abs_error_2020-09-07_2020-10-03,mean_abs_error_2020-09-14_2020-10-03,mean_abs_error_2020-09-21_2020-10-03,mean_abs_error_2020-09-28_2020-10-03,mean_sq_abs_error_2020-08-10_2020-10-03,mean_sq_abs_error_2020-08-17_2020-10-03,mean_sq_abs_error_2020-08-24_2020-10-03,mean_sq_abs_error_2020-08-31_2020-10-03,mean_sq_abs_error_2020-09-07_2020-10-03,mean_sq_abs_error_2020-09-14_2020-10-03,mean_sq_abs_error_2020-09-21_2020-10-03,mean_sq_abs_error_2020-09-28_2020-10-03
COVIDhub-baseline,411.7,377.7,259.1,186.5,147.1,101.2,66.5,31.8,3819577.0,3708999.2,1414614.5,405037.1,253153.9,217291.5,58850.3,47108.4
LNQ-ens1,,,,,120.4,108.7,56.7,24.0,,,,,205344.2,231661.0,76530.2,7239.4
COVIDhub-ensemble,,,,,125.9,113.0,63.3,26.5,,,,,260358.8,263298.2,85244.6,14144.7
LANL-GrowthRate,,424.8,292.9,243.1,184.8,140.3,83.5,32.1,,3840179.7,718028.9,502939.3,339201.8,227983.8,129397.6,12257.6
USC-SI_kJalpha,390.0,370.2,301.9,233.5,186.1,138.3,77.0,38.6,2304346.7,1789398.0,1268909.8,742960.4,452815.9,377563.0,90630.8,46231.4
CEID-Walk,,,,,149.9,102.8,67.0,32.7,,,,,289962.9,222993.1,56091.8,52185.2
JHU_IDD-CovidSP,,,,196.7,155.5,129.7,88.5,41.2,,,,450128.7,331031.3,343311.6,184145.1,17546.4
IowaStateLW-STEM,,347.9,315.0,209.1,173.9,115.6,85.5,44.4,,1590111.2,2185480.0,1432894.9,1790491.5,215534.7,121359.0,27295.8
UCLA-SuEIR,476.6,385.8,306.2,215.5,157.3,,,31.4,4643319.2,3326249.9,2504464.3,863895.4,375073.4,,,31090.6
JHUAPL-Bucky,,,,,190.0,132.1,81.4,37.1,,,,,379459.4,273232.5,98907.0,55104.0
RobertWalraven-ESG,,362.3,310.6,309.5,223.3,173.6,111.0,44.4,,1483994.4,1069696.3,978980.1,552317.6,411225.5,216345.0,24054.3
OliverWyman-Navigator,,,,,,135.5,82.0,37.4,,,,,,313970.8,73392.2,53722.2
UVA-Ensemble,,,,,322.8,145.7,99.6,33.7,,,,,4978798.6,333115.1,112320.3,22132.2
CU-select,,,368.4,312.3,307.3,217.5,116.7,42.6,,,2355262.3,1107784.2,2308346.8,990891.5,206902.4,16440.2
MITCovAlliance-SIR,,439.5,,298.2,227.3,180.6,119.3,57.1,,3186194.3,,1404716.0,916033.5,682985.5,347491.1,51948.0
Google_Harvard-CPF,,,,,,,,42.1,,,,,,,,21156.5
PandemicCentral-USCounty,,,,,,,121.5,54.0,,,,,,,191681.4,49902.8
Yu_Group-CLEP,,,,,1053.5,429.6,192.7,57.1,,,,,15012401.5,2130947.0,487892.9,47762.4
