,mean_abs_error_2020-12-14_2021-02-06,mean_abs_error_2020-12-21_2021-02-06,mean_abs_error_2020-12-28_2021-02-06,mean_abs_error_2021-01-04_2021-02-06,mean_abs_error_2021-01-11_2021-02-06,mean_abs_error_2021-01-18_2021-02-06,mean_abs_error_2021-01-25_2021-02-06,mean_abs_error_2021-02-01_2021-02-06,mean_sq_abs_error_2020-12-14_2021-02-06,mean_sq_abs_error_2020-12-21_2021-02-06,mean_sq_abs_error_2020-12-28_2021-02-06,mean_sq_abs_error_2021-01-04_2021-02-06,mean_sq_abs_error_2021-01-11_2021-02-06,mean_sq_abs_error_2021-01-18_2021-02-06,mean_sq_abs_error_2021-01-25_2021-02-06,mean_sq_abs_error_2021-02-01_2021-02-06
JHU_IDD-CovidSP,,,581.1,502.2,352.0,253.8,150.5,72.9,,,4038208.2,2844211.9,1887591.8,2311435.2,1047503.5,209212.5
LANL-GrowthRate,,,892.7,507.2,667.2,356.8,131.8,63.6,,,37224486.4,4950727.5,9696574.5,3655352.0,297803.2,54585.8
OneQuietNight-ML,,,,,389.3,240.7,120.3,64.7,,,,,2358471.5,2220012.9,133751.1,52151.7
COVIDhub-baseline,1151.6,902.4,665.4,489.2,712.0,521.8,210.0,95.5,12865502.4,18158729.0,13175240.1,10789595.6,14507682.8,11472398.3,1332343.6,173793.2
LNQ-ens1,,,,,843.1,346.6,102.3,50.5,,,,,17038931.0,4459749.2,232618.5,37514.6
COVIDhub-ensemble,,,,,566.9,382.5,125.1,61.9,,,,,7790747.4,4583135.4,300546.3,56035.1
IowaStateLW-STEM,1467.0,926.1,737.0,472.0,518.0,577.8,290.3,122.0,55225398.3,10972860.7,14095105.8,4832485.5,5375939.4,10260214.6,3204140.1,597165.7
FAIR-NRAR,,,,,1125.1,438.8,133.0,75.3,,,,,31397692.4,7028844.2,355664.6,68337.5
JHUAPL-Bucky,3095.0,2571.0,1535.8,909.2,962.2,548.2,219.1,112.1,549433473.2,405506604.9,139297660.8,28041709.7,24195384.8,4992052.5,1225533.9,264884.1
UpstateSU-GRU,,,,,451.4,357.3,223.6,127.3,,,,,2090638.7,2817479.5,1250756.1,376460.8
CEID-Walk,,,,,714.2,518.4,210.0,96.6,,,,,15465888.5,11540696.4,1319750.1,178026.1
PandemicCentral-USCounty,,,,,412.5,400.0,253.7,136.7,,,,,1788099.5,1884855.1,965275.8,231426.8
CU-select,,,1079.5,2375.2,2253.0,784.7,241.4,91.2,,,29494620.7,166361798.1,205381363.6,60457904.3,1660757.1,166203.7
UChicagoCHATTOPADHYAY-UnIT,,,,,,,137.1,71.1,,,,,,,339298.6,72922.2
MITCovAlliance-SIR,,,1955.3,1697.1,,,,,,,59184618.2,40219978.5,,,,
Google_Harvard-CPF,,,,,1382.0,753.4,155.9,112.4,,,,,71537068.4,16700073.6,885619.3,161143.8
UVA-Ensemble,,,,,1212.3,963.7,539.9,75.4,,,,,102669724.3,53125351.3,10723049.9,77398.5
COVIDhub-trained_ensemble,,,,,,,,64.6,,,,,,,,58352.4
OliverWyman-Navigator,,,,,,749.8,294.2,104.5,,,,,,15322918.4,2298238.8,192058.6
