,mean_abs_error_2020-07-06_2020-08-01,mean_abs_error_2020-07-13_2020-08-01,mean_abs_error_2020-07-20_2020-08-01,mean_abs_error_2020-07-27_2020-08-01,mean_sq_abs_error_2020-07-06_2020-08-01,mean_sq_abs_error_2020-07-13_2020-08-01,mean_sq_abs_error_2020-07-20_2020-08-01,mean_sq_abs_error_2020-07-27_2020-08-01
COVIDhub-baseline,194.6,127.5,78.3,36.0,1056200.8,354262.8,137113.8,20492.3
LANL-GrowthRate,318.6,201.5,109.1,35.5,2610872.2,875932.5,389849.5,16258.3
COVIDhub-ensemble,,,82.9,30.2,,,161986.4,11827.6
LNQ-ens1,,,84.6,27.8,,,168014.7,12600.2
JHU_IDD-CovidSP,328.0,206.9,125.1,50.0,2854149.3,1405960.1,551029.2,49777.2
USC-SI_kJalpha,393.5,242.4,170.0,34.1,3274753.1,991810.4,377898.8,29692.0
OliverWyman-Navigator,187.0,,149.6,41.8,523887.6,,661028.2,24109.6
CU-select,620.5,305.8,146.5,41.3,16914565.6,3700329.7,860987.9,32016.8
IowaStateLW-STEM,296.7,310.0,149.6,53.8,1614635.6,2942961.8,6366518.0,60075.6
UCLA-SuEIR,,,,37.2,,,,24893.4
