,mean_abs_error_2020-08-17_2020-10-10,mean_abs_error_2020-08-24_2020-10-10,mean_abs_error_2020-08-31_2020-10-10,mean_abs_error_2020-09-07_2020-10-10,mean_abs_error_2020-09-14_2020-10-10,mean_abs_error_2020-09-21_2020-10-10,mean_abs_error_2020-09-28_2020-10-10,mean_abs_error_2020-10-05_2020-10-10,mean_sq_abs_error_2020-08-17_2020-10-10,mean_sq_abs_error_2020-08-24_2020-10-10,mean_sq_abs_error_2020-08-31_2020-10-10,mean_sq_abs_error_2020-09-07_2020-10-10,mean_sq_abs_error_2020-09-14_2020-10-10,mean_sq_abs_error_2020-09-21_2020-10-10,mean_sq_abs_error_2020-09-28_2020-10-10,mean_sq_abs_error_2020-10-05_2020-10-10
COVIDhub-baseline,20048.8,12603.2,8451.4,6937.4,6192.9,3715.5,2501.2,1020.0,2682038038.1,672647675.5,232907350.7,150676226.8,110500865.4,31324123.6,23278649.3,2187653.7
Covid19Sim-Simulator,,14932.4,8760.5,6655.4,6768.7,5235.3,2608.3,1242.4,,402284492.4,160632016.8,147192843.0,142128217.6,80964547.1,12657128.7,3361347.6
JCB-PRM,,,,5936.1,7276.4,4368.7,1749.2,1030.6,,,,139956169.6,210339145.6,55699399.5,5943728.0,2615663.3
USC-SI_kJalpha,18988.2,18775.0,12930.3,8227.6,10417.8,4331.6,2447.9,925.0,783181071.9,648873461.6,408031384.7,182492776.5,314371328.4,36314336.5,12487020.4,2029155.0
CEID-Walk,,,,,6373.5,3692.7,2430.5,964.9,,,,,111865024.8,30417402.5,21633294.7,2010855.3
LNQ-ens1,,,,,7359.9,3813.0,1512.5,988.5,,,,,149526275.3,30909795.2,4472685.9,2351992.2
IowaStateLW-STEM,18920.8,18710.7,10654.8,9180.0,6575.9,5063.6,3428.9,1431.0,1568793985.5,1499193472.9,352739801.0,537831328.6,86801065.8,49944142.7,41310383.7,4046695.4
JHUAPL-Bucky,,,,,5098.3,3608.5,2629.5,1102.1,,,,,76669586.5,24535195.9,19578062.1,2798304.8
USACE-ERDC_SEIR,18687.9,17162.5,13484.3,8575.9,8638.4,6872.8,2431.7,,941574726.7,812468308.9,530990212.4,223903281.7,191565291.2,294149081.4,21530085.1,
COVIDhub-ensemble,,,,,7587.2,4166.7,2018.7,1171.1,,,,,154589883.8,35650205.2,7180380.3,2666988.7
UCLA-SuEIR,20444.0,15393.2,11494.1,9216.0,9758.7,5245.3,2911.1,1330.0,1460140905.1,704828206.8,383068834.5,223534127.6,246779592.6,59960444.6,18898732.9,3635231.3
CU-select,,,15744.4,15803.1,9056.9,5490.5,2858.1,1072.0,,,1196988472.1,1028199620.9,223181064.7,140006663.8,21263028.6,2535630.7
UMich-RidgeTfReg,,,,,6848.0,4873.5,3169.3,1326.4,,,,,105462792.0,47166682.1,23577144.0,4101545.4
Karlen-pypm,,,,9734.5,8415.8,5526.3,2933.4,1610.8,,,,237564284.3,179253067.1,89209661.3,15647941.0,5427921.2
LANL-GrowthRate,,20404.1,15207.0,12470.9,10151.2,6055.2,3242.3,1775.8,,805235964.0,529561733.7,379889621.4,233365772.2,83985793.1,22886772.5,9576679.5
OliverWyman-Navigator,,,,,,5030.2,3447.6,977.1,,,,,,100806564.9,50300858.7,2790128.4
IQVIA_ACOE-STAN,,,,,,,2262.4,1056.6,,,,,,,11258925.8,2493205.4
DDS-NBDS,,,,,8083.8,6697.3,2936.6,1598.8,,,,,169457528.2,155486090.3,25784100.9,4584051.2
JHU_IDD-CovidSP,,,,8776.4,8685.4,7222.8,3855.1,2046.5,,,,218438632.5,232529111.5,154899424.5,35205319.1,8490557.9
CovidAnalytics-DELPHI,,19669.9,17491.5,14455.7,12578.4,10013.6,6787.7,3202.8,,751460513.7,604262849.7,401968396.1,337940771.1,218130863.1,86395174.6,18819540.9
RobertWalraven-ESG,19222.1,16686.8,17707.0,15660.0,13829.5,9042.7,5707.9,1726.2,775371352.8,516534741.7,741003751.4,544343610.9,452023110.7,237635698.1,77674136.7,5974409.5
Geneva-DetGrowth,,,,,,,,1066.0,,,,,,,,2828981.8
JHU_CSSE-DECOM,,,,,,,,1341.8,,,,,,,,5194717.3
TTU-squider,,,,,17451.4,,7859.0,3210.5,,,,,1047324192.6,,220235738.0,22453113.7
