,mean_abs_error_2020-12-21_2021-02-13,mean_abs_error_2020-12-28_2021-02-13,mean_abs_error_2021-01-04_2021-02-13,mean_abs_error_2021-01-11_2021-02-13,mean_abs_error_2021-01-18_2021-02-13,mean_abs_error_2021-01-25_2021-02-13,mean_abs_error_2021-02-01_2021-02-13,mean_abs_error_2021-02-08_2021-02-13,mean_sq_abs_error_2020-12-21_2021-02-13,mean_sq_abs_error_2020-12-28_2021-02-13,mean_sq_abs_error_2021-01-04_2021-02-13,mean_sq_abs_error_2021-01-11_2021-02-13,mean_sq_abs_error_2021-01-18_2021-02-13,mean_sq_abs_error_2021-01-25_2021-02-13,mean_sq_abs_error_2021-02-01_2021-02-13,mean_sq_abs_error_2021-02-08_2021-02-13
JHU_IDD-CovidSP,,,24231.9,19216.8,21814.9,12717.3,6269.3,2603.0,,,1514828332.8,1254976406.5,2490714221.3,897237541.9,215547273.2,39957751.0
LANL-GrowthRate,,,35467.2,67219.4,37140.0,6735.2,3232.9,2185.0,,,5202841380.4,14797972333.1,6298181917.0,160393019.1,23009167.9,15709623.0
USC-SI_kJalpha,76169.0,59462.1,37541.1,24743.9,45530.6,11889.0,7154.4,2449.8,15670024093.5,12270371624.5,4960031253.5,4144732070.6,9787603060.1,496735683.3,160712492.5,24138226.1
LNQ-ens1,,,,,32282.5,7827.0,3218.0,1138.0,,,,,4291202847.9,275864280.6,31211429.1,3546226.3
Karlen-pypm,,,,54531.7,47839.2,19585.9,3981.0,1931.6,,,,13914863124.8,9217518720.2,1931516703.1,40376542.7,18469002.3
RobertWalraven-ESG,,,,,34672.2,16064.5,4140.5,1849.4,,,,,5257565276.1,973745768.0,44064525.4,11812532.9
UCLA-SuEIR,74219.7,50970.4,46745.9,54173.3,25731.6,16319.8,10746.9,3866.9,24062726774.6,11254320383.6,11740529096.6,11900281737.0,5512476113.7,1481874561.8,464640610.3,73833873.5
JHUAPL-Bucky,138941.0,94159.1,44057.2,67227.4,40348.6,14429.4,9272.5,3506.3,262564280234.6,91007929530.9,11400434066.6,15439231879.7,5109586339.6,861172847.0,380837006.0,49728866.8
OneQuietNight-ML,,,,,28225.7,16352.1,5805.8,2571.1,,,,,3046397735.1,496040692.4,68557922.0,33221825.9
IowaStateLW-STEM,56701.2,43432.0,27539.2,50807.0,52373.3,23571.6,10358.0,3988.9,8947424057.3,8172435286.0,2899306837.1,7129390802.0,10536304174.4,2338531617.5,263858845.4,70804718.5
IEM_MED-CovidProject,,,,,59946.7,13825.3,4535.3,1776.4,,,,,12280993536.7,486670246.2,71972591.1,19096136.7
COVIDhub-baseline,57114.0,40885.0,33469.9,61730.7,48000.8,22186.4,11842.0,3607.4,15130205174.6,10929338182.3,6875289209.3,12827288362.6,10811969646.3,1887683891.3,487444726.5,65169225.5
Wadhwani_AI-BayesOpt,,,42712.9,,,,,,,,6746129319.7,,,,,
COVIDhub-ensemble,,,,,45660.9,17953.3,7478.0,2200.0,,,,,9153182335.2,1300989955.6,170772861.6,27583748.7
BPagano-RtDriven,,,,,48315.6,20229.5,9906.5,2020.3,,,,,12710295800.8,2536333744.9,503409829.9,15600452.8
MOBS-GLEAM_COVID,,,,,38203.1,16222.5,9882.4,3962.6,,,,,11931587959.9,2337067641.3,563284675.7,72962843.7
Covid19Sim-Simulator,67536.1,43366.6,37211.3,62539.3,49925.3,24114.6,11853.0,3880.5,42325451044.2,18367887166.3,13299150754.3,15136185262.0,10133886175.2,2199674073.8,419578330.2,78783157.6
Microsoft-DeepSTIA,,,,,50664.9,28971.5,7881.1,1834.9,,,,,9205356464.1,3056659879.6,229539171.6,19356341.7
Google_Harvard-CPF,,,,,63301.6,21754.9,8236.9,2296.5,,,,,10503043242.8,2194677601.5,186943449.7,19593689.8
