,mean_abs_error_2020-11-02_2020-12-26,mean_abs_error_2020-11-09_2020-12-26,mean_abs_error_2020-11-16_2020-12-26,mean_abs_error_2020-11-23_2020-12-26,mean_abs_error_2020-11-30_2020-12-26,mean_abs_error_2020-12-07_2020-12-26,mean_abs_error_2020-12-14_2020-12-26,mean_abs_error_2020-12-21_2020-12-26,mean_sq_abs_error_2020-11-02_2020-12-26,mean_sq_abs_error_2020-11-09_2020-12-26,mean_sq_abs_error_2020-11-16_2020-12-26,mean_sq_abs_error_2020-11-23_2020-12-26,mean_sq_abs_error_2020-11-30_2020-12-26,mean_sq_abs_error_2020-12-07_2020-12-26,mean_sq_abs_error_2020-12-14_2020-12-26,mean_sq_abs_error_2020-12-21_2020-12-26
OneQuietNight-ML,,,,837.5,565.8,352.5,185.3,86.5,,,,23647790.9,12597797.4,7126576.4,1479106.6,80393.4
COVIDhub-baseline,1818.5,1438.2,1143.4,869.2,668.1,420.3,232.0,85.9,66475603.4,50755761.1,38493168.6,23728215.3,18300654.5,7442669.8,1353560.8,93616.7
LNQ-ens1,,,,,598.3,309.1,166.0,69.4,,,,,16647388.0,1721130.4,324610.0,83482.1
JHU_IDD-CovidSP,,,962.2,799.6,641.9,485.1,306.4,116.5,,,34051414.2,22517927.2,18420632.4,10149693.3,5613432.4,631908.4
COVIDhub-ensemble,,,,,603.1,339.6,181.4,67.4,,,,,14864841.8,4437649.3,831892.9,66952.2
CU-select,,,1062.9,818.7,695.2,509.2,251.2,100.1,,,28767232.7,16762826.4,22208672.1,6114439.5,972074.0,239479.7
LANL-GrowthRate,,,1396.1,916.1,624.9,364.4,217.9,101.6,,,41064635.5,16364343.4,9003206.9,1688772.3,1159194.4,496183.5
CEID-Walk,,,,,667.3,423.7,233.3,86.6,,,,,18397266.6,7367973.5,1373525.0,93110.7
IowaStateLW-STEM,1941.3,1641.0,1283.3,1013.3,712.1,517.3,302.9,117.9,80689834.8,66043701.1,50015109.2,35812708.3,21387007.6,13408626.6,2516599.5,156070.4
OliverWyman-Navigator,,,,,,374.7,253.2,131.8,,,,,,4850238.4,679158.8,163148.0
FAIR-NRAR,,,,,,,196.2,112.8,,,,,,,2391296.5,325905.5
JHUAPL-Bucky,2173.5,1954.4,2949.6,2265.3,869.8,508.5,384.0,168.3,80566505.1,72336117.0,133776265.8,94119964.3,12811683.1,5138866.4,4245572.3,1122804.0
UChicagoCHATTOPADHYAY-UnIT,,,,,,,258.1,89.8,,,,,,,2249783.1,169468.5
PandemicCentral-USCounty,,,,,,1187.8,256.2,112.2,,,,,,35164149.7,2230243.9,258555.3
Google_Harvard-CPF,,,,,902.9,535.1,298.5,396.7,,,,,24604251.3,8784974.3,2118162.3,153219538.1
UVA-Ensemble,,,,,748.3,584.4,468.3,309.7,,,,,7454589.1,5348341.1,12267891.5,13036976.8
Microsoft-DeepSTIA,,,,,,,255.1,,,,,,,,2627814.3,
USC-SI_kJalpha,2272.6,1944.9,,,,,,,70080596.5,59231955.0,,,,,,
