,perc_error_2020-09-21_2020-11-14,perc_error_2020-09-28_2020-11-14,perc_error_2020-10-05_2020-11-14,perc_error_2020-10-12_2020-11-14,perc_error_2020-10-19_2020-11-14,perc_error_2020-10-26_2020-11-14,perc_error_2020-11-02_2020-11-14,perc_error_2020-11-09_2020-11-14
Columbia_UNC-SurvCon,,-0.235,-0.225,-0.438,-0.369,-0.317,0.011,-0.099
CU-select,,,-0.378,-0.370,-0.344,-0.332,-0.326,-0.233
Karlen-pypm,,,,-0.406,-0.304,-0.203,-0.221,-0.183
DDS-NBDS,,,,,-0.308,-0.184,-0.157,-0.189
QJHong-Encounter,,,,-0.316,-0.329,-0.323,-0.322,-0.284
RobertWalraven-ESG,-0.769,,-0.732,,-0.424,-0.224,-0.226,-0.106
LNQ-ens1,,,,,-0.369,-0.248,-0.266,-0.095
JCB-PRM,-0.565,-0.472,-0.382,-0.376,-0.457,-0.373,-0.372,-0.290
UMich-RidgeTfReg,,,,,-0.408,-0.282,-0.330,-0.071
Covid19Sim-Simulator,-0.770,-0.705,-0.467,-0.470,-0.586,-0.308,-0.352,-0.316
JHUAPL-Bucky,,,-0.558,-0.548,-0.441,-0.412,-0.357,-0.276
IBF-TimeSeries,-0.470,-0.495,,-0.541,-0.453,-0.313,-0.372,-0.228
USC-SI_kJalpha,-0.616,-0.609,-0.533,-0.510,-0.477,-0.389,-0.364,-0.297
BPagano-RtDriven,,,,,-0.320,-0.304,-0.410,-0.198
LANL-GrowthRate,,-0.747,-0.726,-0.681,-0.664,-0.573,-0.238,-0.144
COVIDhub-baseline,-0.471,-0.447,-0.499,-0.489,-0.463,-0.416,-0.404,-0.298
OliverWyman-Navigator,,,,,,-0.267,-0.325,-0.198
COVIDhub-ensemble,,,,,-0.461,-0.376,-0.358,-0.237
USACE-ERDC_SEIR,-0.475,-0.504,,-0.439,,-0.332,,
UCLA-SuEIR,-0.650,-0.640,-0.671,-0.624,-0.610,-0.439,-0.370,-0.240
JHU_IDD-CovidSP,,,-0.496,-0.582,-0.576,-0.635,-0.673,
MSRA-DeepST,,,,,-0.566,,-0.349,-0.215
IowaStateLW-STEM,-0.565,-0.520,-0.616,-0.612,-0.576,-0.434,-0.395,-0.355
CEID-Walk,,,,,-0.459,-0.421,-0.403,-0.304
USC-SI_kJalpha_RF,,,,,,,-0.347,-0.252
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,-0.149
JHU_CSSE-DECOM,,,,,,-0.398,,-0.265
Geneva-DetGrowth,,,,,,,,-0.156
IQVIA_ACOE-STAN,,,,,,,-0.406,-0.287
CovidAnalytics-DELPHI,,-0.801,-0.781,-0.751,-0.766,-0.653,-0.631,-0.557
TTU-squider,,,,,-0.778,-0.706,-0.546,-0.521
