,mean_abs_error_2020-07-06_2020-08-22,mean_abs_error_2020-07-13_2020-08-22,mean_abs_error_2020-07-20_2020-08-22,mean_abs_error_2020-07-27_2020-08-22,mean_abs_error_2020-08-03_2020-08-22,mean_abs_error_2020-08-10_2020-08-22,mean_abs_error_2020-08-17_2020-08-22,mean_sq_abs_error_2020-07-06_2020-08-22,mean_sq_abs_error_2020-07-13_2020-08-22,mean_sq_abs_error_2020-07-20_2020-08-22,mean_sq_abs_error_2020-07-27_2020-08-22,mean_sq_abs_error_2020-08-03_2020-08-22,mean_sq_abs_error_2020-08-10_2020-08-22,mean_sq_abs_error_2020-08-17_2020-08-22
USC-SI_kJalpha,21009.6,19831.0,17811.3,4797.8,4086.6,1898.3,751.2,2258016352.2,1891757483.9,1457174972.7,120653073.4,62398569.8,27388730.1,1906576.2
USACE-ERDC_SEIR,22467.1,15456.8,13839.8,8828.3,4007.1,2291.1,1022.6,1293540478.3,545384550.7,841357474.1,317576453.6,93638684.4,25361162.0,5390065.8
COVIDhub-baseline,13315.4,8690.1,10563.7,8492.0,6021.8,2643.5,1390.3,602026441.5,263626682.2,774160332.5,460119311.0,181751704.7,25808665.8,12101373.7
LNQ-ens1,,,,5939.3,3738.1,1505.4,868.5,,,,175173854.7,58121841.7,16221064.6,4598751.7
LANL-GrowthRate,25180.3,22696.8,11996.2,9219.0,5771.0,2615.3,976.1,2533717205.0,3606819158.3,737556796.2,524414702.2,227625779.0,56600340.8,6090458.7
UCLA-SuEIR,14874.3,17719.6,16235.4,8912.8,5984.3,2531.2,1319.3,1068832185.9,2069329282.5,1158854384.1,260710091.2,137288135.3,17202658.3,10699885.9
COVIDhub-ensemble,,,,6391.0,4693.4,2142.5,888.0,,,,244745467.8,100156209.6,16682237.7,4093355.9
DDS-NBDS,,,,7839.3,4829.3,2999.1,1118.9,,,,271898672.9,131274812.8,36541451.6,5055507.2
JHU_IDD-CovidSP,,,11248.1,12165.2,8216.9,3630.6,1433.3,,,496442688.1,476912222.7,177511085.3,26240887.5,5099947.8
OliverWyman-Navigator,,,,,6807.0,2122.3,958.2,,,,,126144366.4,20787063.1,5298365.8
CovidAnalytics-DELPHI,21220.2,16534.7,15922.5,13915.8,11016.0,5908.1,2154.0,1203268684.1,674722443.2,619958671.7,706066524.6,492851095.7,148597695.1,18059337.4
RobertWalraven-ESG,,,,22658.6,4961.9,5022.0,1067.5,,,,4285369354.1,87123146.3,114608526.5,5236719.0
IowaStateLW-STEM,24517.2,30455.8,18126.3,9842.2,6565.3,,1505.2,4821031913.2,6060760116.8,3254678588.5,744688015.7,227722398.1,,14773921.2
Covid19Sim-Simulator,30016.1,30075.1,26351.1,22065.6,9915.2,,,8702907730.7,7829417279.2,5253637556.6,3387924308.5,422788024.6,,
Karlen-pypm,,,78095.5,28392.5,14239.5,4653.4,1185.4,,,37375410496.8,4321367427.6,698132823.2,64926177.6,5406535.0
CEID-Walk,,,,,,2505.3,1361.0,,,,,,24056339.7,11145056.0
CU-select,,,,,,2501.5,1597.5,,,,,,23610426.2,22816545.5
IHME-CurveFit,,,44214.3,34644.7,27292.9,20025.9,,,,16819506091.7,11797547206.7,5172823658.6,2187871426.0,
Geneva-DetGrowth,,,,,,,1419.5,,,,,,,11839397.9
UMich-RidgeTfReg,,,,,,5421.5,,,,,,,114224779.7,
TTU-squider,,,,,,,1952.9,,,,,,,9501692.0
