,mean_abs_error_2020-12-07_2021-01-30,mean_abs_error_2020-12-14_2021-01-30,mean_abs_error_2020-12-21_2021-01-30,mean_abs_error_2020-12-28_2021-01-30,mean_abs_error_2021-01-04_2021-01-30,mean_abs_error_2021-01-11_2021-01-30,mean_abs_error_2021-01-18_2021-01-30,mean_abs_error_2021-01-25_2021-01-30,mean_sq_abs_error_2020-12-07_2021-01-30,mean_sq_abs_error_2020-12-14_2021-01-30,mean_sq_abs_error_2020-12-21_2021-01-30,mean_sq_abs_error_2020-12-28_2021-01-30,mean_sq_abs_error_2021-01-04_2021-01-30,mean_sq_abs_error_2021-01-11_2021-01-30,mean_sq_abs_error_2021-01-18_2021-01-30,mean_sq_abs_error_2021-01-25_2021-01-30
JHU_IDD-CovidSP,,,31408.1,29413.7,30706.3,14117.8,5055.6,2740.0,,,2762557468.7,2741631820.3,2540750805.6,559771802.3,128938879.2,27331403.0
COVIDhub-baseline,73312.0,52959.7,35556.3,28417.5,15270.0,24677.0,16358.6,3623.6,21629403686.7,7287411097.0,4145167456.9,3483641262.7,942447783.9,1965077545.3,1450291292.2,54648536.6
IowaStateLW-STEM,79062.1,58978.9,35978.5,25575.4,15314.5,21294.9,20541.3,5231.8,29020909088.6,8644520551.7,3149169334.3,2120794667.0,910832643.2,1121919794.3,1731323506.1,136733372.6
UCLA-SuEIR,89705.4,67478.4,48388.0,37744.9,24156.6,24457.8,6996.9,3029.6,24564351497.9,14880128740.4,7695663221.4,4810127115.7,1838026143.7,1940487571.5,557387320.3,46441123.8
USC-SI_kJalpha,108326.2,60506.5,51154.2,38620.3,20319.4,20110.6,17872.0,2956.1,42733461711.6,15174404636.0,6988365757.9,5488551096.7,1851439013.5,2178653881.8,1530025289.0,32874932.8
OneQuietNight-ML,,,,,15710.0,15810.6,7122.4,2443.5,,,,,507244853.5,577219425.0,360596010.5,10558759.9
Covid19Sim-Simulator,71529.5,52837.0,41057.6,30310.2,17685.4,22069.3,19415.5,5442.5,14330095449.2,7612377012.2,12372077439.4,6418889628.6,2564973734.3,2040445056.2,1636026896.4,132993988.6
LANL-GrowthRate,,,54726.0,42861.4,16288.1,25324.7,11089.9,3754.2,,,35098228038.3,19760411999.1,850657167.8,1939621805.3,549911718.7,60609494.1
Microsoft-DeepSTIA,,,,,11463.2,23528.7,16417.2,2764.3,,,,,452884264.3,1400244495.2,1041965735.1,45172394.5
LNQ-ens1,,,,,14258.6,32960.9,9325.6,1787.9,,,,,773465196.7,3157992795.7,449467459.4,16027351.4
CU-select,,,28418.9,37652.8,81904.5,77753.8,19614.6,2187.1,,,2540003754.4,2822717350.6,23339389830.0,24516748389.0,3116261123.2,15671898.5
COVIDhub-ensemble,,,,,13632.2,24202.3,16098.6,3221.8,,,,,947350454.6,1918010690.6,1271558313.4,48942508.0
CEID-Walk,,,,,15565.9,24786.8,16718.7,3689.1,,,,,1017674976.6,1938392528.4,1518264366.5,65000486.3
JHUAPL-Bucky,82938.3,122149.2,94329.9,69758.4,20784.8,27638.4,16343.8,4410.1,33549088248.5,128937337555.8,111852219074.8,37627430331.4,2111754451.5,2553290877.5,842588574.9,132182597.7
RobertWalraven-ESG,,,,,20191.8,25889.5,14523.2,4029.2,,,,,1133656844.5,2159937368.3,960833868.4,63531595.1
Karlen-pypm,,,,108801.6,26043.4,21729.0,16899.3,4599.6,,,,249017351033.4,2051039006.3,2216132055.5,1237848713.8,120670303.0
MOBS-GLEAM_COVID,,,,,,9884.2,14200.2,4756.5,,,,,,228601883.6,1833561077.7,173500233.9
BPagano-RtDriven,,,,,24541.9,22936.9,17379.0,4124.7,,,,,2736920027.2,1843569178.1,1864494528.4,146870078.1
JHU_UNC_GAS-StatMechPool,,,,,22526.0,15234.7,,3951.4,,,,,1293217249.6,876531923.4,,42574485.2
UChicagoCHATTOPADHYAY-UnIT,,,,,,,6747.3,2821.0,,,,,,,334440627.4,23792429.7
Google_Harvard-CPF,,,,,21980.3,34500.1,19727.7,3647.6,,,,,1813590845.0,2473426975.8,954125345.0,59229719.7
JHU_CSSE-DECOM,,,,,18514.2,35205.5,22337.1,4215.0,,,,,1385043332.9,3896790314.4,2678983903.2,110819472.9
TTU-squider,,,,,36214.8,26671.9,15440.7,7259.2,,,,,4786070167.1,3003040916.7,1568840380.2,391036114.7
IEM_MED-CovidProject,,,,,27667.1,53333.5,20634.6,2891.0,,,,,4059763473.9,8963906886.8,1577454218.4,20812726.0
JCB-PRM,138295.9,141633.7,120908.2,60856.9,,,,,36712237470.2,64291078733.3,91873596254.0,42665762591.5,,,,
CovidAnalytics-DELPHI,,,69159.1,46484.6,35766.5,59898.5,42025.2,8829.6,,,43639752477.7,7114634673.4,3338573253.8,47558314222.9,23305944461.8,393035532.5
UMich-RidgeTfReg,,,,,33687.9,36562.0,19601.5,4988.6,,,,,6727840959.0,5661694520.3,2412497674.2,63743336.6
Geneva-DetGrowth,,,,,,,,2443.8,,,,,,,,22810319.2
MIT_ISOLAT-Mixtures,,,,,,,17755.5,4846.9,,,,,,,963533073.8,97489453.8
OliverWyman-Navigator,,,,,,31782.7,24381.0,6630.1,,,,,,3450536342.5,2520832757.4,205992404.1
UCSB-ACTS,,,,,56887.3,26732.2,32407.4,17214.3,,,,,28093947232.4,4158235935.7,3850858784.2,1170656948.7
Wadhwani_AI-BayesOpt,,,131614.4,,33951.7,,,,,,54697008537.6,,4019532843.7,,,
UVA-Ensemble,,,,,44152.9,42645.6,36489.3,15156.3,,,,,34739130061.5,7847192559.1,8306685015.3,1758343813.6
DDS-NBDS,,,,,62890.8,83848.1,118951.0,11904.7,,,,,38311656070.7,33665280372.8,382431792220.4,1302735733.5
