,mean_abs_error_2020-07-06_2020-07-25,mean_abs_error_2020-07-13_2020-07-25,mean_abs_error_2020-07-20_2020-07-25,mean_sq_abs_error_2020-07-06_2020-07-25,mean_sq_abs_error_2020-07-13_2020-07-25,mean_sq_abs_error_2020-07-20_2020-07-25
UCLA-SuEIR,6112.1,2283.5,1023.4,193414372.4,21488052.8,4186447.7
COVIDhub-baseline,7140.8,2967.3,973.4,234667979.1,34151594.5,3777341.0
USACE-ERDC_SEIR,9758.6,4397.7,1220.6,283163153.4,36595228.3,10721127.9
LNQ-ens1,,1800.4,1155.9,,13293585.0,7096075.3
IowaStateLW-STEM,6220.7,5434.0,2508.8,199467944.4,142644135.4,68300776.9
USC-SI_kJalpha,6469.9,5223.1,3079.1,306155837.0,173287630.9,59019401.0
OliverWyman-Navigator,7559.4,5581.5,2230.9,350443746.9,210352393.2,33440812.9
CovidAnalytics-DELPHI,9391.4,6035.6,2154.6,253629827.8,92740017.6,8669681.3
LANL-GrowthRate,9096.9,6383.7,1639.3,492785573.5,193973954.6,16112473.7
Covid19Sim-Simulator,7158.6,6088.7,4201.8,238741956.3,278465812.3,149688616.5
COVIDhub-ensemble,,,965.9,,,4364062.3
Geneva-DetGrowth,19212.7,9267.1,1280.9,1631513001.1,348016552.6,10077095.2
RobertWalraven-ESG,23959.6,9316.1,1444.9,2428638202.8,518528618.3,18407645.5
JHU_IDD-CovidSP,14026.0,7915.5,3494.0,885747874.4,397479900.7,72572336.0
CovidActNow-SEIR_CAN,13575.4,,,1802699001.7,,
Karlen-pypm,,,5219.1,,,176293098.9
IHME-CurveFit,,,8270.7,,,586151182.4
