,perc_error_2020-07-27_2020-09-19,perc_error_2020-08-03_2020-09-19,perc_error_2020-08-10_2020-09-19,perc_error_2020-08-17_2020-09-19,perc_error_2020-08-24_2020-09-19,perc_error_2020-08-31_2020-09-19,perc_error_2020-09-07_2020-09-19,perc_error_2020-09-14_2020-09-19
UCLA-SuEIR,0.431,0.216,-0.059,-0.007,-0.074,0.059,-0.051,-0.240
USACE-ERDC_SEIR,0.050,-0.141,-0.167,-0.068,-0.215,-0.047,0.021,-0.108
Karlen-pypm,,,,0.166,0.048,-0.035,-0.001,-0.130
Columbia_UNC-SurvCon,-0.007,-0.188,-0.235,-0.047,-0.233,-0.089,0.135,-0.123
COVIDhub-baseline,0.441,0.438,0.278,0.288,0.106,0.082,0.081,-0.154
USC-SI_kJalpha,-0.245,-0.203,-0.272,-0.190,-0.243,-0.083,0.032,-0.175
LNQ-ens1,,,,,-0.171,-0.000,0.032,-0.135
DDS-NBDS,,,,,-0.021,0.016,0.093,-0.149
COVIDhub-ensemble,,,,,-0.133,-0.015,0.046,-0.154
CovidAnalytics-DELPHI,,,0.122,-0.012,-0.168,-0.200,-0.230,-0.337
IowaStateLW-STEM,0.372,0.341,,0.094,0.140,0.204,0.216,0.018
JHU_IDD-CovidSP,,,,0.325,0.112,-0.023,-0.069,-0.247
CEID-Walk,,,,,0.104,0.082,0.079,-0.159
UMich-RidgeTfReg,,,,,-0.138,-0.053,0.075,-0.159
JHUAPL-Bucky,,,,,,-0.013,0.211,-0.077
CU-select,,,0.292,0.584,0.077,0.250,0.277,-0.135
QJHong-Encounter,,,,0.276,0.140,-0.106,0.083,-0.195
OliverWyman-Navigator,,,,,,-0.039,0.144,-0.108
Covid19Sim-Simulator,0.882,0.511,,-0.112,-0.292,-0.222,-0.102,-0.183
JCB-PRM,,,,,,,0.068,-0.108
IQVIA_ACOE-STAN,,,,,,,0.146,-0.125
LANL-GrowthRate,,-0.343,-0.309,-0.294,-0.350,-0.282,-0.272,-0.191
IBF-TimeSeries,,,,,,,-0.058,-0.250
RobertWalraven-ESG,,,,-0.275,-0.278,-0.285,-0.323,-0.407
IHME-CurveFit,0.982,1.301,1.896,,,,,
Geneva-DetGrowth,,,,,,,,-0.279
TTU-squider,,,,,,,,0.326
