,perc_error_2020-11-30_2021-01-23,perc_error_2020-12-07_2021-01-23,perc_error_2020-12-14_2021-01-23,perc_error_2020-12-21_2021-01-23,perc_error_2020-12-28_2021-01-23,perc_error_2021-01-04_2021-01-23,perc_error_2021-01-11_2021-01-23,perc_error_2021-01-18_2021-01-23
COVIDhub-baseline,-0.220,-0.095,0.007,0.035,-0.111,-0.048,0.218,0.266
UCF-AEM,-0.168,0.018,0.109,0.063,-0.074,0.030,0.307,0.255
CovidAnalytics-DELPHI,,,0.162,-0.024,0.022,-0.138,0.107,0.344
IBF-TimeSeries,-0.225,-0.047,0.078,0.030,-0.148,0.060,0.347,0.129
QJHong-Encounter,,,,-0.018,0.002,0.033,0.175,0.353
IowaStateLW-STEM,-0.203,-0.131,0.043,0.038,-0.073,-0.163,0.128,0.384
TTU-squider,,,,,-0.030,-0.100,-0.054,0.058
OneQuietNight-ML,0.005,,,,0.004,0.008,0.183,0.260
USC-SI_kJalpha,-0.638,-0.426,-0.211,-0.153,-0.059,-0.106,0.160,0.304
LANL-GrowthRate,,,0.215,-0.151,-0.118,-0.127,0.178,0.127
UCLA-SuEIR,-0.387,-0.018,-0.124,-0.117,-0.250,-0.119,0.307,0.027
Covid19Sim-Simulator,-0.235,0.174,0.212,0.077,-0.139,-0.061,0.191,0.334
BPagano-RtDriven,,,,,0.113,-0.006,0.166,0.275
JHUAPL-Bucky,0.185,0.051,0.415,0.234,-0.110,0.032,0.237,0.299
Karlen-pypm,,,,0.539,0.468,-0.005,0.138,0.273
JHU_IDD-CovidSP,,,-0.175,-0.143,-0.247,-0.327,-0.243,-0.100
COVIDhub-ensemble,,,,,-0.094,-0.056,0.217,0.286
CEID-Walk,,,,,-0.113,-0.060,0.217,0.262
Columbia_UNC-SurvCon,-0.597,0.381,0.637,0.769,-0.028,-0.210,0.164,0.337
Microsoft-DeepSTIA,,,,,-0.104,-0.061,0.196,0.329
CU-select,,,-0.010,-0.079,-0.260,0.431,0.620,0.310
LNQ-ens1,,,,,-0.226,-0.057,0.300,0.159
RobertWalraven-ESG,,,,,-0.229,-0.083,0.160,0.282
IEM_MED-CovidProject,,,,,-0.052,-0.116,0.382,0.290
MOBS-GLEAM_COVID,,,,,,,-0.009,0.202
UChicagoCHATTOPADHYAY-UnIT,,,,,,,0.209,0.032
OliverWyman-Navigator,,,,,,-0.013,0.274,0.420
UMich-RidgeTfReg,,,,,-0.413,0.110,0.439,0.206
UpstateSU-GRU,,,,,,,-0.347,-0.010
SigSci-TS,,,,,,,0.300,0.146
UVA-Ensemble,,,,,-0.110,0.257,0.491,0.869
JCB-PRM,0.421,0.421,0.541,0.541,0.301,,,
JHU_CSSE-DECOM,,,,,-0.167,,,
Geneva-DetGrowth,,,,,,,,0.278
DDS-NBDS,,,,,11.002,0.135,0.752,1.113
MIT_ISOLAT-Mixtures,,,,,,,,0.531
USACE-ERDC_SEIR,-0.678,,,,,,,
