,mean_abs_error_2020-07-06_2020-07-18,mean_abs_error_2020-07-13_2020-07-18,mean_sq_abs_error_2020-07-06_2020-07-18,mean_sq_abs_error_2020-07-13_2020-07-18
OliverWyman-Navigator,2992.6,1350.7,47525568.9,10888938.3
UCLA-SuEIR,3521.5,759.1,72887946.9,1671124.6
IowaStateLW-STEM,3186.9,2213.4,44731839.8,21519930.6
COVIDhub-baseline,4253.5,1571.9,98932117.9,12294387.7
USC-SI_kJalpha,3660.7,2430.6,115249192.3,43883041.1
Covid19Sim-Simulator,4130.0,2762.2,73019704.2,56917885.2
CovidActNow-SEIR_CAN,5550.8,,265340171.1,
LNQ-ens1,,712.4,,1672086.9
USACE-ERDC_SEIR,6095.8,1909.6,121192240.8,7144627.1
Geneva-DetGrowth,,1133.7,,5185954.7
CovidAnalytics-DELPHI,5629.1,2833.2,106724536.3,25627348.3
LANL-GrowthRate,5767.2,3246.8,218795990.2,48407987.4
JHU_IDD-CovidSP,9245.7,4186.1,400023946.0,121386298.5
RobertWalraven-ESG,15442.6,4577.2,1043241739.4,138280289.3
