,mean_abs_error_2020-08-17_2020-10-10,mean_abs_error_2020-08-24_2020-10-10,mean_abs_error_2020-08-31_2020-10-10,mean_abs_error_2020-09-07_2020-10-10,mean_abs_error_2020-09-14_2020-10-10,mean_abs_error_2020-09-21_2020-10-10,mean_abs_error_2020-09-28_2020-10-10,mean_abs_error_2020-10-05_2020-10-10,mean_sq_abs_error_2020-08-17_2020-10-10,mean_sq_abs_error_2020-08-24_2020-10-10,mean_sq_abs_error_2020-08-31_2020-10-10,mean_sq_abs_error_2020-09-07_2020-10-10,mean_sq_abs_error_2020-09-14_2020-10-10,mean_sq_abs_error_2020-09-21_2020-10-10,mean_sq_abs_error_2020-09-28_2020-10-10,mean_sq_abs_error_2020-10-05_2020-10-10
COVIDhub-baseline,447.0,314.9,234.9,193.2,146.5,106.7,70.5,30.7,4994486.5,1907398.0,573577.3,357841.8,293455.6,92165.3,239721.0,11777.6
LNQ-ens1,,,,,160.0,93.6,55.4,29.2,,,,,350729.0,95079.4,34018.0,7827.8
IowaStateLW-STEM,411.1,379.2,260.2,223.3,162.8,131.4,92.1,38.0,2060241.3,2943176.1,2070802.9,2722689.7,304250.0,222115.0,139052.2,11612.6
USC-SI_kJalpha,452.7,374.8,301.0,222.6,217.5,134.3,85.7,32.0,2428939.2,1577261.5,1000412.0,482529.9,663294.6,217013.8,170973.7,10346.2
COVIDhub-ensemble,,,,,167.9,104.7,64.3,31.1,,,,,403254.1,128841.6,73414.3,9171.5
CEID-Walk,,,,,149.8,107.2,72.0,31.1,,,,,301073.4,93749.4,255107.7,11853.9
LANL-GrowthRate,,371.1,320.3,258.9,213.1,145.6,81.4,39.6,,1037569.9,788174.4,538945.1,388331.3,213632.5,49156.3,10758.7
JHU_IDD-CovidSP,,,,204.0,181.4,139.5,86.9,47.6,,,,487774.1,531363.4,308784.0,74800.4,22540.0
UCLA-SuEIR,464.8,380.5,278.2,215.4,,,75.7,33.5,4828225.9,4163473.3,1414953.2,572107.9,,,116125.1,10981.6
JHUAPL-Bucky,,,,,205.0,135.7,84.7,33.0,,,,,515984.6,174017.0,253860.8,11156.2
UVA-Ensemble,,,,,219.1,154.5,77.5,49.6,,,,,517740.8,299999.7,98576.5,17780.2
OliverWyman-Navigator,,,,,,141.9,88.6,32.6,,,,,,172080.2,321350.9,17720.6
RobertWalraven-ESG,438.5,387.6,391.3,303.0,254.7,183.4,105.1,47.8,1956478.0,1486617.4,1426868.9,875949.9,695977.0,400750.0,103409.4,19790.2
MITCovAlliance-SIR,533.0,,382.5,299.1,255.7,190.2,125.6,,4184341.8,,2076893.2,1430526.6,1123242.8,661518.3,240615.4,
CU-select,,,397.4,416.2,358.4,219.4,111.5,37.0,,,1718108.3,4241340.1,3376909.1,879430.2,129717.8,34236.4
Google_Harvard-CPF,,,,,,,96.1,60.5,,,,,,,100344.7,37880.4
PandemicCentral-USCounty,,,,,,,124.6,54.0,,,,,,,218122.6,69475.6
Yu_Group-CLEP,,,,,1040.1,515.6,137.7,,,,,,14698276.9,4963291.6,270401.1,
