,mean_abs_error_2020-10-26_2020-12-19,mean_abs_error_2020-11-02_2020-12-19,mean_abs_error_2020-11-09_2020-12-19,mean_abs_error_2020-11-16_2020-12-19,mean_abs_error_2020-11-23_2020-12-19,mean_abs_error_2020-11-30_2020-12-19,mean_abs_error_2020-12-07_2020-12-19,mean_abs_error_2020-12-14_2020-12-19,mean_sq_abs_error_2020-10-26_2020-12-19,mean_sq_abs_error_2020-11-02_2020-12-19,mean_sq_abs_error_2020-11-09_2020-12-19,mean_sq_abs_error_2020-11-16_2020-12-19,mean_sq_abs_error_2020-11-23_2020-12-19,mean_sq_abs_error_2020-11-30_2020-12-19,mean_sq_abs_error_2020-12-07_2020-12-19,mean_sq_abs_error_2020-12-14_2020-12-19
CU-select,,,47973.0,34649.5,25553.4,25705.1,11651.8,3921.2,,,9173077594.7,5124685242.0,2501615908.6,3433496128.7,656520220.7,50760026.8
LANL-GrowthRate,,,59383.3,56748.1,27529.1,21789.8,8473.1,3029.7,,,12118907964.2,11614789187.0,2140724237.9,2065032432.2,300086775.9,30279420.0
COVIDhub-baseline,106248.0,93762.7,69262.3,48102.7,34003.4,25818.5,13557.0,5274.4,26232421387.8,22853504492.9,15289784617.7,9260857464.8,4918560628.7,3522857762.3,1281196693.6,174679520.6
USC-SI_kJalpha,116861.3,101278.8,88251.3,72279.5,32224.6,26131.7,9299.5,4696.6,28914001235.7,23844230275.0,18083104937.1,11991972594.1,3102075811.6,3838119496.3,588101350.0,90221423.2
LNQ-ens1,,,,,23820.4,25150.5,7858.5,3082.1,,,,,2337599506.9,2919902729.1,260839335.7,36807395.2
COVIDhub-ensemble,,,,,28876.1,21772.1,10184.9,4530.2,,,,,2998069262.9,2626605601.3,783981985.0,99334737.5
OneQuietNight-ML,,,,,38101.3,19298.5,10261.3,3977.9,,,,,4209193798.3,2049257846.0,819428166.1,114495168.3
IowaStateLW-STEM,114928.2,97664.9,77591.6,50229.7,38453.0,23860.7,13737.7,6199.1,31389267436.0,24628311103.5,18925597240.9,9390803182.2,5987587260.1,3185735465.1,1243950135.3,155909990.8
BPagano-RtDriven,93924.6,90179.3,65089.1,63739.3,44762.1,23544.2,15168.0,5882.8,21399652759.0,19920922624.8,12716146000.7,12929485425.7,5660462600.0,1437483040.3,680462430.5,68307284.7
Covid19Sim-Simulator,101498.9,86570.1,64933.4,,32699.3,26620.7,14495.0,5355.6,24328606964.5,19750668603.6,14556142677.6,,4645038960.8,3518128964.8,1244745599.2,158812438.8
JHUAPL-Bucky,108539.6,91369.9,74570.6,117783.2,67089.2,21036.4,12271.9,5838.0,30239717517.7,21807220027.5,16896896762.0,37510755669.5,17208800669.3,1304119125.1,602441249.6,102994636.9
MSRA-DeepST,,,,,35967.7,21762.0,12166.8,,,,,,4309690073.0,3478880252.2,1469629954.0,
OliverWyman-Navigator,,,,,,16648.6,9799.6,5005.9,,,,,,1488196808.2,808302454.6,117038706.6
UCLA-SuEIR,144086.3,126367.6,99585.1,73711.8,35560.4,27222.6,13659.0,5623.9,43670428966.2,37441372311.9,26381558226.3,17827386331.6,4836400993.1,3050577196.9,1090955118.2,159449894.3
JCB-PRM,89749.0,91476.1,80005.7,44111.0,43489.2,30484.9,15151.4,6192.4,22938262118.4,21604826863.2,19043286043.9,7571252973.3,6810318668.6,3084447480.4,1343127269.7,173059590.0
CEID-Walk,,,,,34129.5,26261.7,13223.3,5271.8,,,,,4755769050.6,3504133736.1,1262221098.2,170990144.5
JHU_IDD-CovidSP,,,,41151.8,30647.4,29197.2,21622.0,10701.9,,,,7519202762.2,4877357888.6,3919556491.2,2171137482.8,690859522.3
USACE-ERDC_SEIR,111050.1,,,42212.3,39800.5,39842.8,,,24159387660.1,,,4074405151.6,4557948953.6,4665186978.7,,
JHU_CSSE-DECOM,,,,,44714.7,21993.1,14853.0,5346.3,,,,,4782719049.8,2555772434.8,2491479978.8,147252979.8
RobertWalraven-ESG,,,,,31493.8,30459.1,16288.7,4862.7,,,,,2753663577.0,3011621804.4,1175360606.4,63930675.6
Karlen-pypm,,,,100354.7,62352.2,26707.1,12399.3,5874.1,,,,26919975633.8,8922187043.7,1923226955.6,553058330.9,73742964.5
IEM_MED-CovidProject,,,,,,,9733.3,4672.8,,,,,,,271823059.1,54026406.4
Microsoft-DeepSTIA,,,,,,,11478.4,4669.5,,,,,,,1330811911.0,112135901.8
Google_Harvard-CPF,,,,,44960.6,27025.6,12990.3,5902.5,,,,,7108799038.8,2724179314.4,721256505.1,115676845.1
UVA-Ensemble,,,,,38185.5,24553.7,15862.7,14579.2,,,,,4627877091.1,1721248759.6,856752035.7,1726729581.8
UChicagoCHATTOPADHYAY-UnIT,,,,,,,12926.4,5670.6,,,,,,,1095192245.5,226040125.9
DDS-NBDS,,,,,82282.7,24312.5,27592.6,7929.8,,,,,15829345515.8,2198214876.5,4409051685.4,366423377.5
Geneva-DetGrowth,,,,,,,,4289.7,,,,,,,,54744567.5
JHU_UNC_GAS-StatMechPool,,,,,,,13779.9,6277.1,,,,,,,1235881871.5,286516337.7
CovidAnalytics-DELPHI,,,124833.3,119907.9,69558.8,41200.9,23218.3,9429.5,,,42068707085.2,39867719299.6,13030430579.8,3970414452.4,1531982088.0,246538188.1
Wadhwani_AI-BayesOpt,,,,,,,39456.5,5544.8,,,,,,,3413866434.5,137061196.4
UMich-RidgeTfReg,,,,,51332.6,,,,,,,,6527046021.7,,,
IQVIA_ACOE-STAN,,,,,,,15643.4,6900.4,,,,,,,1306408687.6,335836089.2
TTU-squider,,,,,63973.4,58051.8,23061.5,8868.6,,,,,16595894373.0,14053977708.1,5426536861.2,310377397.7
UCSB-ACTS,,,,,61498.7,55063.3,26230.5,11320.4,,,,,12170522936.8,7478667693.5,1786791078.2,378721198.7
