,mean_abs_error_2020-07-06_2020-08-08,mean_abs_error_2020-07-13_2020-08-08,mean_abs_error_2020-07-20_2020-08-08,mean_abs_error_2020-07-27_2020-08-08,mean_abs_error_2020-08-03_2020-08-08,mean_sq_abs_error_2020-07-06_2020-08-08,mean_sq_abs_error_2020-07-13_2020-08-08,mean_sq_abs_error_2020-07-20_2020-08-08,mean_sq_abs_error_2020-07-27_2020-08-08,mean_sq_abs_error_2020-08-03_2020-08-08
COVIDhub-baseline,11125.5,5188.2,4687.0,2941.4,1468.0,418526705.3,76048600.2,134535345.1,57663176.2,12743056.9
USACE-ERDC_SEIR,16419.9,10034.1,5995.7,3082.8,1051.1,680113977.2,234554398.0,165722839.3,47020526.7,4558370.0
LNQ-ens1,,7117.5,7081.3,1737.1,1004.3,,290255805.4,272327037.2,16089493.0,4462062.5
USC-SI_kJalpha,13181.5,11932.3,9878.8,1613.2,1305.2,975344076.0,731060602.3,469268767.7,12220557.2,6048851.8
UCLA-SuEIR,10552.7,9076.4,6713.7,4005.3,2389.9,533903913.6,530450594.1,196034146.2,71988778.4,26296123.6
LANL-GrowthRate,17495.0,14191.7,6146.5,3703.0,1482.2,1347376495.1,1259602198.6,193102371.5,96375890.5,18049473.4
COVIDhub-ensemble,,,4481.4,2372.5,1345.4,,,117628950.0,33653879.9,11745641.6
OliverWyman-Navigator,11219.4,9214.2,16860.8,6049.3,1652.6,396911519.7,584878867.8,1655049963.4,152964113.2,11375878.4
JHU_IDD-CovidSP,21764.8,12664.0,6909.6,3788.9,1750.5,1878657762.9,847452247.1,265822175.2,52853585.3,10033123.2
CovidAnalytics-DELPHI,15931.5,11610.6,8195.4,5730.7,3150.0,587665153.8,287752726.4,136287494.8,111161036.0,43038013.6
RobertWalraven-ESG,39373.0,18055.2,14293.5,3537.4,1280.9,6068433115.7,1723308157.9,2058113497.4,51435298.5,6704815.2
IowaStateLW-STEM,13633.0,15777.0,9437.9,3981.7,1950.3,1392394744.8,1462430065.9,921896123.7,128664100.8,25006771.7
DDS-NBDS,,,,3282.6,1292.3,,,,33953947.0,10787104.8
Covid19Sim-Simulator,16355.1,16221.0,14102.4,10484.7,3216.8,1907828624.8,2167487851.2,1613195645.2,849899663.4,48825258.3
Geneva-DetGrowth,35116.7,25171.1,15483.7,6676.6,1653.8,4899621638.9,2322715084.0,825206277.7,145983278.5,11806613.9
Karlen-pypm,,,29290.3,8954.0,3261.9,,,5450264327.6,482473357.9,43844973.9
IHME-CurveFit,,,26663.0,17250.5,9303.4,,,6477253543.2,2811470699.6,556535200.3
CovidActNow-SEIR_CAN,42141.3,,,,,20418856333.8,,,,
