,mean_abs_error_2020-07-06_2020-08-08,mean_abs_error_2020-07-13_2020-08-15,mean_abs_error_2020-07-20_2020-08-22,mean_abs_error_2020-07-27_2020-08-29,mean_abs_error_2020-08-03_2020-09-05,mean_abs_error_2020-08-10_2020-09-12,mean_abs_error_2020-08-17_2020-09-19,mean_abs_error_2020-08-24_2020-09-26,mean_abs_error_2020-08-31_2020-10-03,mean_abs_error_2020-09-07_2020-10-10,mean_abs_error_2020-09-14_2020-10-17,mean_abs_error_2020-09-21_2020-10-24,mean_abs_error_2020-09-28_2020-10-31,mean_abs_error_2020-10-05_2020-11-07,mean_abs_error_2020-10-12_2020-11-14,mean_abs_error_2020-10-19_2020-11-21,mean_abs_error_2020-10-26_2020-11-28,mean_abs_error_2020-11-02_2020-12-05,mean_abs_error_2020-11-09_2020-12-12,mean_abs_error_2020-11-16_2020-12-19,mean_abs_error_2020-11-23_2020-12-26,mean_abs_error_2020-11-30_2021-01-02,mean_abs_error_2020-12-07_2021-01-09,mean_abs_error_2020-12-14_2021-01-16,mean_abs_error_2020-12-21_2021-01-23,mean_abs_error_2020-12-28_2021-01-30,mean_abs_error_2021-01-04_2021-02-06,mean_abs_error_2021-01-11_2021-02-13,mean_abs_error_2021-01-18_2021-02-20,mean_abs_error_2021-01-25_2021-02-27,mean_abs_error_2021-02-01_2021-03-06,mean_sq_abs_error_2020-07-06_2020-08-08,mean_sq_abs_error_2020-07-13_2020-08-15,mean_sq_abs_error_2020-07-20_2020-08-22,mean_sq_abs_error_2020-07-27_2020-08-29,mean_sq_abs_error_2020-08-03_2020-09-05,mean_sq_abs_error_2020-08-10_2020-09-12,mean_sq_abs_error_2020-08-17_2020-09-19,mean_sq_abs_error_2020-08-24_2020-09-26,mean_sq_abs_error_2020-08-31_2020-10-03,mean_sq_abs_error_2020-09-07_2020-10-10,mean_sq_abs_error_2020-09-14_2020-10-17,mean_sq_abs_error_2020-09-21_2020-10-24,mean_sq_abs_error_2020-09-28_2020-10-31,mean_sq_abs_error_2020-10-05_2020-11-07,mean_sq_abs_error_2020-10-12_2020-11-14,mean_sq_abs_error_2020-10-19_2020-11-21,mean_sq_abs_error_2020-10-26_2020-11-28,mean_sq_abs_error_2020-11-02_2020-12-05,mean_sq_abs_error_2020-11-09_2020-12-12,mean_sq_abs_error_2020-11-16_2020-12-19,mean_sq_abs_error_2020-11-23_2020-12-26,mean_sq_abs_error_2020-11-30_2021-01-02,mean_sq_abs_error_2020-12-07_2021-01-09,mean_sq_abs_error_2020-12-14_2021-01-16,mean_sq_abs_error_2020-12-21_2021-01-23,mean_sq_abs_error_2020-12-28_2021-01-30,mean_sq_abs_error_2021-01-04_2021-02-06,mean_sq_abs_error_2021-01-11_2021-02-13,mean_sq_abs_error_2021-01-18_2021-02-20,mean_sq_abs_error_2021-01-25_2021-02-27,mean_sq_abs_error_2021-02-01_2021-03-06
COVIDhub-baseline,11202.8,6266.8,10662.6,12527.5,13063.5,9747.8,10666.2,7233.2,6193.1,6937.4,9168.9,9602.7,13028.4,21318.2,31426.6,42212.5,47620.6,55432.7,52382.0,48102.7,47192.0,49959.2,42865.3,37820.5,26896.0,28417.5,23281.7,61730.7,69373.1,51887.9,46927.5,422364337.4,123731483.1,772192320.6,997717988.0,872243990.0,452303330.2,876138568.4,266685424.3,137649363.4,150676226.8,200063770.7,200339849.4,349962359.3,880042469.4,2124604339.0,3586476492.8,4386811063.6,6468277452.0,7270535603.2,9260857464.8,10053055559.5,13330941191.2,10637125341.4,5071006404.2,1947594694.4,3483641262.7,2905036717.1,12827288362.6,21382850991.6,9758736687.0,7503280577.0
USC-SI_kJalpha,13164.1,16027.4,17753.9,6484.6,7517.3,6915.8,7321.7,9444.5,8790.1,8227.6,15907.5,13574.4,17533.2,22958.7,31549.1,43239.6,49777.8,56008.7,64394.1,72279.5,44011.0,60911.6,37929.9,29185.1,36756.2,38620.3,28559.2,24743.9,37032.0,21249.3,20256.8,962925362.9,1294559676.5,1423375351.7,232517038.9,213419863.6,155960400.7,117241769.0,188046652.2,205834530.1,182492776.5,618435948.4,320800276.5,579378520.9,1110488162.9,2355774933.0,3785869517.2,4532646036.3,6499095048.8,8597163486.6,11991972594.1,8607904663.6,19438456113.9,6716717455.8,3245817745.3,4198050587.3,5488551096.7,3042465261.7,4144732070.6,7674751224.9,1500398210.9,1176235777.7
JHU_IDD-CovidSP,21768.8,14983.7,11368.6,17636.3,17580.5,14013.4,10319.8,7112.5,7689.2,8776.4,12723.3,17414.4,18100.7,24023.7,38325.0,49627.6,61669.2,74802.5,,41151.8,38742.4,43060.3,45836.9,41754.0,29755.6,29413.7,27782.0,19216.8,34670.7,29395.7,22585.6,1895544939.3,1050834778.8,507237777.5,1041067529.6,949490755.0,576016595.5,392178297.3,177455986.7,150416621.2,218438632.5,426092078.2,703773198.4,726647480.2,1186519958.6,3007599165.9,4671931436.0,7156568615.4,10764886551.0,,7519202762.2,9399473176.4,10845220675.2,10590319733.4,9004300237.2,2926002163.4,2741631820.3,2115086188.9,1254976406.5,5291566023.6,3815041609.9,2156408759.9
LANL-GrowthRate,17669.1,18551.1,11964.8,12200.1,10647.7,8022.7,8837.2,10819.4,10423.8,12470.9,15703.3,16861.0,22601.6,32030.5,41822.4,55491.7,62521.1,37604.0,41316.5,56748.1,39550.7,40394.9,25802.5,34649.2,44935.4,42861.4,23684.6,67219.4,56266.4,16404.6,16731.7,1391764548.9,2288329534.9,719137746.8,797725160.8,558758573.9,246844413.2,167425804.3,247649916.2,283231396.7,379889621.4,502458902.1,544229982.1,943760130.2,2028987720.5,3544854443.0,5923614531.5,7709473330.7,3313302044.2,5238271190.7,11614789187.0,4836695614.7,8674799379.2,2045057616.6,5295068866.4,23747810348.3,19760411999.1,2175966581.8,14797972333.1,14217209898.8,799326339.7,1154145736.5
Covid19Sim-Simulator,16361.0,22307.6,26423.4,28488.7,17549.6,,,8845.5,6189.6,6655.4,10341.5,14174.3,16181.0,20533.7,33132.3,47345.5,47551.3,52966.8,51344.9,,44689.7,50363.9,43046.1,29206.4,30449.9,30310.2,26146.3,62539.3,68888.5,46520.6,36261.2,1900982072.0,4263230375.9,5260816144.6,5515675937.5,1383520544.0,,,163750695.3,88261405.6,147192843.0,272880770.9,459853506.9,479235358.0,859952453.4,2177900333.1,4480785714.7,4328291846.4,5675445344.9,7095115371.8,,8915478681.2,12847677027.1,7557521919.3,2437515147.3,5550202893.2,6418889628.6,6543512579.3,15136185262.0,18727495555.9,7953580438.6,4151458033.2
CU-select,,,,,,10541.5,19878.7,6639.0,12319.3,15803.1,12903.0,13631.8,14660.3,18386.5,25387.6,33681.7,38213.8,41804.3,33206.5,34649.5,35271.4,48609.2,35249.7,25613.2,24412.9,37652.8,124734.7,179330.2,85561.0,57243.6,45575.4,,,,,,480871987.8,4525298131.0,130953887.5,713770974.4,1028199620.9,469635974.6,689975390.5,491401748.5,754926194.2,1491907412.6,2296348675.5,2754297237.1,4359158490.5,3909034882.6,5124685242.0,5439719697.9,13082074609.3,4546237727.9,1768078788.2,1795608013.4,2822717350.6,51169588067.7,125483672992.0,54613147460.0,11293159068.2,9582010870.7
USACE-ERDC_SEIR,16497.3,12785.1,13825.8,11810.7,7510.9,7301.7,7543.9,9515.1,10224.4,8575.9,12981.5,14057.2,16446.5,,29088.0,,44262.4,,,42212.3,56856.5,78688.7,,,,,,,,,,674767428.3,372092509.0,817918408.5,521765852.1,257543921.4,145822475.8,312294951.1,274397711.1,316717209.3,223903281.7,396223437.4,478930705.7,601976405.7,,2066869382.7,,3663327281.6,,,4074405151.6,10032657186.7,19439501140.9,,,,,,,,,
IowaStateLW-STEM,13530.2,22437.8,18197.9,13739.5,12927.4,,10099.5,11813.4,7811.2,9180.0,9644.0,12578.8,16177.0,27318.0,39068.0,50964.5,51537.4,57279.1,58472.6,50229.7,53940.7,49209.6,45648.4,39622.9,26820.5,25575.4,20802.8,50807.0,72701.0,49482.2,36699.5,1350835564.2,3113351842.8,3244566199.1,1448194471.4,930154540.6,,651180009.8,763787983.4,228250234.7,537831328.6,165139110.2,312314543.1,542325574.8,1370379094.0,2925243557.5,5060848995.1,5154956192.9,6707159357.2,9139554297.2,9390803182.2,12490268360.7,13082806743.8,12393683482.2,5422424304.5,1876658803.6,2120794667.0,1558018001.8,7129390802.0,19671921051.6,9588298027.0,3966408314.8
UCLA-SuEIR,10571.9,13088.6,16322.9,12170.3,10593.5,6944.9,9970.4,9008.6,8427.5,9216.0,14577.9,14960.5,18728.3,30697.3,41825.8,58451.5,66923.2,74347.6,75908.7,73711.8,52990.8,56750.2,49358.4,43735.6,35781.3,37744.9,34697.7,54173.3,38198.7,35157.6,36623.2,552843985.7,1102604206.1,1162916477.2,489885089.3,492180877.6,140852077.9,469108574.3,279836954.8,225309024.4,223534127.6,484088177.0,442250154.8,556550958.9,1774586863.7,3490726412.4,6286564486.5,8303224781.2,11587534316.9,13641508731.2,17827386331.6,10531649232.7,11463460765.8,9739040351.9,6167766696.3,3736418790.9,4810127115.7,5286185259.4,11900281737.0,10823817624.9,6464194407.6,5631003651.4
Karlen-pypm,,,78155.6,42821.2,32267.2,15014.2,8854.1,8799.3,8170.4,9734.5,12273.6,14025.6,16650.0,25453.2,27674.5,30050.5,30836.0,33960.3,49008.0,100354.7,106490.5,62087.8,52505.8,83250.9,82384.9,108801.6,37614.9,54531.7,68039.3,38849.6,10408.6,,,37392793791.7,9912520230.2,3232216795.5,731194683.5,236492211.4,213613076.8,152715529.4,237564284.3,337854733.3,490699981.1,541071534.6,1369100099.5,1848766420.6,1995591948.0,2112206263.1,3153884139.9,7330079057.4,26919975633.8,24339315598.1,12309975429.3,8494760393.6,36867166409.5,93733515607.5,249017351033.4,5466907435.8,13914863124.8,18047536487.6,6985257550.2,400384457.2
