,mean_abs_error_2020-10-12_2020-12-05,mean_abs_error_2020-10-19_2020-12-05,mean_abs_error_2020-10-26_2020-12-05,mean_abs_error_2020-11-02_2020-12-05,mean_abs_error_2020-11-09_2020-12-05,mean_abs_error_2020-11-16_2020-12-05,mean_abs_error_2020-11-23_2020-12-05,mean_abs_error_2020-11-30_2020-12-05,mean_sq_abs_error_2020-10-12_2020-12-05,mean_sq_abs_error_2020-10-19_2020-12-05,mean_sq_abs_error_2020-10-26_2020-12-05,mean_sq_abs_error_2020-11-02_2020-12-05,mean_sq_abs_error_2020-11-09_2020-12-05,mean_sq_abs_error_2020-11-16_2020-12-05,mean_sq_abs_error_2020-11-23_2020-12-05,mean_sq_abs_error_2020-11-30_2020-12-05
CU-select,,,52706.8,41804.3,20564.6,13359.7,6920.5,5783.8,,,5074171431.3,4359158490.5,1426662120.1,502065880.2,107508383.2,103072364.1
LANL-GrowthRate,,100059.6,85908.2,37604.0,26056.3,27110.7,8674.6,5138.3,,18912508638.5,14590908940.2,3313302044.2,1963356244.5,2637216417.2,225771286.9,58955252.5
COVIDhub-baseline,84629.1,76343.3,65184.2,55432.7,36597.1,18668.8,8987.9,5231.2,14039770027.0,11502912439.1,8328931811.7,6468277452.0,3045713283.8,1053492087.9,255498141.1,103239744.1
LNQ-ens1,,,,,22648.6,16332.4,5935.9,5639.8,,,,,1585440084.3,623161405.3,73369349.4,86024708.3
BPagano-RtDriven,,63265.4,59672.2,55385.6,31277.4,28185.8,18242.1,4842.4,,8561303340.8,7302783040.7,6061946221.0,2170909820.4,2448096728.3,937884183.2,54332741.4
JCB-PRM,75396.5,77788.7,54121.7,53075.2,39490.8,17820.1,13104.7,6251.0,11389133959.7,11830895280.8,6741587975.0,6091014164.8,3584965780.1,962420015.7,546492144.8,101998936.2
COVIDhub-ensemble,,,,,31134.8,16819.8,7833.2,4662.3,,,,,2410224567.5,841311800.5,154151360.0,74371068.1
Covid19Sim-Simulator,86974.4,84354.2,63971.4,52966.8,37510.3,,9502.9,5188.7,14224068748.9,14067470382.5,7981346412.6,5675445344.9,3136704030.4,,287873335.6,95155625.4
IowaStateLW-STEM,99494.3,90273.0,70577.2,57279.1,40359.3,18630.4,11568.4,4479.3,18698187695.7,15789531454.7,9881510285.7,6707159357.2,3873114741.3,948965700.4,378262676.2,62366338.1
JHUAPL-Bucky,94354.2,75066.9,65905.3,53345.5,36943.3,40031.4,19240.5,4496.2,17605246550.0,12350146267.3,9575309413.2,5891874736.6,3229055836.0,4721033538.0,1689791840.7,38288427.6
USC-SI_kJalpha,87766.2,80658.3,69540.7,56008.7,43373.2,25798.6,9393.9,5380.4,16073101141.5,12944895461.9,8878307793.4,6499095048.8,3529007208.0,1228009318.9,205179143.3,106939716.7
Karlen-pypm,,,,33960.3,28271.3,31743.2,17492.5,5539.9,,,,3153884139.9,2262785876.3,2793093871.9,670565192.9,81307387.1
JHU_CSSE-DECOM,,,,,29950.0,17230.9,12612.5,4647.6,,,,,2300809543.3,861720453.6,324546131.8,72598554.4
MSRA-DeepST,,,,,36939.1,16673.1,11296.0,5124.0,,,,,3579388037.0,836098250.7,279327935.1,104303677.3
USACE-ERDC_SEIR,85398.3,,62812.4,,,14847.0,9613.1,8011.5,15253462163.7,,7219890145.6,,,455163990.6,200388023.1,157499557.9
OliverWyman-Navigator,,,,,,16177.3,11032.0,3678.0,,,,,,826903098.0,292740795.8,43782027.2
CEID-Walk,,,,,36734.3,18631.9,9184.3,5328.3,,,,,3046240129.4,1067974942.6,250442631.0,105861661.6
Google_Harvard-CPF,,,,,26849.2,27712.2,11909.4,5315.1,,,,,1571196106.5,2296305797.7,489433480.0,83589410.1
RobertWalraven-ESG,,,,,25746.6,21335.2,11405.5,7015.0,,,,,1880836606.2,1199251742.8,325161615.2,103011518.2
UCLA-SuEIR,105994.6,102845.2,90456.8,74347.6,53051.0,31247.6,8686.1,5386.3,21153908499.5,19423568775.2,15366100870.4,11587534316.9,6193444056.9,2602997421.2,236594622.0,94666089.1
JHU_UNC_GAS-StatMechPool,,,,,30697.2,22882.2,,,,,,,2486167324.3,1465929807.2,,
USC-SI_kJalpha_RF,,,,,26924.9,,,,,,,,2496088893.2,,,
JHU_IDD-CovidSP,,,80617.0,74802.5,,21326.5,12587.2,9240.3,,,12325959817.8,10764886551.0,,1137076429.8,419484100.2,220691911.5
OneQuietNight-ML,,,,,,,11363.1,4562.0,,,,,,,302886761.0,63411490.1
UVA-Ensemble,,,,,,24607.5,10990.1,6741.3,,,,,,2245982043.6,281225932.8,134675703.2
UChicagoCHATTOPADHYAY-UnIT,,,,,,,8181.3,6012.5,,,,,,,143348941.1,105230207.8
UCSB-ACTS,,,,,36782.2,21817.6,22007.6,13350.4,,,,,3157239786.5,1395427305.3,1498695096.6,451386810.2
DDS-NBDS,,,,,30488.8,62844.4,20720.5,6417.0,,,,,3051975424.7,44799096945.7,1164051167.9,100552992.2
UMich-RidgeTfReg,,,,,55402.4,44219.9,12002.6,,,,,,8521427780.1,5384747203.3,316339998.3,
IQVIA_ACOE-STAN,,,,,,,12247.1,6041.1,,,,,,,419367956.4,114212281.3
Geneva-DetGrowth,,,,,,,,5143.1,,,,,,,,71642053.2
CovidAnalytics-DELPHI,,109012.9,87573.8,82382.7,68366.1,54764.3,22722.4,8753.6,,22868621669.0,15785446338.1,14123419337.5,10882529310.3,7387829827.0,1535436354.6,188145963.2
TTU-squider,,,,,57717.5,39990.7,23763.7,14426.9,,,,,7966341343.1,4487976803.6,1844043823.4,771453380.5
