,perc_error_2020-07-06_2020-07-11
IowaStateLW-STEM,-0.004
Covid19Sim-Simulator,-0.006
OliverWyman-Navigator,0.029
Geneva-DetGrowth,-0.105
USC-SI_kJalpha,-0.117
Columbia_UNC-SurvCon,0.133
UCLA-SuEIR,-0.143
COVIDhub-baseline,-0.187
CovidAnalytics-DELPHI,-0.233
USACE-ERDC_SEIR,-0.241
JHU_IDD-CovidSP,-0.280
UMich-RidgeTfReg,-0.360
LANL-GrowthRate,-0.386
RobertWalraven-ESG,-0.902
