,mean_abs_error_2020-10-05_2020-11-28,mean_abs_error_2020-10-12_2020-11-28,mean_abs_error_2020-10-19_2020-11-28,mean_abs_error_2020-10-26_2020-11-28,mean_abs_error_2020-11-02_2020-11-28,mean_abs_error_2020-11-09_2020-11-28,mean_abs_error_2020-11-16_2020-11-28,mean_abs_error_2020-11-23_2020-11-28,mean_sq_abs_error_2020-10-05_2020-11-28,mean_sq_abs_error_2020-10-12_2020-11-28,mean_sq_abs_error_2020-10-19_2020-11-28,mean_sq_abs_error_2020-10-26_2020-11-28,mean_sq_abs_error_2020-11-02_2020-11-28,mean_sq_abs_error_2020-11-09_2020-11-28,mean_sq_abs_error_2020-11-16_2020-11-28,mean_sq_abs_error_2020-11-23_2020-11-28
CU-select,,,45753.7,38213.8,29782.8,12992.0,7045.8,2785.1,,,4214261087.8,2754297237.1,2018597989.4,480609949.1,142199698.0,17318735.5
COVIDhub-baseline,70141.2,64490.5,57231.6,47620.6,39432.7,23907.3,9336.4,3428.0,9032290614.0,8175115998.7,6408252019.0,4386811063.6,3187675966.9,1171328344.7,244071437.7,27505652.3
LNQ-ens1,,,,,27900.7,12977.6,8633.8,2969.9,,,,,1752067980.4,485903550.8,173999333.3,16486754.1
Karlen-pypm,,,,30836.0,22460.9,14759.3,13952.3,7118.3,,,,2112206263.1,1255864301.3,586384514.2,578011428.8,101824046.1
JCB-PRM,57488.3,56501.0,57459.3,40394.4,36973.2,24456.9,10131.6,5595.0,6523387678.8,6338515611.7,6514777864.1,3587812133.1,2934751869.0,1280369851.5,267930544.9,85524575.9
LANL-GrowthRate,,83688.6,75478.8,62521.1,25511.7,15219.6,13530.5,4279.5,,13271089923.7,10699349026.2,7709473330.7,1417133882.9,597066709.0,680682164.6,47618465.9
BPagano-RtDriven,,,48107.5,43950.1,39736.7,19145.2,14332.1,8001.1,,,4773657523.0,3875424904.0,3011123904.3,756806786.6,678633803.0,165475222.0
USC-SI_kJalpha,76612.1,66113.6,59687.3,49777.8,38847.8,26792.7,11897.8,4177.8,11197791614.1,9280144432.3,6984477850.6,4532646036.3,3106139255.9,1287024143.6,270690925.6,34700158.4
COVIDhub-ensemble,,,,,37338.9,20141.0,8294.7,3586.5,,,,,2855872600.9,910326735.3,193140873.4,28472669.5
JHUAPL-Bucky,,72014.2,56510.3,48242.0,37709.9,23837.7,17674.0,6743.2,,10256951430.9,6955218519.8,5038540058.9,2882512382.8,1233647723.3,959057916.9,150993802.4
Covid19Sim-Simulator,66739.1,66658.2,63759.2,47551.3,38392.3,25796.9,,3466.9,8812992805.1,8336150267.1,7937160370.4,4328291846.4,2878600670.1,1324778933.1,,32655910.3
MSRA-DeepST,,,,,38101.0,20088.2,8057.1,4278.8,,,,,3303724203.4,1060325135.3,177675404.4,31927372.7
USACE-ERDC_SEIR,,63328.4,,44262.4,,,8361.5,2823.0,,8511983846.7,,3663327281.6,,,133860666.4,18620924.2
JHU_CSSE-DECOM,,,,,34519.9,19582.4,8485.1,5486.9,,,,,2503898895.4,902770314.9,190605021.7,60243048.5
OliverWyman-Navigator,,,,,,11654.0,8040.1,4969.0,,,,,,347030182.2,197531722.9,61485818.3
USC-SI_kJalpha_RF,,,,,33050.8,17278.1,,,,,,,2898390052.2,946281300.5,,
CEID-Walk,,,,,39646.5,23942.3,9249.2,3416.8,,,,,3234560195.9,1163684494.0,246405167.8,28042797.5
IowaStateLW-STEM,82219.2,76876.6,68536.4,51537.4,40508.2,25936.4,8999.8,5413.2,12310476472.6,11030734393.3,8993695149.4,5154956192.9,3218432288.4,1481938270.9,200111274.9,68404417.8
JHU_UNC_GAS-StatMechPool,,,,,33177.5,20588.2,11151.2,,,,,,2436689754.9,984409742.1,339798052.8,
RobertWalraven-ESG,96462.0,,,,39522.3,15328.0,12451.7,6061.2,16675662176.4,,,,3264108731.6,585468803.8,386304834.9,95555256.8
DDS-NBDS,,,,,26036.1,16055.8,23768.5,8022.0,,,,,1541986640.2,787898538.4,3464698200.4,205127876.6
Google_Harvard-CPF,,,,,40938.8,18454.3,14501.3,4697.6,,,,,3864751665.4,643620219.2,608320605.9,66296301.6
UChicagoCHATTOPADHYAY-UnIT,,,,,,,8472.1,3743.8,,,,,,,158856500.8,32085338.7
UMich-RidgeTfReg,,,,,33590.9,28099.1,19358.9,4611.1,,,,,2485241219.8,1952535920.5,980217821.1,44760574.5
UCLA-SuEIR,89598.4,82002.4,78498.1,66923.2,52519.7,33825.6,15238.6,3538.6,14527336584.1,12628376117.2,11170075194.3,8303224781.2,5706122420.2,2414275471.5,600667937.2,28013334.8
UCSB-ACTS,,,,,33245.0,25069.7,12667.1,10410.3,,,,,2424834676.2,1398197372.2,426358651.6,324036875.5
JHU_IDD-CovidSP,,,64697.8,61669.2,55994.9,,14388.5,5571.0,,,7717379118.1,7156568615.4,5956071595.6,,436361244.5,66480923.3
IQVIA_ACOE-STAN,,,,,,,11169.6,4486.5,,,,,,,324359121.6,50705474.3
UVA-Ensemble,,,,,,,12746.4,4030.6,,,,,,,643617562.1,40386971.4
OneQuietNight-ML,,,,,,,,4648.5,,,,,,,,49714918.2
CovidAnalytics-DELPHI,,89351.6,84433.4,66018.7,58469.2,44825.6,30211.0,8796.4,,15559840550.2,13640165447.0,8743591658.6,6948012295.4,4345267458.2,2145892437.2,242836430.2
Geneva-DetGrowth,,,,,,,,5087.2,,,,,,,,56350812.3
TTU-squider,,,,,53692.9,38818.3,23252.3,9368.8,,,,,6286965178.9,3583847390.8,1465350843.4,288894161.2
