,perc_error_2020-08-10_2020-10-03,perc_error_2020-08-17_2020-10-03,perc_error_2020-08-24_2020-10-03,perc_error_2020-08-31_2020-10-03,perc_error_2020-09-07_2020-10-03,perc_error_2020-09-14_2020-10-03,perc_error_2020-09-21_2020-10-03,perc_error_2020-09-28_2020-10-03
COVIDhub-baseline,0.266,0.257,0.068,0.030,-0.001,-0.196,-0.086,0.024
IowaStateLW-STEM,,0.024,0.059,0.107,0.083,-0.076,-0.129,0.026
USACE-ERDC_SEIR,-0.272,-0.195,-0.331,-0.158,-0.099,-0.192,0.121,0.003
CU-select,,,0.064,0.306,0.393,0.024,-0.047,-0.083
JHUAPL-Bucky,,,,,0.097,-0.116,-0.020,-0.001
Columbia_UNC-SurvCon,-0.337,-0.157,-0.356,-0.198,0.074,-0.179,-0.205,0.075
UCLA-SuEIR,-0.133,-0.095,-0.124,-0.009,-0.248,-0.409,-0.175,-0.043
QJHong-Encounter,,,,-0.208,-0.051,-0.289,-0.036,0.102
LNQ-ens1,,,,,-0.073,-0.209,-0.056,0.022
CEID-Walk,,,,,0.001,-0.217,-0.091,0.034
COVIDhub-ensemble,,,,,-0.047,-0.213,-0.142,-0.001
UMich-RidgeTfReg,,,,,-0.019,-0.219,-0.046,0.064
JCB-PRM,,,,,-0.064,-0.181,-0.115,-0.035
USC-SI_kJalpha,-0.408,-0.332,-0.389,-0.254,-0.156,-0.327,-0.064,0.027
DDS-NBDS,,,,,0.015,-0.219,0.128,0.050
Karlen-pypm,,,,-0.118,-0.106,-0.204,-0.216,-0.123
OliverWyman-Navigator,,,,,,-0.143,0.044,0.183
JHU_IDD-CovidSP,,,,-0.105,-0.174,-0.307,-0.348,-0.180
IBF-TimeSeries,,,,,-0.128,-0.286,-0.097,-0.103
Covid19Sim-Simulator,,-0.162,-0.350,-0.369,-0.240,-0.295,-0.324,-0.150
IQVIA_ACOE-STAN,,,,,,,-0.096,-0.010
CovidAnalytics-DELPHI,,-0.107,-0.283,-0.326,-0.375,-0.452,-0.477,-0.473
Geneva-DetGrowth,,,,,,,,-0.012
LANL-GrowthRate,,-0.416,-0.468,-0.431,-0.445,-0.360,-0.228,-0.187
RobertWalraven-ESG,,-0.355,-0.365,-0.402,-0.467,-0.515,-0.410,
TTU-squider,,,,,,0.263,,0.135
IHME-CurveFit,1.969,,,,,,,
