,mean_abs_error_2020-11-30_2021-01-23,mean_abs_error_2020-12-07_2021-01-23,mean_abs_error_2020-12-14_2021-01-23,mean_abs_error_2020-12-21_2021-01-23,mean_abs_error_2020-12-28_2021-01-23,mean_abs_error_2021-01-04_2021-01-23,mean_abs_error_2021-01-11_2021-01-23,mean_abs_error_2021-01-18_2021-01-23,mean_sq_abs_error_2020-11-30_2021-01-23,mean_sq_abs_error_2020-12-07_2021-01-23,mean_sq_abs_error_2020-12-14_2021-01-23,mean_sq_abs_error_2020-12-21_2021-01-23,mean_sq_abs_error_2020-12-28_2021-01-23,mean_sq_abs_error_2021-01-04_2021-01-23,mean_sq_abs_error_2021-01-11_2021-01-23,mean_sq_abs_error_2021-01-18_2021-01-23
COVIDhub-baseline,1670.7,1196.6,862.5,550.6,433.7,245.3,241.9,121.2,95432924.2,43449480.1,11455739.3,4178259.4,3460874.2,1210753.1,1190571.7,646536.6
LANL-GrowthRate,,,859.1,796.8,618.9,310.6,221.4,78.3,,,34051977.5,41365649.3,13314420.1,957226.2,675008.0,141005.5
OneQuietNight-ML,1426.2,,,,418.2,298.3,179.0,72.7,71510851.7,,,,3754991.3,1375772.1,428296.3,234118.2
JHU_IDD-CovidSP,,,914.5,567.9,524.3,477.3,249.1,74.6,,,37257430.5,6211554.0,4462206.8,3876077.9,851097.2,95842.7
IowaStateLW-STEM,1763.0,1512.3,1027.8,634.3,464.2,350.2,201.5,159.9,116746495.4,98981754.2,26218070.4,5308810.5,5286682.8,2191696.6,484446.4,743662.2
COVIDhub-ensemble,,,,,479.3,281.5,186.1,89.3,,,,,3499476.8,1038218.1,614124.4,292790.0
CEID-Walk,,,,,439.1,252.8,241.5,121.4,,,,,3448335.3,1469828.0,1282937.7,649328.5
LNQ-ens1,,,,,605.6,269.9,270.0,71.3,,,,,5338143.2,812260.1,1350507.4,207993.1
PandemicCentral-USCounty,,,,,546.5,413.1,219.2,119.0,,,,,5838288.3,2910808.4,1047375.9,186780.3
FAIR-NRAR,,,,,497.2,413.6,273.3,84.9,,,,,4255874.8,2950645.8,1276300.1,125964.8
CU-select,,,895.7,707.1,751.6,917.4,638.8,156.5,,,13968626.1,11756322.2,11618090.5,27277267.5,13883815.4,1686237.0
UpstateSU-GRU,,,,,,500.0,239.0,91.0,,,,,,3905426.2,768874.5,154015.9
JHUAPL-Bucky,2477.7,1741.8,2039.0,1628.3,989.6,432.6,349.4,157.6,110037180.8,80613484.7,223399893.4,136788873.9,47767903.7,4637385.4,2505259.0,415235.5
UChicagoCHATTOPADHYAY-UnIT,,,,,,,274.9,76.9,,,,,,,532244.3,188487.6
OliverWyman-Navigator,,,,,,345.1,297.4,181.3,,,,,,3820940.6,1614331.5,1033859.8
Google_Harvard-CPF,,,,,625.4,651.6,415.2,159.4,,,,,9570710.9,8687248.1,4718940.4,849328.5
UVA-Ensemble,,,,,966.9,709.9,649.8,379.4,,,,,76983368.8,66556509.0,68701176.9,34791786.2
MITCovAlliance-SIR,,,,,1467.1,1169.0,,,,,,,36455445.3,20607973.5,,
