,perc_error_2020-11-23_2021-01-16,perc_error_2020-11-30_2021-01-16,perc_error_2020-12-07_2021-01-16,perc_error_2020-12-14_2021-01-16,perc_error_2020-12-21_2021-01-16,perc_error_2020-12-28_2021-01-16,perc_error_2021-01-04_2021-01-16,perc_error_2021-01-11_2021-01-16
UCF-AEM,-0.061,-0.194,-0.013,0.071,0.018,-0.110,-0.057,0.155
QJHong-Encounter,,,,-0.005,-0.026,-0.055,-0.026,0.065
COVIDhub-baseline,-0.182,-0.235,-0.116,-0.021,0.000,-0.156,-0.123,0.094
IowaStateLW-STEM,-0.119,-0.212,-0.143,0.021,0.012,-0.108,-0.216,0.033
IBF-TimeSeries,-0.172,-0.234,-0.057,0.059,-0.006,-0.203,-0.004,0.285
CovidAnalytics-DELPHI,,,0.206,0.172,-0.009,0.024,-0.151,-0.097
JHUAPL-Bucky,0.995,0.123,0.019,0.338,0.170,-0.137,-0.039,0.100
Covid19Sim-Simulator,0.006,-0.235,0.115,0.151,0.042,-0.146,-0.154,0.037
CU-select,,,-0.028,-0.002,-0.082,-0.282,0.102,0.272
USC-SI_kJalpha,-0.506,-0.594,-0.346,-0.080,0.023,-0.099,-0.167,0.049
LANL-GrowthRate,,,-0.080,0.133,-0.158,-0.152,-0.190,0.015
BPagano-RtDriven,,,,,0.129,0.053,-0.078,0.051
UCLA-SuEIR,0.323,-0.370,-0.028,-0.118,-0.116,-0.255,-0.160,0.152
TTU-squider,,,,,-0.016,-0.054,-0.138,-0.113
COVIDhub-ensemble,,,,,0.035,-0.128,-0.126,0.090
OneQuietNight-ML,0.361,0.114,,,0.204,-0.051,-0.040,0.125
OliverWyman-Navigator,,,,,,-0.019,-0.099,0.104
Columbia_UNC-SurvCon,1.392,-0.575,0.340,0.390,0.573,-0.074,-0.248,0.038
Microsoft-DeepSTIA,,,,,0.094,-0.148,-0.130,0.098
DDS-NBDS,,,,,0.005,5.015,-0.004,0.382
Karlen-pypm,,,,0.517,0.396,0.307,-0.086,0.015
LNQ-ens1,,,,,-0.016,-0.241,-0.126,0.169
RobertWalraven-ESG,,,,,0.121,-0.240,-0.140,0.055
IEM_MED-CovidProject,,,,,0.079,-0.090,-0.182,0.181
CEID-Walk,,,,,,-0.161,-0.131,0.088
UMich-RidgeTfReg,,,,,0.166,-0.360,0.022,0.266
JCB-PRM,0.352,0.337,0.289,0.389,0.389,0.173,,
JHU_IDD-CovidSP,,,-0.258,-0.200,-0.176,-0.294,-0.388,-0.344
UChicagoCHATTOPADHYAY-UnIT,,,,,,,-0.206,0.044
UVA-Ensemble,,,,,0.394,-0.143,0.218,0.424
MOBS-GLEAM_COVID,,,,,,,,-0.090
Geneva-DetGrowth,,,,,,,,0.108
JHU_CSSE-DECOM,,,,,,-0.204,,
SigSci-TS,,,,,,,,0.196
UpstateSU-GRU,,,,,,,,-0.370
USACE-ERDC_SEIR,-0.596,-0.650,,,,,,
