,perc_error_2020-07-06_2020-07-18,perc_error_2020-07-13_2020-07-25,perc_error_2020-07-20_2020-08-01,perc_error_2020-07-27_2020-08-08,perc_error_2020-08-03_2020-08-15,perc_error_2020-08-10_2020-08-22,perc_error_2020-08-17_2020-08-29,perc_error_2020-08-24_2020-09-05,perc_error_2020-08-31_2020-09-12,perc_error_2020-09-07_2020-09-19,perc_error_2020-09-14_2020-09-26,perc_error_2020-09-21_2020-10-03,perc_error_2020-09-28_2020-10-10,perc_error_2020-10-05_2020-10-17,perc_error_2020-10-12_2020-10-24,perc_error_2020-10-19_2020-10-31,perc_error_2020-10-26_2020-11-07,perc_error_2020-11-02_2020-11-14,perc_error_2020-11-09_2020-11-21,perc_error_2020-11-16_2020-11-28,perc_error_2020-11-23_2020-12-05,perc_error_2020-11-30_2020-12-12,perc_error_2020-12-07_2020-12-19,perc_error_2020-12-14_2020-12-26,perc_error_2020-12-21_2021-01-02,perc_error_2020-12-28_2021-01-09,perc_error_2021-01-04_2021-01-16,perc_error_2021-01-11_2021-01-23,perc_error_2021-01-18_2021-01-30,perc_error_2021-01-25_2021-02-06,perc_error_2021-02-01_2021-02-13,perc_error_2021-02-08_2021-02-20,perc_error_2021-02-15_2021-02-27,perc_error_2021-02-22_2021-03-06
LNQ-ens1,,0.026,0.821,0.350,0.080,-0.001,0.069,-0.124,0.028,0.032,-0.190,-0.056,-0.030,-0.159,-0.128,-0.160,-0.152,-0.266,-0.108,0.146,0.007,-0.259,-0.073,0.073,0.093,-0.231,-0.129,0.300,0.226,0.077,0.032,0.121,0.000,-0.106
QJHong-Encounter,,0.076,0.255,0.072,0.042,0.018,0.151,0.050,-0.047,0.083,-0.258,-0.036,0.052,-0.156,-0.124,-0.149,-0.240,-0.322,-0.301,0.003,0.120,-0.069,-0.130,0.088,0.091,-0.072,-0.030,0.175,0.451,0.270,0.289,0.391,0.261,-0.040
USC-SI_kJalpha,-0.023,0.068,0.220,0.003,0.060,-0.028,-0.013,-0.137,0.004,0.032,-0.266,-0.064,-0.058,-0.166,-0.207,-0.243,-0.287,-0.364,-0.358,-0.184,0.055,-0.224,-0.083,0.141,0.108,-0.103,-0.170,0.160,0.383,0.161,0.242,0.269,0.151,-0.081
Columbia_UNC-SurvCon,0.163,-0.034,0.012,0.011,-0.027,-0.085,0.054,-0.152,-0.030,0.135,-0.167,-0.205,0.056,0.007,-0.223,-0.211,-0.253,0.011,-0.038,0.459,0.349,-0.350,0.135,0.094,0.454,-0.078,-0.251,0.164,0.456,0.331,0.221,0.163,0.214,0.007
USACE-ERDC_SEIR,-0.271,-0.200,-0.030,0.029,-0.042,-0.041,0.048,-0.153,0.001,0.021,-0.167,0.121,-0.047,,-0.145,,-0.219,,,-0.052,-0.159,-0.378,,,,,,,,,,,,
UMich-RidgeTfReg,-0.311,-0.068,-0.013,0.022,0.059,0.132,0.179,-0.226,-0.067,0.075,-0.208,-0.046,0.025,-0.104,-0.199,-0.186,-0.182,-0.330,-0.035,0.257,0.225,-0.194,-0.005,0.211,0.185,-0.280,0.018,0.439,0.247,0.314,0.473,0.391,-0.004,0.812
OliverWyman-Navigator,0.097,0.279,0.405,0.361,0.227,0.042,0.083,-0.095,0.011,0.144,-0.144,0.044,0.148,-0.042,-0.065,-0.076,-0.198,-0.325,-0.187,0.072,0.169,-0.099,-0.054,0.154,0.251,-0.039,-0.102,0.274,0.538,0.435,0.406,0.433,0.286,-0.222
COVIDhub-ensemble,,,0.176,0.127,0.143,0.109,0.068,-0.096,0.017,0.046,-0.195,-0.142,-0.069,-0.198,-0.242,-0.259,-0.285,-0.358,-0.237,0.027,0.082,-0.196,-0.043,0.111,0.115,-0.124,-0.129,0.217,0.372,0.269,0.282,0.265,0.117,-0.104
Karlen-pypm,,,,0.511,0.506,0.284,0.159,0.044,0.012,-0.001,-0.184,-0.216,-0.175,-0.255,-0.201,-0.155,-0.147,-0.221,-0.160,0.172,0.346,-0.041,0.048,0.277,0.334,0.217,-0.090,0.138,0.368,0.286,0.105,0.151,0.004,-0.213
CU-select,,,,,,0.078,0.297,-0.023,0.164,0.277,-0.101,-0.047,-0.039,-0.103,-0.162,-0.171,-0.259,-0.326,-0.208,-0.001,-0.031,-0.243,-0.052,0.072,0.027,-0.268,0.098,0.620,0.417,0.178,0.324,0.408,0.106,-0.205
