,perc_error_2020-10-05_2020-11-28,perc_error_2020-10-12_2020-11-28,perc_error_2020-10-19_2020-11-28,perc_error_2020-10-26_2020-11-28,perc_error_2020-11-02_2020-11-28,perc_error_2020-11-09_2020-11-28,perc_error_2020-11-16_2020-11-28,perc_error_2020-11-23_2020-11-28
CU-select,,,-0.440,-0.408,-0.359,-0.123,-0.001,0.036
BPagano-RtDriven,,,-0.401,-0.365,-0.430,-0.170,0.102,0.284
Columbia_UNC-SurvCon,-0.291,-0.515,-0.424,-0.340,0.270,0.106,0.459,0.320
QJHong-Encounter,,,,-0.391,-0.358,-0.279,0.003,0.124
Covid19Sim-Simulator,-0.561,-0.560,-0.688,-0.321,-0.365,-0.256,,0.008
IBF-TimeSeries,,-0.627,-0.547,-0.447,-0.446,-0.281,0.009,0.164
Karlen-pypm,,,,-0.194,-0.178,-0.073,0.172,0.304
LANL-GrowthRate,,-0.781,-0.768,-0.699,-0.249,-0.007,0.241,0.074
JCB-PRM,-0.479,-0.496,-0.557,-0.425,-0.442,-0.362,-0.096,0.135
UCLA-SuEIR,-0.758,-0.721,-0.710,-0.564,-0.445,-0.220,-0.029,0.096
COVIDhub-baseline,-0.596,-0.584,-0.556,-0.509,-0.478,-0.358,-0.138,0.025
JHUAPL-Bucky,,-0.650,-0.512,-0.474,-0.390,-0.271,0.208,0.251
LNQ-ens1,,,,,-0.336,-0.083,0.146,0.076
COVIDhub-ensemble,,,,,-0.393,-0.200,0.027,0.118
USC-SI_kJalpha,-0.648,-0.638,-0.608,-0.501,-0.448,-0.387,-0.184,0.100
USACE-ERDC_SEIR,,-0.574,,-0.467,,,-0.052,-0.033
DDS-NBDS,,,,,-0.077,0.039,0.421,0.273
IowaStateLW-STEM,-0.702,-0.698,-0.666,-0.538,-0.481,-0.434,-0.105,0.180
CEID-Walk,,,,,-0.479,-0.350,-0.131,0.027
UMich-RidgeTfReg,,,,,-0.415,0.072,0.257,0.222
OliverWyman-Navigator,,,,,,-0.133,0.072,0.190
MSRA-DeepST,,,,,-0.483,-0.326,0.033,0.142
RobertWalraven-ESG,-0.822,,,,-0.319,0.127,0.355,0.322
USC-SI_kJalpha_RF,,,,,-0.394,-0.238,,
IQVIA_ACOE-STAN,,,,,,,-0.117,0.048
JHU_CSSE-DECOM,,,,,,-0.288,0.076,0.215
UChicagoCHATTOPADHYAY-UnIT,,,,,,,0.114,0.102
UVA-Ensemble,,,,,,,0.177,0.098
JHU_IDD-CovidSP,,,-0.620,-0.662,-0.683,,-0.304,-0.238
UCF-AEM,,,,,,,-0.226,0.083
TTU-squider,,,,,-0.572,-0.523,-0.393,-0.152
OneQuietNight-ML,,,,,,,,0.139
CovidAnalytics-DELPHI,,-0.813,-0.825,-0.711,-0.643,-0.524,-0.354,0.328
Geneva-DetGrowth,,,,,,,,0.186
