,mean_abs_error_2020-12-28_2021-02-20,mean_abs_error_2021-01-04_2021-02-20,mean_abs_error_2021-01-11_2021-02-20,mean_abs_error_2021-01-18_2021-02-20,mean_abs_error_2021-01-25_2021-02-20,mean_abs_error_2021-02-01_2021-02-20,mean_abs_error_2021-02-08_2021-02-20,mean_abs_error_2021-02-15_2021-02-20,mean_sq_abs_error_2020-12-28_2021-02-20,mean_sq_abs_error_2021-01-04_2021-02-20,mean_sq_abs_error_2021-01-11_2021-02-20,mean_sq_abs_error_2021-01-18_2021-02-20,mean_sq_abs_error_2021-01-25_2021-02-20,mean_sq_abs_error_2021-02-01_2021-02-20,mean_sq_abs_error_2021-02-08_2021-02-20,mean_sq_abs_error_2021-02-15_2021-02-20
LANL-GrowthRate,,,1339.5,831.9,291.9,173.5,97.3,42.9,,,44061993.9,22482146.3,1217763.4,595324.5,112993.8,24064.9
JHU_IDD-CovidSP,,,579.1,619.1,407.7,241.6,138.9,89.5,,,7459227.1,11686893.4,6906490.7,2509784.6,810492.9,282746.2
LNQ-ens1,,,,,232.1,145.4,82.2,35.0,,,,,1976265.0,473065.1,100036.4,19183.4
FAIR-NRAR,,,,,224.5,164.9,85.3,42.0,,,,,1521817.7,908562.5,83192.3,20465.3
COVIDhub-ensemble,,,,,350.3,227.0,108.1,41.4,,,,,2608344.3,1005343.2,224204.3,28053.5
OneQuietNight-ML,,,,,328.2,193.7,124.3,53.4,,,,,947193.4,391153.8,235724.7,45179.8
JHUAPL-Bucky,1956.5,1421.6,1714.1,1011.9,433.2,344.8,183.7,91.1,259499826.3,83511850.7,86633931.7,17704127.2,4281990.5,3083758.4,605383.0,200825.5
Google_Harvard-CPF,,,,,387.3,302.2,117.9,49.2,,,,,6728701.6,1423851.8,152220.7,39692.3
COVIDhub-baseline,963.7,940.7,1398.6,1139.8,621.1,390.5,191.7,66.8,42492758.8,44150195.5,57850439.8,49887765.8,11394649.2,3648048.0,743538.2,76547.8
IowaStateLW-STEM,1074.8,640.4,1000.6,1184.7,711.9,428.0,216.9,92.8,35757808.0,15045093.4,22963232.4,40746902.7,17577838.9,6654571.8,1113424.6,140454.2
CU-select,,,3756.3,1632.6,834.0,432.3,197.6,49.2,,,482449648.8,263952938.1,24855683.2,5784626.3,1432154.4,35177.7
COVIDhub-trained_ensemble,,,,,,253.4,96.0,197.0,,,,,,1224708.3,140817.1,287248.6
OliverWyman-Navigator,,,,,,384.5,175.7,65.1,,,,,,2660222.0,497315.4,62080.9
CEID-Walk,,,,,621.7,394.3,196.0,68.0,,,,,11569620.2,4059148.7,832854.2,75922.8
UVA-Ensemble,,,,,1047.0,308.5,,56.9,,,,,21830146.3,1908633.5,,67586.5
PandemicCentral-USCounty,,,,,603.2,500.5,246.8,97.1,,,,,5643007.9,3931006.6,824313.1,177904.1
UpstateSU-GRU,,,,,604.3,448.2,219.4,110.7,,,,,9039766.0,5442615.7,918744.1,251330.2
UChicagoCHATTOPADHYAY-UnIT,,,,,,,132.2,,,,,,,,294404.3,
MITCovAlliance-SIR,2244.4,2027.7,,,,,,,72408748.8,54052759.6,,,,,,
