,mean_abs_error_2020-07-06_2020-07-18,mean_abs_error_2020-07-13_2020-07-25,mean_abs_error_2020-07-20_2020-08-01,mean_abs_error_2020-07-27_2020-08-08,mean_abs_error_2020-08-03_2020-08-15,mean_abs_error_2020-08-10_2020-08-22,mean_abs_error_2020-08-17_2020-08-29,mean_abs_error_2020-08-24_2020-09-05,mean_abs_error_2020-08-31_2020-09-12,mean_abs_error_2020-09-07_2020-09-19,mean_abs_error_2020-09-14_2020-09-26,mean_abs_error_2020-09-21_2020-10-03,mean_abs_error_2020-09-28_2020-10-10,mean_abs_error_2020-10-05_2020-10-17,mean_abs_error_2020-10-12_2020-10-24,mean_abs_error_2020-10-19_2020-10-31,mean_abs_error_2020-10-26_2020-11-07,mean_abs_error_2020-11-02_2020-11-14,mean_abs_error_2020-11-09_2020-11-21,mean_abs_error_2020-11-16_2020-11-28,mean_abs_error_2020-11-23_2020-12-05,mean_abs_error_2020-11-30_2020-12-12,mean_abs_error_2020-12-07_2020-12-19,mean_abs_error_2020-12-14_2020-12-26,mean_abs_error_2020-12-21_2021-01-02,mean_abs_error_2020-12-28_2021-01-09,mean_abs_error_2021-01-04_2021-01-16,mean_abs_error_2021-01-11_2021-01-23,mean_abs_error_2021-01-18_2021-01-30,mean_abs_error_2021-01-25_2021-02-06,mean_abs_error_2021-02-01_2021-02-13,mean_abs_error_2021-02-08_2021-02-20,mean_abs_error_2021-02-15_2021-02-27,mean_abs_error_2021-02-22_2021-03-06,mean_sq_abs_error_2020-07-06_2020-07-18,mean_sq_abs_error_2020-07-13_2020-07-25,mean_sq_abs_error_2020-07-20_2020-08-01,mean_sq_abs_error_2020-07-27_2020-08-08,mean_sq_abs_error_2020-08-03_2020-08-15,mean_sq_abs_error_2020-08-10_2020-08-22,mean_sq_abs_error_2020-08-17_2020-08-29,mean_sq_abs_error_2020-08-24_2020-09-05,mean_sq_abs_error_2020-08-31_2020-09-12,mean_sq_abs_error_2020-09-07_2020-09-19,mean_sq_abs_error_2020-09-14_2020-09-26,mean_sq_abs_error_2020-09-21_2020-10-03,mean_sq_abs_error_2020-09-28_2020-10-10,mean_sq_abs_error_2020-10-05_2020-10-17,mean_sq_abs_error_2020-10-12_2020-10-24,mean_sq_abs_error_2020-10-19_2020-10-31,mean_sq_abs_error_2020-10-26_2020-11-07,mean_sq_abs_error_2020-11-02_2020-11-14,mean_sq_abs_error_2020-11-09_2020-11-21,mean_sq_abs_error_2020-11-16_2020-11-28,mean_sq_abs_error_2020-11-23_2020-12-05,mean_sq_abs_error_2020-11-30_2020-12-12,mean_sq_abs_error_2020-12-07_2020-12-19,mean_sq_abs_error_2020-12-14_2020-12-26,mean_sq_abs_error_2020-12-21_2021-01-02,mean_sq_abs_error_2020-12-28_2021-01-09,mean_sq_abs_error_2021-01-04_2021-01-16,mean_sq_abs_error_2021-01-11_2021-01-23,mean_sq_abs_error_2021-01-18_2021-01-30,mean_sq_abs_error_2021-01-25_2021-02-06,mean_sq_abs_error_2021-02-01_2021-02-13,mean_sq_abs_error_2021-02-08_2021-02-20,mean_sq_abs_error_2021-02-15_2021-02-27,mean_sq_abs_error_2021-02-22_2021-03-06
LNQ-ens1,,1851.0,3715.0,1821.8,2194.2,1448.4,2419.9,2020.0,1430.1,1318.0,2783.9,2167.7,1512.5,2977.6,3231.7,4175.3,6577.4,9953.9,7029.0,8633.8,5935.9,14536.2,7858.5,7581.6,8018.9,17370.9,10610.0,16683.6,9325.6,4575.6,3218.0,4064.1,2488.9,3653.3,,13660379.3,72840205.2,17984435.7,19440794.5,12904133.5,31804994.6,7973998.2,5230962.0,4454793.8,34278721.2,15045277.4,4472685.9,18434080.2,33454950.3,64086697.4,126201487.1,261005209.6,151206763.9,173999333.3,73369349.4,721763772.2,260839335.7,145654184.5,565863339.9,629363481.6,378537006.9,778895952.3,449467459.4,110220353.1,31211429.1,85898286.1,20948428.3,55007569.7
COVIDhub-ensemble,,,2545.5,2304.4,2590.0,2105.2,2295.6,1667.1,1558.4,1435.8,2770.5,2331.7,2018.7,3369.8,4835.9,6029.8,9310.3,14145.1,13713.1,8294.7,7833.2,11935.2,10184.9,9817.7,8146.9,11953.0,10200.8,11782.1,16098.6,9418.0,7478.0,6407.1,3307.8,3097.3,,,30768536.3,31728678.9,33362885.3,14724824.7,30679232.1,6092506.6,7164888.8,7010635.2,33419470.2,17132527.5,7180380.3,20991751.5,57533903.0,86650247.7,218873403.3,462844703.4,381883328.1,193140873.4,154151360.0,617293303.6,783981985.0,264797836.1,457321035.1,397544231.4,290686981.7,404426148.9,1271558313.4,389235031.9,170772861.6,263554826.9,67583645.4,27632232.7
USC-SI_kJalpha,3621.0,5144.9,6295.1,1720.7,2562.6,1842.2,1861.4,2367.7,1883.4,1845.7,3659.1,2376.8,2447.9,2775.3,4022.6,4963.5,8503.2,13801.7,15947.6,11897.8,9393.9,14373.3,9299.5,10384.0,8277.9,12064.0,11641.6,10286.8,17872.0,7608.0,7154.4,6499.4,3481.8,3013.6,111546388.5,169071118.7,219727569.0,15919901.4,23763502.1,23223780.6,10138101.9,12652563.7,9746646.6,10690106.1,59331371.4,15477985.7,12487020.4,15455177.3,46144243.7,73017158.6,185323011.7,452509574.5,463894458.0,270690925.6,205179143.3,926037610.4,588101350.0,237818527.0,455144722.8,538354000.0,421352169.4,501901077.9,1530025289.0,202914712.7,160712492.5,225009911.4,39406817.2,67267174.9
COVIDhub-baseline,4240.8,2980.9,2391.3,2882.8,3121.5,2609.6,3415.5,2173.7,2044.4,2087.1,2478.0,2117.5,2501.2,2725.2,4026.1,5375.5,8886.5,14645.9,15408.1,9336.4,8987.9,14256.5,13557.0,11592.0,7077.2,11475.5,8998.8,12218.4,16358.6,11125.8,11842.0,10783.0,7140.7,4408.0,96573407.1,33858135.3,29573048.9,54715591.7,50588887.2,24456380.8,81003335.5,23151324.4,20830701.2,15628037.8,30698877.7,15236095.7,23278649.3,14835016.1,45085491.4,72897841.2,193594469.7,505916151.9,457817123.5,244071437.7,255498141.1,867984260.6,1281196693.6,616831273.7,121980936.1,464591115.3,230623906.9,424392354.6,1450291292.2,515566744.7,487444726.5,583182202.9,196447392.0,109793180.4
OliverWyman-Navigator,2956.2,5639.0,7580.9,5983.7,3823.0,2045.5,2500.8,1821.5,2093.0,,2348.8,3016.4,3447.6,2313.1,2636.3,3159.9,6268.7,11833.2,8411.0,8040.1,11032.0,9160.7,9799.6,12149.7,14066.1,10217.2,10237.9,15665.0,24381.0,16472.5,12121.6,9745.2,5583.3,5081.0,47110055.2,213839165.8,361914476.8,147021894.5,42617331.7,17324786.3,47229764.4,9340902.5,13383751.8,,25223405.7,43040027.5,50300858.7,13893389.4,21696612.9,34321825.0,107449436.9,366270748.8,161837480.1,197531722.9,292740795.8,360914161.1,808302454.6,334058581.7,542413637.0,528396996.3,348451641.7,794999884.5,2520832757.4,1148429627.6,501732611.4,417298915.0,147397539.8,95294057.3
LANL-GrowthRate,5827.0,6351.9,3915.6,3782.2,3669.6,2544.6,2319.2,2508.2,1877.4,1865.3,3300.1,3122.2,3242.3,5253.3,5635.9,7867.6,11415.2,9892.6,8410.3,13530.5,8674.6,12606.1,8473.1,7943.9,13121.3,19875.4,13613.7,12208.5,11089.9,5945.2,3232.9,4568.3,3800.0,6506.2,219227244.9,190517355.9,74796866.5,106412559.9,107321079.4,50256095.0,25363176.0,14395616.0,8724057.4,10505860.6,36409562.2,30795477.8,22886772.5,61413281.6,78006108.2,163149592.3,341447192.0,242458611.9,171350139.0,680682164.6,225771286.9,472411539.7,300086775.9,200828302.2,2461872261.5,3387052836.2,584455243.9,377980700.2,549911718.7,171891113.5,23009167.9,98785962.2,34009179.4,132473265.1
CEID-Walk,,,,,,2468.1,3280.8,2250.8,2155.2,1947.3,2494.5,2072.8,2430.5,2796.0,4172.4,5462.0,8921.1,14729.0,15427.9,9249.2,9184.3,14359.1,13223.3,11642.6,7422.9,11323.9,9074.1,12486.0,16718.7,11093.2,11636.0,10482.2,7041.4,4121.6,,,,,,22489770.8,70897768.5,23382929.5,23698755.0,13787036.6,31093693.8,14286114.9,21633294.7,15112532.4,49850540.8,79055231.8,196224248.4,512415258.8,457912280.5,246405167.8,250442631.0,871775960.2,1262221098.2,606460406.1,143259532.8,455046973.6,236025684.6,431427668.9,1518264366.5,507936357.5,506706298.0,537981469.8,184225275.3,87998337.0
USACE-ERDC_SEIR,6104.3,4380.2,3334.5,3182.1,2619.6,2206.3,2487.1,2129.2,2282.2,1695.5,3142.1,4029.3,2431.7,,3732.2,,7698.8,,,8361.5,9613.1,22047.3,,,,,,,,,,,,,118797906.4,36234838.6,59653177.2,52973547.8,40284468.9,21431126.1,37156313.1,13548419.4,15974235.7,9548028.7,35136553.8,126108868.7,21530085.1,,39684407.9,,148611620.2,,,133860666.4,200388023.1,1207333420.6,,,,,,,,,,,,
CU-select,,,,,,2467.6,4865.9,1643.6,2906.3,3752.9,2788.3,3228.5,2858.1,3012.0,3657.1,4246.0,8161.7,11916.3,10168.6,7045.8,6920.5,14437.2,11651.8,7659.0,6656.8,17551.1,10554.7,34422.3,19614.6,7892.9,10441.3,9520.7,3221.7,4285.8,,,,,,21650061.8,246110382.1,6297438.0,37976285.3,55993438.5,28678680.5,47295725.5,21263028.6,29338283.4,36736841.6,50082493.1,152322481.8,335666717.3,188550853.5,142199698.0,107508383.2,846674985.3,656520220.7,141204627.0,265931706.0,683787266.7,386766549.8,4559277778.9,3116261123.2,238741147.9,474257720.7,507366726.9,39073039.3,88544238.4
CovidActNow-SEIR_CAN,5599.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265837982.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
